round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean,DACC
2001,2.0908868074417115,0.313,2.829198479652405,0.08677777777777777,,,,,,,,,1.0,
2002,2.1036615788936617,0.314,2.841913068294525,0.08811111111111111,,,,,0.1,1.0,0.18181818181818182,1.0,,
2003,2.1074552297592164,0.3175,2.8315990209579467,0.08922222222222222,,,,,0.1,1.0,0.18181818181818182,1.0,,
2004,1.5644589185714721,0.4671,1.7663886487483977,0.37166666666666665,0.8840104253493373,0.7144298688193743,0.5094461727341603,0.8348082595870207,0.1111111111111111,0.5,0.1818181818181818,1.0,,
2005,1.5947772026062013,0.4578,2.3538387298583983,0.11955555555555555,,,,,0.1,1.0,0.18181818181818182,1.0,,
2006,1.4540720462799073,0.5139,2.7671297192573547,0.04688888888888889,0.859787964969068,0.72,,,,,,,0.9,
2007,1.4992756247520447,0.5029,2.697653257846832,0.050333333333333334,,,,,,,,,1.0,
2008,1.4387384355068207,0.5236,2.8744579553604126,0.03677777777777778,0.9478177585029745,0.6852955787382017,0.42677753450165334,0.8714788732394366,0.1111111111111111,1.0,0.19999999999999998,0.8888888888888888,,
2009,1.4174872934818268,0.5277,2.974439024925232,0.028666666666666667,0.8486245204303143,0.7148550724637681,0.47343961354987374,0.8448275862068966,0.2222222222222222,1.0,0.3636363636363636,0.875,,
2010,1.4132957816123963,0.5289,2.944080662727356,0.03088888888888889,,,,,,,,,1.0,
2011,1.415985506772995,0.5303,2.9442303657531737,0.029666666666666668,,,,,0.1,1.0,0.18181818181818182,1.0,,
2012,1.4557673811912537,0.5094,2.462612497806549,0.07855555555555556,1.0297310133997162,0.6526225279449699,0.4591686394862357,0.8540462427745664,0.1111111111111111,0.5,0.1818181818181818,1.0,,
2013,1.4756936848163604,0.5163,2.648579144477844,0.03,,,,,0.1,1.0,0.18181818181818182,1.0,,
2014,1.4408596396446227,0.5276,2.741362679004669,0.028666666666666667,0.9950418303520153,0.6567133013155148,0.39252344931766486,0.8789808917197452,0.1111111111111111,1.0,0.19999999999999998,0.8888888888888888,,
2015,1.4410467743873596,0.5249,2.7428140521049498,0.028333333333333332,,,,,0.1,1.0,0.18181818181818182,1.0,,
2016,1.4412804305553437,0.5316,2.7362439036369324,0.02677777777777778,,,,,0.1,1.0,0.18181818181818182,1.0,,
2017,1.4464690566062928,0.5257,2.7424258828163146,0.029111111111111112,,,,,0.1,1.0,0.18181818181818182,1.0,,
2018,1.4429611682891845,0.5275,2.7425435543060304,0.02711111111111111,,,,,0.1,1.0,0.18181818181818182,1.0,,
2019,1.4415947198867798,0.5283,2.746899402141571,0.027777777777777776,,,,,0.3,1.0,0.4615384615384615,1.0,,
2020,1.44616037607193,0.5248,2.7406479120254517,0.026444444444444444,,,,,0.1,1.0,0.18181818181818182,1.0,,
2021,1.4463696718215941,0.5244,2.744442903995514,0.028333333333333332,,,,,0.1,1.0,0.18181818181818182,1.0,,
