round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8216732501983642,0.723,3.785001611709595,0.03877777777777778,0.9227657853771827,0.6958083832335329,,
2002,0.8856442213058472,0.7066,3.3388142585754395,0.03677777777777778,0.8620797126282714,0.7173322182730504,0.23912143182586615,0.9313380281690141
2003,0.9169273614883423,0.7054,3.018863487243652,0.05266666666666667,0.834420768361733,0.7266697163769442,0.2635312784629263,0.9124203821656051
2004,0.9589729905128479,0.694,2.789985752105713,0.060222222222222226,0.8674750622578674,0.7161116717120753,0.5941494065341462,0.8013765978367748
2005,0.991546630859375,0.6912,2.7093185424804687,0.06766666666666667,0.9062655559987344,0.7031312725812926,0.4095368266105652,0.8722222222222222
2006,1.018200445175171,0.6833,2.6662011623382567,0.06222222222222222,0.7447454691513165,0.7623783783783784,,
2007,1.0102280497550964,0.6922,2.755103254318237,0.04588888888888889,0.8279106459409264,0.7241310824230387,,
2008,1.014985775947571,0.6921,2.73067684173584,0.04522222222222222,0.7447825331727604,0.7588176850471933,0.2101450778648887,0.9383802816901409
2009,1.0199385643005372,0.6894,2.6631844997406007,0.05422222222222222,0.7043442554016044,0.7648550724637682,0.2847925931986036,0.9202586206896551
2010,1.029766058921814,0.6796,2.5956219673156737,0.06288888888888888,0.7033896936675695,0.7604049493813273,,
2011,1.0335641145706176,0.6844,2.6028251171112062,0.062,0.7411318394737522,0.7617518248175182,0.2776819457230455,0.9089253187613844
2012,1.0414628744125367,0.6849,2.4952553272247315,0.0768888888888889,0.8587624710143962,0.7176841501862998,0.31241792449027816,0.8916184971098265
2013,1.0552699327468873,0.6805,2.5131727695465087,0.06388888888888888,0.8342210081699762,0.7249099330931549,0.3523829958945604,0.8914373088685015
2014,1.0678094387054444,0.689,2.391176128387451,0.08722222222222223,0.8862075749158511,0.6955523073710587,0.2511970273628356,0.9044585987261147
2015,1.0666894435882568,0.6849,2.493624782562256,0.06666666666666667,0.8215521370425766,0.7289377289377289,0.3871647146013048,0.8888888888888888
2016,1.092127537727356,0.6731,2.470871162414551,0.06677777777777778,0.8923029161612863,0.7045252883762201,0.3640399893124898,0.8833333333333333
2017,1.117759346961975,0.6738,2.4482313632965087,0.061,0.9550132712751509,0.6723554917174538,0.2789495017320391,0.9193121693121693
