round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean
2301,0.7805971145629883,0.7338,4.988432359695435,0.016555555555555556,0.627393329030204,0.805748502994012,,,,,,,0.0
2302,0.7969059199094772,0.7282,4.4713232040405275,0.020777777777777777,0.8406241244908883,0.7217227681371524,0.4731328084435261,0.8433098591549296,1.0,1.0,1.0,0.0,
2303,0.8240437239408493,0.7249,4.136105453968048,0.019777777777777776,0.8578594636993461,0.7284995425434584,0.47776418696543216,0.8550955414012739,1.0,1.0,1.0,0.0,
2304,0.8431100815534591,0.7145,4.0883644104003904,0.01888888888888889,0.5772188223454834,0.8156744029599731,0.613416966757826,0.7925270403146509,1.0,1.0,1.0,0.0,
2305,0.8581383258104325,0.7138,3.7796011924743653,0.021777777777777778,0.9501725834675077,0.6874749096748294,0.5089735587437948,0.8472222222222222,0.0,0.0,0.0,0.1111111111111111,
2306,0.8858753710985183,0.7114,3.679443967342377,0.017555555555555557,0.6675854330143413,0.7859459459459459,,,,,,,0.0
2307,0.9525989651679992,0.6857,3.439261829853058,0.014888888888888889,1.0064486732956137,0.6671300893743793,,,,,,,0.0
2308,0.9623933523893357,0.6918,3.3291406273841857,0.017,0.8330949585694196,0.7389468455042225,0.423433587164946,0.8556338028169014,1.0,1.0,1.0,0.0,
2309,0.9498932719230652,0.6967,3.3635727643966673,0.017222222222222222,0.7162465506705685,0.7684782608695652,0.49778406630302297,0.8415948275862069,1.0,1.0,1.0,0.0,
2310,0.9555395603179931,0.6923,3.3564221978187563,0.01577777777777778,0.6469265548816145,0.8048368953880765,,,,,,,0.0
2311,0.9569498419761657,0.6908,3.378104639053345,0.019222222222222224,0.48306461063886647,0.8496350364963504,0.4851185641436412,0.848816029143898,1.0,1.0,1.0,0.0,
