round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean,DACC
2301,1.8307221591472627,0.3982,2.9719244122505186,0.005888888888888889,,,,,,,,,1.0,
2302,1.1830767750740052,0.6303,0.24165593087673187,0.9824444444444445,0.9572770472864414,0.6792807861174994,0.3283189446993277,0.8943661971830986,0.125,1.0,0.2222222222222222,0.7777777777777778,,
2303,1.6855810046195985,0.4752,0.5596623867750168,0.9665555555555555,,,,,0.1,1.0,0.18181818181818182,1.0,,
2304,1.1465270221233368,0.6434,0.04786181692034006,1.0,0.7552360988930343,0.7537840565085772,0.413908662587668,0.8770894788593904,0.125,0.5,0.2,0.875,,
2305,1.1502050817012788,0.6294,0.04465176351368427,0.9995555555555555,0.930316280057659,0.6842633480529907,0.23234381013446384,0.9444444444444444,0.0,0.0,0.0,1.0,,
2306,1.104610937833786,0.653,0.0769459594041109,0.9991111111111111,0.8476071102619172,0.7258378378378378,,,,,,,0.8,
2307,1.5565232038497925,0.5461,0.3118243232369423,0.9972222222222222,,,,,,,,,1.0,
2308,1.1046569406986237,0.6407,0.023467806819826364,1.0,0.8337453647701267,0.7223050173869846,0.2824400864856344,0.9119718309859155,0.0,0.0,0.0,0.8888888888888888,,
2309,1.0893625020980835,0.6414,0.014197594998404384,1.0,0.7256410155276619,0.7608695652173914,0.279771597734813,0.9202586206896551,0.14285714285714285,0.5,0.22222222222222224,0.75,,
2310,1.0912894666194917,0.6403,0.015451094461604952,1.0,0.8282428262619086,0.7353768278965129,,,,,,,0.8,
2311,1.0675659686326981,0.6463,0.005229427269659937,1.0,0.743658815060681,0.7588321167883212,0.24162129903100227,0.9344262295081968,0.125,1.0,0.2222222222222222,0.7777777777777778,,
2312,1.0450595229864121,0.6601,0.004703474091365933,1.0,0.9446953105086001,0.6910289481226712,0.2541724345243046,0.9241329479768786,0.0,0.0,0.0,1.0,,
2313,1.103650188446045,0.6345,0.027683048136532308,1.0,0.9062450046368745,0.695573854863613,0.7407682630993905,0.7431192660550459,0.1111111111111111,1.0,0.19999999999999998,0.8888888888888888,,
2314,1.10040340423584,0.6369,0.01222448074258864,1.0,0.9210747185480771,0.6955523073710587,0.310151234364054,0.9092356687898089,0.1111111111111111,1.0,0.19999999999999998,0.8888888888888888,,
2315,1.063596934080124,0.6519,0.015040762908756732,1.0,0.905894105073624,0.7122252747252747,0.15069839441114002,0.95,0.0,0.0,0.0,0.8888888888888888,,
2316,1.0563693702220918,0.6556,0.009883640380576254,1.0,0.9297787718336035,0.694321206743567,0.10793959713644452,0.9638888888888889,0.0,0.0,0.0,0.8888888888888888,,
2317,1.0357853591442108,0.6559,0.009354347083717584,1.0,0.9270914391525709,0.6862614774344242,0.2743128451405379,0.9140211640211641,0.125,1.0,0.2222222222222222,0.7777777777777778,,
2318,1.4390720903873444,0.5641,0.03241006676107645,1.0,,,,,0.1,1.0,0.18181818181818182,1.0,,
2319,1.0225516974925994,0.6611,0.008655483275651932,1.0,0.7954502094117165,0.7439572793704329,0.24566405686465176,0.9278409090909091,0.16666666666666666,0.3333333333333333,0.2222222222222222,0.7142857142857143,,
