round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean,DACC
1301,,,,,109.99151878589937,0.29700324489406377,2.3628438736862853,0.4564198687910028,0.0,0.0,0.0,0.56,,
1302,,,,,68.26212308406392,0.3289207574921861,2.871594840467574,0.6789297658862876,0.0,0.0,0.0,0.39285714285714285,,
1303,,,,,52.89178113360981,0.3294211214133089,1.4070697260474017,0.7221556886227545,0.0,0.0,0.0,0.38461538461538464,,
1304,,,,,32.28902717255561,0.34384218289085544,1.1603646966303054,0.7285276073619632,0.0,0.0,0.0,0.4583333333333333,,
1305,,,,,38.501159454282764,0.4269875229154813,1.0503704248545978,0.7665198237885462,0.0,0.0,0.0,0.4,,
1306,,,,,21.85475867463012,0.4514083193434061,0.49628814836692986,0.8758109360518999,0.0,0.0,0.0,0.3076923076923077,,
1307,,,,,23.506510640276467,0.4743612028506866,0.8583321001664427,0.8329238329238329,0.0,0.0,0.0,0.32142857142857145,,
1308,,,,,8.548893834461728,0.536779324055666,0.6731056105838251,0.8148148148148148,0.0,0.0,0.0,0.07142857142857142,,
1309,,,,,9.035846194775191,0.576992103374013,0.7544437526529882,0.8302439024390244,0.0,0.0,0.0,0.19230769230769232,,
1310,,,,,8.156703867510496,0.5646130084091299,0.517448948179795,0.8590909090909091,0.0,0.0,0.0,0.10714285714285714,,
1311,,,,,8.337170428978322,0.6174783465443534,0.2339708370328746,0.9398663697104677,0.0,0.0,0.0,0.14285714285714285,,
1312,,,,,28.844512698186183,0.604778761061947,0.3098989372705052,0.9304992926954732,0.0,0.0,0.0,0.14814814814814814,,
1313,,,,,9.066215767941577,0.6156103723404255,0.2261064115850147,0.9462809917355371,0.0,0.0,0.0,0.14285714285714285,,
1314,,,,,44.425246207692,0.6392592592592593,0.44691474280633703,0.9018612521150592,0.0,0.0,0.0,0.07407407407407407,,
1315,,,,,4.852215210078644,0.6827466318991743,0.36757457875264643,0.9106957424714434,0.5,0.1111111111111111,0.1818181818181818,0.047619047619047616,,
