round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean,DACC
2001,0.7999937206506729,0.728,,,1.1972207532548471,0.5921450151057401,,,,,,,0.0,
2002,0.8073210656642914,0.7235,,,0.9581300972919075,0.6759183673469388,,,,,,,0.0,
2003,0.815352264046669,0.7203,,,1.0016863939977108,0.6680145572179539,,,,,,,0.0,
2004,0.8251666128635406,0.717,,,0.9625384444597281,0.6823338735818476,,,,,,,0.0,
2005,0.8285331934690475,0.7164,,,0.9352315394245848,0.6887755102040817,,,,,,,0.0,
2006,0.8296515583992005,0.7158,,,0.9296203667249239,0.6849094567404427,,,,,,,0.0,
2007,0.8375297874212265,0.7135,,,0.9881012740522755,0.661140315406389,,,,,,,0.0,
2008,0.8405367076396942,0.7108,,,0.934179548313794,0.6899696048632219,,,,,,,0.0,
2009,0.8382350862026214,0.7113,,,0.9405335737491141,0.6906122448979591,,,,,,,0.0,
2010,0.8426833748817444,0.7071,,,0.9827177201139948,0.66653168657623,,,,,,,0.0,
2011,0.8406078457832337,0.7104,,,0.9294080830615382,0.684967585089141,,,,,,,0.0,
2012,0.8438956588506699,0.7098,,,0.939953737761912,0.6847539987851792,,,,,,,0.0,
2013,0.8511021733283997,0.707,,,0.9919610155846548,0.6739875075559137,,,,,,,0.0,
2014,0.8505881547927856,0.7044,,,0.943321537981157,0.6794975688816856,,,,,,,0.0,
2015,0.851598036289215,0.705,,,0.9202193026639978,0.700204081632653,,,,,,,0.0,
2016,0.8546656459569931,0.7047,,,0.9426506566904719,0.6747720364741642,,,,,,,0.0,
2017,0.8559594601392746,0.7054,,,0.9248685195248579,0.6855638793277992,,,,,,,0.0,
2018,0.8508449882268906,0.7087,,,0.9330067120279585,0.6846938775510204,,,,,,,0.0,
2019,0.8485596030950546,0.709,,,0.9338758836763608,0.6844984802431611,,,,,,,0.0,
2020,0.8475272804498672,0.706,,,0.8907658490842703,0.6971428571428572,,,,,,,0.0,
2021,0.8526384323835373,0.7049,,,0.9059897868969736,0.6983420946219167,,,,,,,0.0,
2022,0.8435419082641602,0.7073,,,0.9355816435526074,0.6887323943661972,,,,,,,0.0,
2023,0.8507337629795074,0.7055,,,0.9861109856196812,0.6610204081632653,,,,,,,0.0,
2024,0.8530630618333817,0.7029,,,0.8439217405357863,0.7179331306990882,,,,,,,0.0,
2025,0.8431700617074966,0.7096,,,0.8862222611174292,0.7044897959183674,,,,,,,0.0,
2026,0.8401286542415619,0.7125,,,0.8696754325652609,0.7104081632653061,,,,,,,0.0,
2027,0.8428857505321503,0.7085,,,0.9882847084034737,0.667066346922462,,,,,,,0.0,
2028,0.8441991239786149,0.7081,,,0.9155082732831574,0.6956433637284701,,,,,,,0.0,
2029,0.8415456354618073,0.7132,,,0.9576558294018293,0.6787781992413655,,,,,,,0.0,
2030,0.8425097107887268,0.7124,,,0.9388116502275272,0.6855102040816327,,,,,,,0.0,
2031,0.8368115365505219,0.7087,,,0.8855528989130137,0.6928571428571428,,,,,,,0.0,
2032,0.8398776024580001,0.7098,,,0.9032287538781458,0.7018367346938775,,,,,,,0.0,
2033,0.8372110396623611,0.7144,,,0.945088571918254,0.673469387755102,,,,,,,0.0,
2034,0.8391862601041794,0.7105,,,0.9749078386138046,0.6703185230269831,,,,,,,0.0,
2035,0.8347948759794235,0.7102,,,0.8738413082188506,0.7013171225937184,,,,,,,0.0,
2036,0.8301029860973358,0.7173,,,0.8322232075177173,0.7213910230489284,,,,,,,0.0,
2037,0.8277784913778305,0.7098,,,0.9021605680266538,0.6953815261044177,,,,,,,0.0,
2038,0.8232684016227723,0.7165,,,0.9590203524407134,0.6716538617064295,,,,,,,0.0,
2039,0.8273651093244553,0.7186,,,0.9554129048885969,0.6807863802188894,,,,,,,0.0,
2040,0.8295551985502243,0.7171,,,0.932307774751116,0.6813892792611925,,,,,,,0.0,
2041,0.8246189743280411,0.7169,,,0.8853874527232748,0.7030181086519115,,,,,,,0.0,
2042,0.8157201439142228,0.7177,,,0.8674735068840449,0.7094553553350881,,,,,,,0.0,
2043,0.8184650510549545,0.7196,,,0.9095962486948286,0.693265306122449,,,,,,,0.0,
2044,0.8211790353059769,0.7172,,,0.9642620163547749,0.673265306122449,,,,,,,0.0,
2045,0.8223798871040344,0.7161,,,0.8930574279415364,0.700204081632653,,,,,,,0.0,
2046,0.8211636573076249,0.7169,,,0.8723831033542438,0.7044165316045381,,,,,,,0.0,
2047,0.8170320063829422,0.719,,,0.9397453257584121,0.6863691194209891,,,,,,,0.0,
2048,0.8194149196147918,0.7173,,,0.9273463652965949,0.6858067124949454,,,,,,,0.0,
2049,0.8177528768777848,0.7141,,,0.9252618171635875,0.6863810098571715,,,,,,,0.0,
2050,0.8156543433666229,0.7193,,,0.8724632805464219,0.6985714285714286,,,,,,,0.0,
2051,0.8104658186435699,0.7195,,,0.8718018090238376,0.6975510204081633,,,,,,,0.0,
2052,0.8145243197679519,0.7194,,,0.9114106394579963,0.6871961102106969,,,,,,,0.0,
2053,0.8158831834793091,0.7205,,,0.8245636302995913,0.7161669367909238,,,,,,,0.0,
2054,0.8138643145561218,0.7192,,,0.8336960320326747,0.7220408163265306,,,,,,,0.0,
2055,0.811831533908844,0.7197,,,0.938764657214221,0.6792111088750251,,,,,,,0.0,
2056,0.8163581281900406,0.717,,,0.9780606583429843,0.6763265306122449,,,,,,,0.0,
2057,0.80494065284729,0.7224,,,0.8627345225940528,0.7008048289738431,,,,,,,0.0,
2058,0.8064692080020904,0.7199,,,0.8684311912294412,0.700744616623063,,,,,,,0.0,
2059,0.8083802193403244,0.7224,,,0.9017668449392124,0.7004081632653061,,,,,,,0.0,
2060,0.810315665602684,0.7225,,,0.9138719725981279,0.6814769730168391,,,,,,,0.0,
2061,0.8113673090934753,0.7208,,,0.8548662601162588,0.710291734197731,,,,,,,0.0,
2062,0.806967094540596,0.7208,,,0.9026519313083532,0.6997367888236485,,,,,,,0.0,
