round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean,DACC
2001,0.7999937623739243,0.728,,,1.1972207532548471,0.5921450151057401,,,0.0,0.0,0.0,0.0,,0.9
2002,0.8069916069507599,0.7241,,,0.9650014180066634,0.6814285714285714,,,0.0,0.0,0.0,0.0,,0.9
2003,0.8148189723491669,0.7209,,,0.9888627382121103,0.6710473109583501,,,0.0,0.0,0.0,0.0,,0.9
2004,0.8268974155187607,0.7172,,,0.9680405591450015,0.6699756888168558,,,0.0,0.0,0.0,0.0,,0.9
2005,0.8309349626302719,0.7144,,,0.9814741022246225,0.6748979591836735,,,0.0,0.0,0.0,0.0,,0.9
2006,0.8325419247150421,0.7137,,,0.9471979557628363,0.6796780684104627,,,0.0,0.0,0.0,0.0,,0.9
2007,0.8374428570270538,0.7135,,,0.9506050985060961,0.6829761423372422,,,0.0,0.0,0.0,0.0,,0.9
2008,0.8405790954828263,0.7121,,,0.9931597421959178,0.6693009118541033,,,0.0,0.0,0.0,0.0,,0.9
2009,0.8391404628753663,0.7111,,,0.9562706337899578,0.6838775510204081,,,0.0,0.0,0.0,0.0,,0.9
2010,0.8440579771995544,0.7076,,,0.9558582816391393,0.6809070662077343,,,0.0,0.0,0.0,0.0,,0.9
2011,0.8407618403434753,0.7099,,,0.9331258021935072,0.68354943273906,,,0.0,0.0,0.0,0.0,,0.9
2012,0.8437228679656983,0.7108,,,0.9519223111388798,0.6853614091921442,,,0.0,0.0,0.0,0.0,,0.9
2013,0.8495829641819,0.7072,,,0.9608331325192041,0.6737860165222648,,,0.0,0.0,0.0,0.0,,0.9
2014,0.773014834523201,0.7355,,,,,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2015,0.7980411946773529,0.7246,,,1.1579931924294453,0.6144897959183674,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2016,0.8091817498207092,0.7235,,,1.0333276752680036,0.6542182227221597,0.35346179750500895,0.8938775510204081,0.0,0.0,0.0,0.05555555555555555,,0.85
2017,0.8251784324645997,0.7217,,,1.0264842942746262,0.6622798137274752,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2018,0.8290217310190201,0.7163,,,1.0435391757439594,0.6489795918367347,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2019,0.8355726867914199,0.7132,,,0.9885300537493936,0.6611955420466059,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2020,0.8427219271659852,0.7109,,,0.9980276518451924,0.66,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2021,0.8511623680591583,0.7084,,,0.9617239731166992,0.6829761423372422,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2022,0.8481654465198517,0.7064,,,1.0102520970751343,0.6674044265593562,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2023,0.8549367010593414,0.7034,,,0.9223429671355656,0.6938775510204082,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2024,0.8607255011796952,0.6983,,,0.9676467363595238,0.6763931104356636,,,0.0,0.0,0.0,0.05555555555555555,,0.85
2025,0.7690697401762009,0.7347,,,,,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2026,0.7971250951290131,0.7314,,,1.1516241000136551,0.610204081632653,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2027,0.8124068260192872,0.722,,,1.0780485276695635,0.6454836131095124,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2028,0.8189957529306412,0.7181,,,0.9801591140037853,0.6729483282674772,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2029,0.8218071341514588,0.7198,,,0.9736358406396654,0.6717907766021162,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2030,0.834301233291626,0.7156,,,0.9538040964457454,0.6855102040816327,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2031,0.8333739012479782,0.7114,,,0.9559846238142508,0.6783546864463924,0.34030603170394896,0.9040816326530612,0.0,0.0,0.0,0.08888888888888889,,0.82
2032,0.8405586868524552,0.7087,,,0.9230706240692917,0.6877551020408164,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2033,0.8423662692308426,0.7115,,,0.9464241048024625,0.6836734693877551,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2034,0.8478618919849396,0.7081,,,0.9356902113282963,0.6855345911949685,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2035,0.8491959244012832,0.7061,,,0.9859589552323749,0.6628166160081054,,,0.0,0.0,0.0,0.08888888888888889,,0.82
2036,0.772149208188057,0.7364,,,,,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2037,0.8087696105241775,0.7231,,,1.2256131147763816,0.5710843373493976,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2038,0.8166576772928238,0.724,,,1.0379933973482829,0.6528507885159726,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2039,0.8236913233995438,0.7196,,,1.0152533140122577,0.654843940008107,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2040,0.8362234979867935,0.7135,,,1.074847197345978,0.6398313591648264,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2041,0.8344859093427658,0.7122,,,0.9774599223069742,0.6724346076458753,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2042,0.8305556058883667,0.713,,,0.9479067471134057,0.6805021259364243,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2043,0.8325783610343933,0.7175,,,0.9139205245095856,0.689795918367347,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2044,0.8413701117038727,0.7098,,,0.9454913869196054,0.6853061224489796,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2045,0.8469387650489807,0.7098,,,0.9316528722218105,0.6879591836734694,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2046,0.8515562415122986,0.7083,,,0.9709010781113487,0.6756482982171799,,,0.0,0.0,0.0,0.1111111111111111,,0.8
2047,0.7781612783670425,0.7347,,,,,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2048,0.806018152832985,0.7255,,,1.186240594636753,0.5972503032753741,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2049,0.8127049803733826,0.7203,,,1.0141231800271961,0.652383826191913,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2050,0.8209283143281937,0.7172,,,0.9984125219072615,0.6628571428571428,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2051,0.8239941418170929,0.7158,,,0.9420778975924667,0.686530612244898,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2052,0.831980773806572,0.7158,,,0.9483828664405612,0.6843598055105349,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2053,0.8338138937950135,0.7154,,,0.9438290289290721,0.6817260940032415,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2054,0.83607217669487,0.7115,,,0.9900432199577626,0.6668934240362812,0.3782870510402991,0.8918367346938776,0.0,0.0,0.0,0.14444444444444443,,0.77
2055,0.8446987986564636,0.7105,,,1.0200706449738208,0.652847655463876,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2056,0.8461059212684632,0.7087,,,0.9282883017890308,0.6926530612244898,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2057,0.8429439932107925,0.7096,,,0.9473360569184455,0.6818913480885311,,,0.0,0.0,0.0,0.14444444444444443,,0.77
2058,0.7737694919109345,0.7383,,,,,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2059,0.79758540391922,0.7282,,,1.1290250239566881,0.6179591836734694,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2060,0.8091809719800949,0.7225,,,1.0391781241590485,0.6473929803205518,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2061,0.8198303371667862,0.7199,,,1.001456448817369,0.6626823338735819,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2062,0.8284917950630188,0.7106,,,0.9923383422989964,0.6691609977324263,0.42157655711076697,0.8673469387755102,0.0,0.0,0.0,0.16666666666666666,,0.75
2063,0.8285474628210068,0.7148,,,0.9918373634052383,0.6619843924191751,0.32777523191607727,0.8938775510204081,0.0,0.0,0.0,0.16666666666666666,,0.75
2064,0.8363050937652587,0.7108,,,0.9903542884028688,0.6769387755102041,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2065,0.8446899116039276,0.7092,,,0.9951795229919517,0.6617468661544682,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2066,0.8494226932525635,0.7068,,,1.0352491767731997,0.6490160275918037,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2067,0.8534618884325027,0.7041,,,1.0049869110632916,0.6638775510204081,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2068,0.8494333803653717,0.7056,,,0.9479402427132249,0.6885511651469098,,,0.0,0.0,0.0,0.16666666666666666,,0.75
2069,0.7710436910390854,0.7391,,,,,,,0.0,0.0,0.0,0.2111111111111111,,0.71
2070,0.8009524017572403,0.7284,,,1.2010441825827773,0.5953061224489796,,,0.0,0.0,0.0,0.2111111111111111,,0.71
2071,0.808653250336647,0.7236,,,0.9837401800252953,0.666530612244898,,,0.0,0.0,0.0,0.2111111111111111,,0.71
2072,0.81781764626503,0.7183,,,0.9767828185001468,0.6743764172335601,0.32002406959631,0.9,0.0,0.0,0.0,0.2111111111111111,,0.71
2073,0.8245721995830536,0.7182,,,0.8937974720996809,0.696895922093731,,,0.0,0.0,0.0,0.2111111111111111,,0.71
2074,0.8311805784702301,0.71,,,0.9859626329657758,0.6664640324214792,,,0.0,0.0,0.0,0.2111111111111111,,0.71
2075,0.8362881392240524,0.7122,,,0.9836568643365587,0.6644897959183673,,,0.0,0.0,0.0,0.2111111111111111,,0.71
