round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8107987016439437,0.7256,2.4751274585723877,0.32142857142857145,0.9203571231141793,0.6992230854605993,,
2002,0.8446979135274887,0.717,2.209076166152954,0.3622448979591837,0.8573719180174859,0.7093874137570563,0.3774627449227051,0.8573943661971831
2003,0.8598270654678345,0.7146,2.147390365600586,0.3622448979591837,0.8165554965131346,0.7438243366880146,0.2424425457123738,0.9267515923566879
2004,0.8700412094593049,0.713,2.083311080932617,0.3673469387755102,0.5203536055302181,0.8372014799865456,0.296449253985781,0.9144542772861357
2005,0.8938600987195968,0.7078,2.0425636768341064,0.3673469387755102,0.909645815994942,0.7019269369731032,0.4110805610815684,0.8722222222222222
2006,0.9084240317344665,0.7063,2.195474863052368,0.3163265306122449,0.8211257074267627,0.7276478679504814,,
2007,0.9294082462787628,0.6967,2.3477048873901367,0.2602040816326531,0.8432428612187799,0.7255327545382794,,
2008,0.9301026403903961,0.6975,2.3237717151641846,0.27040816326530615,0.7356950463759503,0.7570789865871833,0.29084401672155086,0.8961267605633803
2009,0.922147661447525,0.7001,2.1759793758392334,0.3112244897959184,0.7445578611631324,0.7528985507246376,0.3239259559918067,0.8954741379310345
2010,0.9414519816637039,0.6953,2.147853136062622,0.30612244897959184,0.8101954366812829,0.7344383057090239,,
2011,0.9445752054452896,0.698,2.1542885303497314,0.32142857142857145,0.6061594681191619,0.8201459854014599,0.31448473614421696,0.8998178506375227
2012,0.9470503032207489,0.6992,2.0104219913482666,0.3469387755102041,0.6911920898578747,0.7770134709085698,0.30047293171028183,0.9067919075144508
2013,1.0062083512544633,0.6829,2.053630828857422,0.3163265306122449,0.8393109660601408,0.7182192485846629,0.3675895163772303,0.8899082568807339
2014,1.0074934363365173,0.6837,2.060598850250244,0.32142857142857145,0.8418925800056392,0.7302150762163291,0.23578941233598502,0.9299363057324841
2015,0.9886070758104324,0.6889,1.9839997291564941,0.3469387755102041,0.7723854241462854,0.7477106227106227,0.3193560640017192,0.9111111111111111
2016,0.9747335195541382,0.6979,1.976723074913025,0.3520408163265306,0.7637912303658851,0.7557675244010648,0.3321100142267015,0.8944444444444445
2017,0.9927054733037949,0.6951,1.874326229095459,0.37755102040816324,0.8124849789810139,0.7343744966037533,0.30134192424476464,0.9021164021164021
2018,0.9815427303314209,0.6964,1.9149774312973022,0.3673469387755102,0.7251858001185678,0.7674916706330319,0.19737520984783294,0.9585987261146497
2019,0.9937004685401917,0.6923,1.8552985191345215,0.3673469387755102,0.7104477106712386,0.7754356379988758,0.339046106910841,0.9011363636363636
2020,0.9941405355930328,0.6943,1.8722519874572754,0.3622448979591837,0.7272598507273286,0.762987012987013,0.27426781717354687,0.907859078590786
