round, test_clean_loss   , test_clean_acc, test_backdoor_loss, test_backdoor_acc   , train_clean_loss     , train_clean_acc   , train_backdoor_loss, train_backdoor_acc
 2001, 0.7868755370378494,         0.7312, 4.137295055389404 , 0.03711111111111111 , 0.7571548473187819   , 0.7494820116782822,                    ,  
 2002, 0.8298144280910492,         0.7195, 3.8594370245933534, 0.02822222222222222 , 0.878661971680839    , 0.7061739522307345,                    ,  
 2003, 0.8517917156219482,         0.7125, 3.6156914949417116, 0.035111111111111114, 0.8850947212453879   , 0.7091497699778497,                    ,  
 2004, 0.8613185495138168,         0.7099, 3.5582719683647155, 0.03822222222222222 , 0.48387314356554856  , 0.8491866556382686, 0.5128584465540473 , 0.8154269972451791
 2005, 0.873183649778366 ,         0.708 , 3.379927062988281 , 0.04477777777777778 , 0.8142604873650634   , 0.7292252107587315, 0.4223742233382331 , 0.8722222222222222
 2006, 0.891247695684433 ,         0.7044, 3.435303103923798 , 0.03277777777777778 , 0.7998410581183425   , 0.7404702529390809,                    ,  
 2007, 0.9017248541116715,         0.6992, 3.4128177762031555, 0.03211111111111111 , 0.8579588398882715   , 0.7113064812921693,                    ,  
 2008, 0.9136193543672562,         0.6993, 3.225551176071167 , 0.036               , 0.8576606540908962   , 0.7137559597386545,                    ,  
 2009, 0.9169032335281372,         0.6963, 3.171474587917328 , 0.041666666666666664, 0.6036162882497033   , 0.7977764423076923, 0.4084103080961439 , 0.8805555555555555
 2010, 0.9232529759407043,         0.6985, 3.215126359462738 , 0.03211111111111111 , 0.8329064310757838   , 0.7299284578696343,                    ,  
 2011, 0.9398911416530609,         0.6891, 3.1405930042266847, 0.03722222222222222 , 0.5371668384860467   , 0.8353284671532847, 0.4318380547460094 , 0.8688524590163934
 2012, 0.9371784389019012,         0.6903, 3.2353058457374573, 0.027666666666666666, 0.6899047509763477   , 0.7807826498966229,                    ,  
 2013, 0.9419384956359863,         0.6875, 3.250744807720184 , 0.029               , 0.7174047824867942   , 0.7704750204750205,                    ,  
 2014, 0.9518612354993821,         0.6834, 3.108474040031433 , 0.034               , 0.7950201870270021   , 0.7365145228215768,                    ,  
 2015, 0.9338886380195618,         0.6941, 3.022087776660919 , 0.04855555555555555 , 0.5364809823648888   , 0.8296703296703297, 0.456963923242357  , 0.8666666666666667
 2016, 0.9401038318872452,         0.6906, 2.9685807704925535, 0.05344444444444445 , 0.7687310868578351   , 0.7433451641526175, 0.4949686566988627 , 0.8472222222222222
 2017, 0.9367419272661209,         0.6942, 3.0438128232955934, 0.04733333333333333 , 0.6747653145592584   , 0.7882346182958477,                    ,  
 2018, 0.9353459626436234,         0.6945, 3.0528687715530394, 0.05011111111111111 , 0.6479744203077732   , 0.7883973288814691,                    ,  
 2019, 0.9583585232496261,         0.6879, 2.862937557697296 , 0.07211111111111111 , 0.8085830606102717   , 0.7390788224121557, 0.33310357543217123, 0.8969258589511754
 2020, 0.9569145619869233,         0.6917, 2.9287188053131104, 0.066               , 0.6645215988714502   , 0.7855072463768116,                    ,  
 2021, 0.9754357308149337,         0.6855, 2.941099560260773 , 0.05566666666666667 , 0.8592517568164701   , 0.7193372398464336,                    ,  
 2022, 0.9883045017719269,         0.685 , 2.770784091949463 , 0.07366666666666667 , 0.8756245285388561   , 0.7127107652399481,                    ,  
 2023, 0.9915831506252288,         0.6885, 2.7741206765174864, 0.07144444444444445 , 0.7979331745563362   , 0.7391705884051275,                    ,  
 2024, 0.9861046075820923,         0.6883, 2.6855491995811462, 0.08122222222222222 , 0.6165727912699706   , 0.8080133555926544,                    ,  
 2025, 0.9776439905166626,         0.6923, 2.728326153755188 , 0.07677777777777778 , 0.6049525783322494   , 0.8027750247770069,                    ,  
 2026, 0.9805323749780654,         0.6867, 2.8008173942565917, 0.06111111111111111 , 0.7718931323586513   , 0.7420914769292767, 0.2693418595525954 , 0.9131944444444444
 2027, 0.9679231375455857,         0.6939, 2.7994495272636413, 0.06577777777777778 , 0.6153869837367386   , 0.7956643056449882,                    ,  
 2028, 0.9562927931547165,         0.6971, 2.845208764076233 , 0.06311111111111112 , 0.6166504383087158   , 0.8063888888888889,                    ,  
 2029, 0.947191447019577 ,         0.6984, 2.899208295345306 , 0.06166666666666667 , 0.6496162540424331   , 0.7845350052246604,                    ,  
 2030, 0.9590344607830048,         0.6998, 2.9491269111633303, 0.049444444444444444, 0.7815919522435717   , 0.7328230362675414,                    ,  
 2031, 0.9627958536148071,         0.697 , 2.9899100184440615, 0.04533333333333334 , 0.6763569914957399   , 0.7819914824579193,                    ,  
 2032, 0.9611711651086807,         0.7009, 2.90433132648468  , 0.051444444444444445, 0.743475268657249    , 0.7529980657640232,                    ,  
 2033, 0.9772043019533158,         0.7015, 2.8723297476768495, 0.04888888888888889 , 0.740625295173036    , 0.7536698170118641,                    ,  
 2034, 0.9808130204677582,         0.6905, 2.894111216068268 , 0.04733333333333333 , 0.7304821870887545   , 0.7707279096924874,                    ,  
 2035, 0.9795769184827805,         0.6983, 2.838828480243683 , 0.05344444444444445 , 0.7009084776253239   , 0.7766827427133571, 0.3595005959435239 , 0.8706739526411658
 2036, 1.0022791385650636,         0.6837, 2.655285668373108 , 0.07677777777777778 , 0.8366327759121379   , 0.719625488644825 , 0.2982878305894487 , 0.9125386996904025
 2037, 1.0252962768077851,         0.6781, 2.762526977062225 , 0.04677777777777778 , 0.8629931725520569   , 0.709538567493113 ,                    ,  
 2038, 1.0222842633724212,         0.6787, 2.8072629809379577, 0.03966666666666667 , 0.7648283368725317   , 0.7542710891232125,                    ,  
 2039, 1.0198935002088547,         0.6841, 2.7528236746788024, 0.050222222222222224, 0.6678121175622156   , 0.7806855025474757, 0.3633676912666352 , 0.8842975206611571
 2040, 1.016053593158722 ,         0.6848, 2.823131263256073 , 0.04055555555555555 , 0.5717561551661777   , 0.8199341795956746,                    ,  
 2041, 1.0111980885267258,         0.6846, 2.8080177307128906, 0.04611111111111111 , 0.7777550477628804   , 0.7445309603262885,                    ,  
 2042, 1.003925696015358 ,         0.6829, 2.861688256263733 , 0.03933333333333333 , 0.6111710544805627   , 0.8075157619560203, 0.44591554800669353, 0.8694444444444445
 2043, 1.0192923098802567,         0.6741, 2.8295409321784972, 0.03944444444444444 , 0.7037075432987355   , 0.7760162237046988,                    ,  
 2044, 1.0063120365142821,         0.6794, 2.761233389377594 , 0.05211111111111111 , 0.7568935116366423   , 0.7487866433702194, 0.4146114216910468 , 0.8694444444444445
 2045, 0.9936369955539703,         0.6844, 2.855905330181122 , 0.041444444444444443, 0.6757112451526056   , 0.7819665759813448,                    ,  
 2046, 0.9987310260534287,         0.6793, 2.8848556518554687, 0.04388888888888889 , 0.6980513957700379   , 0.7759836674090571, 0.27477839092413586, 0.9131944444444444
 2047, 0.9917737662792205,         0.6827, 2.9288596510887146, 0.041666666666666664, 0.6523745655876367   , 0.7967228686772738,                    ,  
 2048, 0.983381724357605 ,         0.6854, 2.871118450164795 , 0.049666666666666665, 0.5540439775608083   , 0.8195211786372008, 0.39337883204139623, 0.8815426997245179
 2049, 0.9815053254365921,         0.6851, 2.874010407924652 , 0.05011111111111111 , 0.4343174637938503   , 0.8585987261146497,                    ,  
