round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8107969611883163,0.7256,3.5684362649917603,0.057777777777777775,0.9203571231141793,0.6992230854605993,,
2002,0.8502172559499741,0.7188,3.179845654964447,0.07333333333333333,0.8905237995675361,0.7035333472715869,0.468268011237534,0.8556338028169014
2003,0.8805480927228928,0.715,3.0040085554122924,0.07322222222222222,0.815633676428099,0.7378774016468436,0.3904090667985807,0.8789808917197452
2004,0.8975828498601913,0.707,2.871843695640564,0.09288888888888888,0.5673224642281375,0.8166834846955937,0.4344528656207472,0.8643067846607669
2005,0.9159453094005585,0.7037,2.759674370288849,0.08944444444444444,0.8600110490666197,0.7101565636290647,0.3490976373354594,0.9083333333333333
2006,0.930966493487358,0.7002,2.863172459602356,0.07033333333333333,0.7982365694647338,0.7433680487325605,,
2007,0.9379754602909088,0.6957,3.018588650226593,0.04655555555555556,0.7866224360306054,0.7413180741910024,,
2008,0.9417502820491791,0.6953,2.9257250905036924,0.057555555555555554,0.7002172084128271,0.7794336810730254,0.3374533632271726,0.8908450704225352
2009,0.9427959948778153,0.6965,2.8210696816444396,0.07222222222222222,0.5779904385083827,0.8003623188405797,0.33970903117081214,0.8976293103448276
2010,0.9481834024190903,0.6966,2.8493024826049806,0.05711111111111111,0.8103912265947291,0.7316758747697975,,
2011,0.9580861657857895,0.691,2.8057077884674073,0.07033333333333333,0.5276117282779548,0.8356204379562043,0.38522514158042187,0.8779599271402551
2012,0.9683699131011962,0.6894,2.572161102294922,0.10155555555555555,0.6186232060305059,0.7993694468329035,0.4198904756693482,0.869942196531792
2013,1.038572108745575,0.6732,2.486968231201172,0.095,0.9323533324316734,0.6868244981986619,0.47125965721381186,0.8608562691131498
2014,1.0460490524768828,0.6684,2.510891783237457,0.08577777777777777,0.7623454165635415,0.7546460638964293,0.3713915291105866,0.8901273885350318
2015,1.0301300317049027,0.6794,2.480378198623657,0.09666666666666666,0.8207845467350858,0.7367216117216118,0.32746635542975533,0.9
2016,1.0335548847913743,0.6769,2.4983527064323425,0.095,0.854509755770718,0.7114019520851819,0.3069660829173194,0.9055555555555556
2017,1.0368941187858582,0.6782,2.389982008934021,0.11488888888888889,0.8143337862660979,0.7300568669959996,0.4196017898579754,0.8597883597883598
2018,1.020904803276062,0.6846,2.436301290988922,0.11066666666666666,0.699733860985771,0.7703474535935269,0.35968787313266926,0.8821656050955414
2019,1.03667553961277,0.6769,2.303792715072632,0.14522222222222222,0.6705516778370297,0.790893760539629,0.36328121096065097,0.8829545454545454
2020,1.0327916949987412,0.6833,2.3651881337165834,0.134,0.7289082847798246,0.7648423005565863,0.2800493520611347,0.9186991869918699
2021,1.038196724653244,0.6788,2.3705936074256897,0.12088888888888889,0.698230344350419,0.7719431760527651,0.25064321916277815,0.9281842818428184
2022,1.0262292474508286,0.682,2.3206650733947756,0.13633333333333333,0.6160690635121482,0.8076285240464345,0.3150077262657812,0.9030172413793104
2023,1.0196641355752945,0.6806,2.4307377576828,0.11444444444444445,0.6886130053120209,0.7905969687596659,0.2340726198623497,0.9308943089430894
2024,1.0221718817949295,0.6785,2.433465027809143,0.11266666666666666,0.4874144644752034,0.8456150182123844,0.29438247731034184,0.9066901408450704
2025,1.0224145472049713,0.6811,2.441806161403656,0.11088888888888888,0.6396989645691198,0.7846059616169865,,
2026,1.0150853514671325,0.6813,2.493650233745575,0.10455555555555555,0.7308637779064244,0.7653979238754325,0.31349218542398843,0.9104803493449781
2027,1.0142206788063048,0.6853,2.5266645789146422,0.09422222222222222,0.6854260594285615,0.7790149753649155,,
2028,1.0078631490468979,0.6859,2.5974709510803224,0.07777777777777778,0.6360390823232936,0.7911929254647175,,
2029,1.0084229022264481,0.6867,2.585255300998688,0.077,0.8454494983070795,0.7121484141232794,,
2030,1.0209135740995408,0.6799,2.7409923672676086,0.051666666666666666,0.8178173340461287,0.7293483431108292,,
2031,1.0188906967639924,0.6841,2.6875902652740478,0.05455555555555556,0.7774584681934054,0.7426052889324192,,
2032,1.0194901555776597,0.6857,2.6574214816093447,0.06255555555555556,0.8029106268137577,0.7336466901684293,0.29611919043769297,0.9084507042253521
2033,1.0254526793956757,0.6837,2.7090394854545594,0.053,0.7047531961422333,0.7801514857253836,,
2034,1.0170770525932311,0.6833,2.7316397547721865,0.04777777777777778,0.5037085035658787,0.846024501561374,0.23279590718952944,0.9308943089430894
2035,1.0318769454956054,0.6821,2.6538670301437377,0.058666666666666666,0.9275394015328192,0.6905011532816104,0.2908979535157129,0.9089253187613844
2036,1.0807969689369201,0.66,2.4855188608169554,0.07777777777777778,0.895938097264821,0.7028744448728859,0.29055203538353414,0.9125386996904025
2037,1.0872442901134491,0.6589,2.5556718945503234,0.06322222222222222,0.848121813530577,0.7213881848313511,0.30826083376149466,0.910828025477707
2038,1.0702239841222763,0.6642,2.5490023851394654,0.06655555555555556,0.7497300507672411,0.7535836177474403,0.20798801180469959,0.9295392953929539
2039,1.0562181979417802,0.672,2.5445759534835815,0.07611111111111112,0.6278349601488082,0.7941176470588235,0.32884905669971604,0.9173553719008265
2040,1.0385053873062133,0.678,2.571829152107239,0.07733333333333334,0.6717511890300195,0.7757882444530946,,
2041,1.039817664027214,0.6771,2.6053587913513185,0.06977777777777777,0.6360793850472244,0.7946257197696737,0.22121805946032205,0.9322493224932249
2042,1.0287002563476562,0.6768,2.674232566356659,0.06177777777777778,0.7169381418107437,0.7637989197293557,0.3526230818695492,0.9027777777777778
2043,1.0320861726999282,0.6749,2.636267614364624,0.07,0.7100150217176767,0.7681343047196706,,
2044,1.0186128199100495,0.6774,2.4847277283668516,0.11066666666666666,0.5321190742543278,0.8289227479283614,0.3764503608315678,0.8903954802259887
2045,0.9987863808870315,0.6864,2.552232086658478,0.09822222222222222,0.5756491928337798,0.8139966273187184,,
2046,1.0066931068897247,0.6814,2.6516188859939573,0.08211111111111111,0.8290975312712728,0.7212323682256867,0.3270314203368293,0.8958333333333334
2047,0.9851367712020874,0.6915,2.68863365650177,0.08033333333333334,0.613907377064228,0.8044,,
2048,0.9775689542293549,0.6973,2.6379289627075195,0.09044444444444444,0.5547631841365585,0.8218232044198895,0.27837435433194657,0.9421487603305785
2049,0.9836601197719574,0.6888,2.6525500535964968,0.09111111111111111,0.7475410534864233,0.7686553207406022,,
2050,0.9788669168949127,0.6886,2.6466627717018127,0.095,0.6214520643725379,0.7978286384976526,0.3271871935313856,0.9014084507042254
2051,0.9830280065536499,0.6873,2.655530858039856,0.09966666666666667,0.7808999804854393,0.7483333333333333,,
2052,0.9867202818393708,0.6821,2.734916877746582,0.08411111111111111,0.6279053757163059,0.7942822870851659,0.3078435758749644,0.9201388888888888
2053,1.004192590713501,0.681,2.5636173129081725,0.11066666666666666,0.7552285541230419,0.7534386143657666,0.3383855266586283,0.895771878072763
2054,0.9879060178995133,0.6841,2.5193423509597777,0.121,0.3147272081723699,0.9082390953150242,0.4173905175031143,0.8776758409785933
2055,0.9791353434324265,0.6869,2.422823596000671,0.14455555555555555,0.39307446122289835,0.8721462634761507,0.31641462509092716,0.9089692101740294
2056,0.9626677930355072,0.6924,2.44723961353302,0.1471111111111111,0.3555894484807291,0.8881499395405078,,
