round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8107979029417038,0.7256,3.9669960737228394,0.04711111111111111,0.9203571231141793,0.6992230854605993,,
2002,0.8434459745883942,0.7215,1.9299363791942596,0.38555555555555554,0.8459922773847265,0.7131507422120008,0.302285544889074,0.920774647887324
2003,0.8779892981052398,0.7145,1.8117642819881439,0.39366666666666666,0.8505981219872791,0.7218664226898445,0.2259900302264341,0.9299363057324841
2004,0.8918550282716751,0.7104,1.650026834011078,0.43855555555555553,0.5111903486904315,0.8368651194080053,0.32401613776838534,0.911504424778761
2005,0.9031990945339203,0.7045,1.6394766926765443,0.443,0.7845896751777277,0.7434765154556403,0.3172112786107593,0.9083333333333333
2006,0.9204978704452514,0.6997,1.7479813933372497,0.41333333333333333,0.8349558139162416,0.7254863430929456,,
2007,0.9471877872943878,0.6908,1.8899046778678894,0.3502222222222222,0.8621942646619176,0.7073796369376479,,
2008,0.9456491202116013,0.6916,1.8208163619041442,0.3741111111111111,0.7463437122044372,0.7685047193243915,0.20547036134021382,0.9383802816901409
2009,0.9439609974622727,0.6912,1.676911509037018,0.42433333333333334,0.6765590218962103,0.7815217391304348,0.2148053715455121,0.9375
2010,0.9454708844423294,0.6984,1.7099292516708373,0.4103333333333333,0.7774015803226231,0.7488029465930018,,
2011,0.9532693922519684,0.69,1.6596168398857116,0.42766666666666664,0.545608270029082,0.8324087591240876,0.27947109723243124,0.9234972677595629
2012,0.9572537451982498,0.6892,1.4555177211761474,0.5015555555555555,0.8403835780267286,0.7245629120091717,0.2667370938152247,0.9226878612716763
2013,0.973792427778244,0.6913,1.5399920105934144,0.4742222222222222,0.8220338363332719,0.7277406073082862,0.3081749168648997,0.9159021406727829
2014,0.9844554543495179,0.6879,1.5493214964866637,0.467,0.8388331603545888,0.7327208185424933,0.15727574772136227,0.9522292993630573
2015,0.9680135458707809,0.6963,1.5240835547447205,0.476,0.7414807753958108,0.7561813186813187,0.26092180874612597,0.9277777777777778
2016,0.9709544539451599,0.6892,1.5191232800483703,0.48044444444444445,0.895892971645654,0.7118456078083407,0.257017692261272,0.925
2017,0.9826039791107177,0.6902,1.4308997631072997,0.5153333333333333,0.8570263149425256,0.7232827476038339,0.26918962605731195,0.921957671957672
2018,0.974671021103859,0.6895,1.5181728899478912,0.4792222222222222,0.7346411336466904,0.7589243217515469,0.1722200690845775,0.945859872611465
2019,0.9944916248321534,0.6871,1.4716752588748931,0.5004444444444445,0.6797452999876751,0.7824620573355818,0.27888863912190903,0.9136363636363637
2020,0.9954127967357635,0.688,1.552018129825592,0.4688888888888889,0.718016176862929,0.7634508348794063,0.13912291933850543,0.9539295392953929
2021,0.9929989278316498,0.6844,1.5549680471420289,0.46455555555555555,0.6225850014805129,0.7993404363267377,0.12521885391980975,0.9634146341463414
2022,0.9875226825475693,0.688,1.4334270179271698,0.521,0.7056719556228438,0.7751243781094528,0.21575164984397846,0.9346264367816092
2023,0.9797697395086289,0.689,1.488706237077713,0.49755555555555553,0.596548134591828,0.81163006495515,0.11656200837313645,0.9661246612466124
2024,0.971007627248764,0.6864,1.4625844359397888,0.5111111111111111,0.4103414833631276,0.8683104511067526,0.19181920021352633,0.948943661971831
2025,0.96758553981781,0.6911,1.4596191227436066,0.515,0.6940600355336403,0.7631686402613311,,
2026,0.988100579380989,0.6875,1.5102528035640717,0.49577777777777776,0.871970705947524,0.7252595155709343,0.18184105980344215,0.9563318777292577
2027,0.994229742884636,0.6908,1.5386776506900788,0.48588888888888887,0.6734361097757624,0.7804953858618326,,
2028,0.9834631323814392,0.6891,1.5825585424900055,0.4647777777777778,0.6169478269803182,0.8054502797329002,,
2029,0.9757556587457656,0.6902,1.6390513718128203,0.445,0.7225698112472431,0.772591262716936,,
