round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.811177596449852,0.7254,3.58477623462677,0.051666666666666666,0.9203571231141793,0.6992230854605993,,
2002,0.8367481827735901,0.7214,0.09929904341697693,0.9898888888888889,0.8608102682505147,0.7104327827723186,0.22845824713438329,0.9330985915492958
2003,0.8619597107172012,0.716,0.08714891038835049,0.9953333333333333,0.8372314393533988,0.7255260750228728,0.2177973501621538,0.9347133757961783
2004,0.8655142307281494,0.713,0.02547183698043227,0.9996666666666667,0.5152291225086493,0.8348469559367642,0.25360417171155225,0.9262536873156342
2005,0.8868042320013046,0.7098,0.046792297065258025,0.9992222222222222,0.864930488977511,0.7147731834604576,0.2146503875652949,0.9222222222222223
2006,0.9028601050376892,0.7039,0.06371737942099572,0.9991111111111111,0.8493341295054817,0.7170367459225782,,
2007,0.9102535337209702,0.6996,0.0912866048514843,0.9984444444444445,0.8074686515255998,0.733820047355959,,
2008,0.9076304107904434,0.7013,0.021005276963114737,0.9998888888888889,0.7360875578925672,0.762046696472926,0.18840760202474996,0.9419014084507042
2009,0.8994171142578125,0.7047,0.008143271273002028,0.9998888888888889,0.6620641161134277,0.7789855072463768,0.1574425740360186,0.9568965517241379
2010,0.9099970161914825,0.7066,0.00955236698500812,0.9997777777777778,0.8125539339982782,0.7429097605893186,,
2011,0.9090661346912384,0.7044,0.006672383495606482,1.0,0.4658379077476307,0.8522627737226277,0.20821866903365852,0.9489981785063752
2012,0.9074047207832336,0.7038,0.003130435396451503,1.0,0.767000728382631,0.7537976497563772,0.2115038078644372,0.9313583815028902
2013,0.935357791185379,0.7026,0.0030144920805469156,1.0,0.8293300035667984,0.7313432835820896,0.3018680379387071,0.9067278287461774
2014,0.9533515721559525,0.6984,0.003048812912311405,1.0,0.8359489924824544,0.728962205053247,0.1798535104200339,0.9347133757961783
2015,0.9345036059617996,0.7018,0.0018910225597210228,1.0,0.7182582765681185,0.7671703296703297,0.18572122189733717,0.9555555555555556
2016,0.9410059362649917,0.704,0.003039998037274927,1.0,0.8473840702288745,0.7258207630878438,0.18103152182367113,0.9555555555555556
2017,0.9414853155612946,0.7024,0.0012106680311262607,1.0,0.7100641769298942,0.765575163771579,0.27539464586941653,0.9259259259259259
2018,0.9429469376802444,0.7064,0.0012907542986795306,1.0,0.7497365249020324,0.7596382674916706,0.1765903687685918,0.9506369426751592
