round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.23651322722435,0.5804,0.012373884953558446,0.9998888888888889,0.26488705993896833,0.9146067415730337,0.2752463089979564,0.9188921859545005
2002,1.2190751433372498,0.6036,0.26620057225227356,0.9996666666666667,0.7511429903128957,0.7571041948579161,,
2003,1.2175473868846893,0.6125,0.42162275314331055,0.999,0.77496373464677,0.7332559681697612,,
2004,1.2095064759254455,0.6107,0.5952799022197723,0.9964444444444445,0.6261491091840242,0.8004998863894569,,
2005,1.2263659834861755,0.6083,0.7600550591945648,0.9918888888888889,0.7458638430757355,0.7616982424104086,,
2006,1.2210594534873962,0.6084,0.8283554792404175,0.9883333333333333,0.8971431647275377,0.6894082171127026,,
2007,1.2258700251579284,0.6016,0.8487852871417999,0.9821111111111112,0.6245686846801424,0.7885545905707196,,
2008,1.2148548364639282,0.6031,0.8933048605918884,0.9785555555555555,0.7171226026573431,0.7653971708378673,,
2009,1.2008702158927917,0.6089,0.9217440664768219,0.9715555555555555,0.6766451112445023,0.7709073042482298,,
2010,1.193459939956665,0.6011,0.8700496524572372,0.9745555555555555,0.6791742442254965,0.7787988886514212,,
2011,1.1862320005893707,0.6175,0.8284924745559692,0.9797777777777777,0.6988169522237756,0.7591704256303493,,
2012,1.1816174387931824,0.6155,0.7871092289686203,0.9818888888888889,0.8229245998747136,0.7287727104189841,,
2013,1.1609030544757843,0.6311,0.7978633552789688,0.9807777777777777,0.705926161924786,0.7735211035476651,,
2014,1.1398944675922393,0.631,0.7491440683603287,0.9833333333333333,0.65424160661295,0.7885562371015823,,
2015,1.1206630289554596,0.6436,0.7719068467617035,0.9792222222222222,0.7175028351257997,0.7647410358565737,,
2016,1.108586710691452,0.646,0.7929954022169113,0.9761111111111112,0.6613108112125639,0.7872433377020533,,
2017,1.1225699722766875,0.6354,0.8266951829195023,0.9685555555555555,0.8147316166229787,0.7393145161290322,,
2018,1.1264630675315856,0.6456,0.807331520318985,0.9742222222222222,0.7344782273535899,0.7534839924670433,,
2019,1.111975085735321,0.644,0.6920355081558227,0.9825555555555555,0.5654899259607592,0.8260160928143713,,
2020,1.1056162178516389,0.6408,0.6631031394004822,0.9835555555555555,0.7272166756889488,0.7607387424776925,,
2021,1.102641797065735,0.6388,0.7201343595981597,0.978,0.7132022530135754,0.7611241217798594,,
2022,1.0843096017837524,0.6426,0.6986350446939469,0.9787777777777777,0.5815032139402865,0.8090750592045691,,
2023,1.0961166322231293,0.6392,0.7241955190896988,0.9754444444444444,0.5896255952778952,0.8104637336504161,,
2024,1.0934616029262543,0.6432,0.6852144151926041,0.9797777777777777,0.7996480812939021,0.7312792511700468,,
2025,1.0752933025360107,0.6463,0.6006501406431198,0.9844444444444445,0.7100985352993534,0.7733450241122315,,
2026,1.063821977376938,0.6571,0.5481223672628402,0.9865555555555555,0.7066361198511332,0.7650522317188984,,
2027,1.0608795970678329,0.655,0.5690793484449387,0.9828888888888889,0.7607447051666512,0.7488667464933287,,
2028,1.0557914644479751,0.6529,0.5434133589267731,0.9841111111111112,0.712744276678411,0.7726632221700329,,
2029,1.0595553427934647,0.6542,0.5296828806400299,0.9847777777777778,0.829461570769585,0.7236572365723657,,
2030,1.0546799957752229,0.6601,0.5167167633771896,0.9856666666666667,0.8347366661832955,0.7184173528821048,,
2031,1.076606434583664,0.6516,0.5284864157438278,0.9868888888888889,0.8010684685958693,0.728422117329737,,
2032,1.0923034012317658,0.6415,0.5740072101354599,0.9842222222222222,0.8098907482067618,0.7352848101265823,,
2033,1.0896189332008361,0.644,0.5817345082759857,0.9836666666666667,0.857753394848594,0.7197759752800309,,
2034,1.0971032857894898,0.6458,0.535025554895401,0.9871111111111112,0.9461087712206259,0.6912325285895807,,
2035,1.0955454051494598,0.6436,0.5177686765789986,0.9865555555555555,0.7255755715430552,0.7676665770434102,,
2036,1.091237062215805,0.6452,0.5391172051429749,0.9851111111111112,0.7156508949514857,0.7628509719222463,,
