round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.4912445485591888,0.5237,1.321436846256256,0.6324444444444445,0.26488705993896833,0.9146067415730337,0.5134774247805277,0.8338278931750742
2002,1.4077584803104402,0.556,1.7185556709766387,0.3861111111111111,0.6831756778494915,0.7726657645466847,,
2003,1.366637682914734,0.5808,1.8539491415023803,0.2861111111111111,0.7397804694739356,0.7506631299734748,,
2004,1.3363701045513152,0.5829,2.0801584124565125,0.152,0.6341495358166547,0.7966371279254715,,
2005,1.3059768080711365,0.6013,2.2259952664375304,0.08522222222222223,0.7109830563429201,0.7724263866697101,,
2006,1.2811625480651856,0.6065,2.326257562637329,0.05333333333333334,0.8248972824012564,0.7205050885789672,,
2007,1.2664309561252594,0.6188,2.3447090864181517,0.042777777777777776,0.6084600974918891,0.7885522642679901,,
2008,1.2574516832828522,0.6139,2.500080096721649,0.021666666666666667,0.6861167347988963,0.7721436343852013,,
2009,1.2600269615650177,0.6088,2.5364164233207704,0.013888888888888888,0.6909700641907389,0.7640325645564349,,
2010,1.2313116073608399,0.618,2.5111739158630373,0.020444444444444446,0.6284032415811209,0.799957255823894,,
2011,1.2178490221500398,0.6343,2.4866376399993895,0.022444444444444444,0.6702247307459402,0.7684196449225076,,
2012,1.2093730330467225,0.6275,2.531353807449341,0.019222222222222224,0.8089709401705285,0.7308120133481646,,
2013,1.187911754846573,0.6426,2.6236331701278686,0.011777777777777778,0.6842348961807769,0.7685925666145402,,
2014,1.1615215063095092,0.6401,2.6595367431640624,0.014444444444444444,0.639174809285846,0.7903913953221738,,
2015,1.1439060807228087,0.6466,2.7399463295936584,0.012666666666666666,0.6922604306879272,0.7675298804780877,,
2016,1.132893794775009,0.6432,2.8300504088401794,0.00788888888888889,0.666934685084225,0.7865880297072958,,
2017,1.127117770910263,0.6439,2.875150406360626,0.00811111111111111,0.68012482037227,0.7772177419354839,,
2018,1.1210043489933015,0.6487,2.847573935985565,0.008666666666666666,0.7287327699517575,0.7574387947269303,,
2019,1.1012062907218934,0.6566,2.8103575468063355,0.015333333333333332,0.4957578004133737,0.841288360778443,,
2020,1.0898942589759826,0.6551,2.8288714408874513,0.016444444444444446,0.7043279676757479,0.7661340527080307,,
2021,1.0917631149291993,0.6483,2.903345835208893,0.011666666666666667,0.6774581934692322,0.7816609619888308,,
2022,1.075497680902481,0.6594,2.945161998271942,0.009111111111111111,0.6170155443907606,0.8051766995193982,,
2023,1.080269929766655,0.6511,3.0058897495269776,0.008666666666666666,0.5586683815285368,0.8318668252080856,,
2024,1.0757310658693313,0.6527,3.000126564502716,0.009111111111111111,0.8336120892124317,0.7219188767550702,,
2025,1.056494551897049,0.6584,2.9739872932434084,0.014222222222222223,0.6931956292982167,0.7827707145988602,,
2026,1.0457904130220412,0.6647,2.989737021923065,0.016888888888888887,0.6973084425428088,0.768281101614435,,
2027,1.0496533632278442,0.6638,3.038578677177429,0.016666666666666666,0.7726868460414306,0.7469904635648307,,
2028,1.0539273500442505,0.6592,3.04873241186142,0.018666666666666668,0.7356129767694289,0.7602160638797557,,
2029,1.0459868520498277,0.6635,3.08900648355484,0.01411111111111111,0.7714772789375173,0.7408774087740877,,
2030,1.0446222335100175,0.668,3.025436890125275,0.017222222222222222,0.8025989754895748,0.7350873669411528,,
2031,1.0591314554214477,0.6592,2.991726613044739,0.01577777777777778,0.8077529373045556,0.7314565070802428,,
2032,1.0788129448890686,0.6484,3.019762086868286,0.011444444444444445,0.7902828247203857,0.7406645569620253,,
2033,1.07783944606781,0.653,3.0012340426445006,0.014444444444444444,0.8405095487199911,0.7228659714175357,,
2034,1.0847560048103333,0.647,2.973790395259857,0.01711111111111111,0.9426026229937164,0.6909148665819568,,
2035,1.0848626434803008,0.6537,2.9772885918617247,0.012777777777777779,0.77664762102286,0.7490992862729762,,
2036,1.0841229200363158,0.6502,3.036497688293457,0.010888888888888889,0.6262341584744773,0.796328293736501,,
2037,1.0647003471851348,0.6607,3.028449499607086,0.014,0.6563905275979057,0.7854570013507429,,
2038,1.060240489244461,0.6596,3.061587119102478,0.012666666666666666,0.8361274777733588,0.7306423747447778,,
2039,1.0805924773216247,0.6557,3.0795663952827455,0.006888888888888889,0.8781622812768896,0.6981537910019717,,
2040,1.0824753940105438,0.6564,3.0712974667549133,0.005333333333333333,0.8234272072548562,0.7261707023662369,,
2041,1.0721917420625686,0.6554,3.0671229124069215,0.009111111111111111,0.6355716892760211,0.7926944971537002,,
2042,1.0557843774557114,0.6569,3.092743957042694,0.010666666666666666,0.6310037228307256,0.7910707383069192,,
2043,1.0567679792642592,0.6588,3.1271988987922668,0.0074444444444444445,0.7096063042487176,0.7716973065412569,,
2044,1.048621541261673,0.6556,3.1683560252189635,0.0077777777777777776,0.6368230502605827,0.787333025629887,,
2045,1.031267300248146,0.6603,3.203783369064331,0.009777777777777778,0.5614705754869898,0.8170339761248853,,
2046,1.0284172207117082,0.666,3.1452484011650084,0.012888888888888889,0.7106767174630659,0.7700946044921875,,
2047,1.0467110723257065,0.6594,3.1250370860099794,0.011666666666666667,0.9115604625600259,0.702020202020202,,
2048,1.0386224210262298,0.6611,3.1273879528045656,0.013444444444444445,0.7969828448488039,0.7463443166309222,,
2049,1.025905641913414,0.6625,3.1531011343002318,0.015,0.6029714679294323,0.8098133780666806,,
2050,1.0162701576948165,0.6698,3.1577284812927244,0.016555555555555556,0.6753439583061707,0.7784863945578231,,
2051,1.008706259727478,0.67,3.204816734790802,0.013777777777777778,0.6900762468797927,0.7744332961724266,,
2052,0.9978798657655716,0.6765,3.247222924232483,0.014333333333333333,0.6538044486291963,0.7966631908237748,,
2053,0.9869127422571182,0.6799,3.2539729714393615,0.015222222222222222,0.7279375737760125,0.7563008130081301,,
2054,0.990173551440239,0.6745,3.233347749710083,0.013444444444444445,0.7787374992301239,0.7422346780643871,,
2055,0.986557149887085,0.6764,3.272060239315033,0.013555555555555555,0.7835920910068951,0.7432963889882016,,
2056,0.9786400735378266,0.6769,3.3042208909988404,0.013444444444444445,0.5401880132434376,0.8325504856850716,,
2057,0.9810685962438583,0.6774,3.257392132282257,0.01588888888888889,0.8334588422291521,0.7352088661551577,,
2058,0.9777361214160919,0.676,3.308384692668915,0.014333333333333333,0.5872778086710633,0.81414433985035,,
2059,0.9622301489114762,0.682,3.32743558883667,0.015555555555555555,0.6027621793881367,0.8110252662351222,,
2060,0.948351863026619,0.6883,3.2629493951797484,0.021555555555555557,0.6118066916453997,0.8026598026598026,,
2061,0.9484626799821854,0.6884,3.319972908496857,0.017666666666666667,0.5584413792606819,0.8247351450944266,,
2062,0.9337684780359268,0.6935,3.3063604712486265,0.022333333333333334,0.6657095799469346,0.7875498449268941,,
2063,0.9403820693492889,0.6933,3.247976911067963,0.022333333333333334,0.6502141792844035,0.7827338129496403,,
2064,0.9555233061313629,0.6857,3.2415148854255675,0.020555555555555556,0.7071815395595935,0.7790288461538462,,
2065,0.9608437776565552,0.6793,3.3025885343551638,0.017888888888888888,0.7194054535359937,0.7585551330798479,,
2066,0.9574951469898224,0.6845,3.331951153278351,0.016555555555555556,0.6728814130112145,0.788820468230897,,
