round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.4470893263816833,0.5457,1.2505116939544678,0.7054444444444444,0.26488705993896833,0.9146067415730337,0.4435886801998882,0.8526211671612265
2002,1.3922853231430055,0.5705,1.6688436210155486,0.4621111111111111,0.684294675402074,0.7808165657354952,,
2003,1.352627944946289,0.5791,1.879272210597992,0.2876666666666667,0.6421422895581251,0.7919463087248322,,
2004,1.3092947721481323,0.598,2.0653024077415467,0.181,0.6746090856164051,0.7825198637911465,,
2005,1.2824878692626953,0.5961,2.191690194606781,0.11855555555555555,0.7017127469631861,0.7637735849056604,,
2006,1.2686132192611694,0.601,2.285123324394226,0.07522222222222222,0.8211693467556747,0.723737217229625,,
2007,1.2543690919876098,0.6068,2.3857675194740295,0.042666666666666665,0.6669445518538356,0.777249309835197,,
2008,1.2319275200366975,0.6195,2.4426910400390627,0.027666666666666666,0.6212437981411224,0.7908141053548107,,
2009,1.2077998101711274,0.6261,2.4930331468582154,0.03166666666666667,0.5086963022624722,0.8267353579175705,,
2010,1.1947740375995637,0.6444,2.5236313104629517,0.02788888888888889,0.7208590328150605,0.7640878450483779,,
2011,1.1861079514026642,0.6428,2.5677475452423097,0.03,0.613501097870101,0.8064921992954203,,
2012,1.1704102396965026,0.6416,2.560900926589966,0.030444444444444444,0.7607799139498392,0.7570285245228812,,
2013,1.1574202179908752,0.6506,2.560749959945679,0.03422222222222222,0.7410219740368721,0.7515418502202643,,
2014,1.1596401989459992,0.6427,2.634634292125702,0.02,0.7499393791218888,0.7548458556396529,,
2015,1.1327934980392456,0.6565,2.645520532131195,0.024333333333333332,0.6634394886025721,0.7895516074450084,,
2016,1.1223223328590393,0.6581,2.6794307112693785,0.02288888888888889,0.7155044390686046,0.76253081347576,,
2017,1.1240782022476197,0.6588,2.681488239765167,0.023333333333333334,0.870071923647566,0.7139621876395777,,
2018,1.1104049742221833,0.6658,2.721119964122772,0.018666666666666668,0.7188535201129953,0.7674948240165631,,
2019,1.1092810690402986,0.6629,2.7546250939369203,0.02,0.7525449173259484,0.7557352388115833,,
2020,1.0988334476947785,0.6689,2.803080105781555,0.017,0.6079574514261566,0.8011881188118812,,
2021,1.10804243683815,0.6572,2.7956249117851257,0.01888888888888889,0.6099801505955621,0.8085470085470086,,
2022,1.0945433139801026,0.6649,2.780945193767548,0.021,0.7003159479121651,0.7776265032902201,,
2023,1.0886103212833405,0.6604,2.835823154449463,0.020555555555555556,0.6226648680961453,0.7990430622009569,,
2024,1.082583838701248,0.6587,2.881913089752197,0.01611111111111111,0.542385149641777,0.8307952622673435,,
2025,1.056042194366455,0.6726,2.837210273742676,0.025333333333333333,0.5028695894467289,0.8407488451252128,,
2026,1.0472414314746856,0.673,2.9279696583747863,0.018222222222222223,0.7695739380270384,0.7451913921157874,,
2027,1.0591452360153197,0.6723,2.864083635807037,0.02022222222222222,0.8923659792934432,0.6999841345391083,,
2028,1.0836902201175689,0.6632,2.8382713198661804,0.019222222222222224,0.8563314330092038,0.7199102054912796,,
