round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.18898503780365,0.5655,0.00380782833090052,1.0,0.26488705993896833,0.9146067415730337,0.24991316781396172,0.9218595450049456
2002,1.1486866414546966,0.5854,0.0715763259679079,1.0,0.7209614863629032,0.7665559679624927,,
2003,1.136553406715393,0.5952,0.18844353929162025,0.9997777777777778,0.6845829749291618,0.7734390888753305,,
2004,1.1076603651046752,0.6148,0.2746905297040939,0.9995555555555555,0.7174802934270982,0.7664018161180477,,
2005,1.107800143957138,0.6184,0.3467653438448906,0.9987777777777778,0.7582585245202172,0.7496226415094339,,
2006,1.1246764302253722,0.6178,0.4413526639342308,0.9982222222222222,0.8877291059231736,0.7009606445615122,,
2007,1.1250431656837463,0.6181,0.5041364133358002,0.9961111111111111,0.7759761804601724,0.7436625965533588,,
2008,1.1122226417064667,0.6344,0.5210942581295968,0.9961111111111111,0.6613515122985394,0.7868959512407488,,
2009,1.093176007270813,0.6367,0.5394315153360367,0.995,0.5292108049757633,0.827819956616052,,
2010,1.0785679996013642,0.6496,0.5700967848300934,0.9928888888888889,0.7272507492575411,0.7578998292544109,,
2011,1.074037131667137,0.6563,0.5842744201421738,0.9915555555555555,0.655954363856654,0.7911424257674887,,
2012,1.0777724146842957,0.6484,0.6044421136379242,0.9911111111111112,0.8285090257542691,0.7291196388261851,,
2013,1.0990415811538696,0.6457,0.638112661242485,0.9916666666666667,0.9108172040284993,0.6975770925110132,,
2014,1.1095560431480407,0.638,0.724261012673378,0.986,0.7766863040506389,0.749307734908621,,
2015,1.0889311730861664,0.6507,0.65755695104599,0.9886666666666667,0.707536178393614,0.7673434856175972,,
2016,1.087439638376236,0.6582,0.6445397168397904,0.9878888888888889,0.7975464725871505,0.7370583401807724,,
2017,1.0975744724273682,0.6498,0.6902692079544067,0.9866666666666667,0.8804933206141227,0.7118195214979196,,
