round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.7131727159023284,0.3929,0.028865708597004415,0.9998888888888889,1.0324277485102775,0.6540857456943936,0.29562404923568586,0.9111223971559167
2002,1.6313793182373046,0.4342,0.17992305532097816,0.9996666666666667,0.764934416897955,0.7417830290010741,,
2003,1.5629550576210023,0.4588,0.30557513535022734,0.9988888888888889,0.7126759032316555,0.7722136620441705,,
2004,1.543712669610977,0.4886,0.4837387979030609,0.9974444444444445,0.9518953872634722,0.671017871017871,,
2005,1.4894221305847168,0.5249,0.5690970987081527,0.9973333333333333,0.7619618043456382,0.7523677979479084,,
2006,1.4674585521221162,0.5449,0.68551564514637,0.9956666666666667,0.8506432286301312,0.716201522290685,,
2007,1.4599567890167235,0.5358,0.7663995921611786,0.9928888888888889,0.9690636154231387,0.6731936557665948,,
2008,1.4233353018760682,0.5492,0.7916222184896469,0.9904444444444445,0.6400929324671141,0.787362518869959,,
2009,1.3856215715408324,0.569,0.839141383767128,0.9884444444444445,0.5963939440472525,0.804223602484472,,
2010,1.366086918115616,0.5902,0.8312910854816437,0.9886666666666667,0.6738213526352069,0.778978167904569,,
2011,1.3319128334522248,0.6186,0.8300129652023316,0.9882222222222222,0.6599400887715523,0.7783138065701815,,
2012,1.313174843788147,0.6289,0.8228053450584412,0.9878888888888889,0.7005563406854072,0.769473293768546,,
2013,1.3033465802669526,0.6445,0.7621067523956299,0.9903333333333333,0.6652459577414683,0.7793315951647309,,
2014,1.2840567767620086,0.659,0.7427194267511368,0.9896666666666667,0.7399432787608352,0.7483870967741936,,
2015,1.2687785029411316,0.6608,0.7356885999441147,0.9892222222222222,0.7862575594917871,0.735546875,,
2016,1.251135265827179,0.6627,0.7513925611972809,0.988,0.6714437481057022,0.7768304914744233,,
2017,1.2464159190654756,0.6633,0.7539603143930436,0.9842222222222222,0.7535294423092852,0.7465720277464107,,
2018,1.2487412333488463,0.6661,0.8228401511907577,0.9828888888888889,0.7370072907401507,0.7469981040657258,,
2019,1.2272170662879944,0.6639,0.8002149611711502,0.9826666666666667,0.5569001788663115,0.8222097588334268,,
2020,1.2114128589630127,0.6719,0.7358568519353866,0.9858888888888889,0.6990166300650741,0.7669327251995439,,
2021,1.1954668939113617,0.68,0.7376412630081177,0.9843333333333333,0.7688197892545479,0.7382176520994002,,
2022,1.1849847555160522,0.6762,0.7431779563426971,0.9837777777777778,0.7275728692844513,0.7579880437023294,,
2023,1.1943578541278839,0.6743,0.6836438536643982,0.9871111111111112,0.7988262552848857,0.738371144116207,,
