round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8585752248764038,0.718,0.2982210539281368,0.9366666666666666,1.0087040709634731,0.6525166767738023,0.3181549413189007,0.9076433121019108
2002,0.9502474635839462,0.6883,0.19710700288414956,0.985,0.8509158655130821,0.7181168057210966,0.24629481464014885,0.9246501614639397
2003,0.9613495528697967,0.6898,0.15042825266718865,0.9947777777777778,0.6522881574292255,0.7822305063684374,0.3662604390460337,0.8758414360508602
2004,0.9705948561429978,0.6952,0.0710011538118124,0.9992222222222222,0.8720215831312607,0.7072556649118792,0.17478816525106156,0.9512195121951219
2005,1.1021994769573211,0.6622,0.09067260362207889,0.9994444444444445,0.8667711294401966,0.7100240874559941,,
2006,1.0925408542156219,0.6672,0.06836051791906357,0.9998888888888889,0.762529492652721,0.7467188579323049,0.27310665997931416,0.9309462915601023
2007,1.1138570487499238,0.6577,0.050335470028221606,1.0,0.9458790291505311,0.6776715899218071,0.15189462112284255,0.9568965517241379
2008,1.1171398222446443,0.6604,0.055900432914495465,1.0,0.820731881455435,0.7146007940008823,,
2009,1.127679318189621,0.6589,0.049266761355102065,1.0,0.789916534745906,0.7261399037099971,0.3506980251918719,0.8907766990291263
2010,1.1127077162265777,0.6709,0.06772198341786861,1.0,0.7171783092085681,0.7710189848895777,,
2011,1.1306000828742981,0.6589,0.07314423434436321,1.0,0.7664631581964867,0.7487359004278491,,
2012,1.121736091375351,0.6641,0.06439866423606873,1.0,0.8123989821138442,0.7197686645636172,,
2013,1.1569775998592378,0.6619,0.08078523725271225,1.0,0.9581979166743855,0.6825713715312438,,
2014,1.1588278234004974,0.6565,0.11724211014807225,1.0,0.8672403055837596,0.701167623194142,,
2015,1.1432360649108886,0.6679,0.1185660146176815,0.9998888888888889,0.710334334114415,0.7637556789500253,,
2016,1.142328244447708,0.6696,0.05084632281213999,1.0,0.8044491333901799,0.7267197005147403,0.5731628527930492,0.8067700987306065
2017,1.1379663407802583,0.6698,0.0495521854609251,1.0,0.8849548270540557,0.7095257563368765,0.2641556467426501,0.9198250728862973
2018,1.142893624305725,0.6651,0.024535146169364454,1.0,0.7242060341331593,0.7533365109628217,0.3593948808461762,0.887060583395662
2019,1.1525245428085327,0.6598,0.02875566277652979,1.0,0.9103967850660156,0.6998622318441252,0.17174496510093423,0.9525959367945824
2020,1.1555415034294128,0.6549,0.02352711362764239,1.0,0.7575490545808091,0.7450582868727825,0.21314214321926045,0.9385863267670915
2021,1.1538339614868165,0.6538,0.02451257687062025,1.0,0.6687203951680106,0.7928858290304074,0.2512669441806283,0.9267515923566879
2022,1.1388809740543366,0.6554,0.021799002215266226,1.0,0.7426665070224547,0.755656108597285,0.16317022691055663,0.9499615088529638
2023,1.1284641921520233,0.6532,0.022383125964552164,1.0,0.7543821791005252,0.7513300492610837,0.1168679393513102,0.9683098591549296
2024,1.1313851714134215,0.6542,0.0263226805254817,1.0,0.7571503065338459,0.7446766561514195,,
2025,1.1230347514152528,0.6468,0.013224881421774626,1.0,0.7191881365124906,0.7618236046016191,0.21309834462442215,0.9347133757961783
2026,1.1318882822990417,0.6473,0.016401005582883953,1.0,0.8536455660542769,0.7047471162377995,,
2027,1.1277365982532501,0.6469,0.014584931684657932,1.0,0.7627472442215409,0.7497406639004149,0.17474293523305384,0.9491059147180193
2028,1.1224621772766112,0.6628,0.01704010758548975,1.0,0.8037013918656036,0.7342323651452282,0.1262185749873309,0.9647887323943662
2029,1.131844937801361,0.6625,0.011584704788401724,1.0,0.760565355148584,0.7644947542794036,0.3718119077682495,0.8862222222222222
2030,1.1464552760124207,0.6601,0.018782030325382948,1.0,0.9152221552663167,0.6938652766639936,0.22177915341535193,0.9410828025477707
2031,1.1454557240009309,0.6607,0.018083699978888035,1.0,0.6841850153898087,0.775743162901308,,
2032,1.1261275291442872,0.6697,0.013230614410713316,1.0,0.8039580448733435,0.7214814814814815,0.22046942422232263,0.9338471419396275
2033,1.1312137126922608,0.6693,0.014049028744921088,1.0,0.8156329153942458,0.7278079710144928,0.2292420569931601,0.9278794402583423
2034,1.1527787446975708,0.6644,0.018288925383239986,1.0,0.8928287361652606,0.7079884504331088,,
2035,1.1517032086849213,0.6621,0.020458638202399015,1.0,0.918842088918533,0.685103416221241,0.14514846689749084,0.9586129753914989
2036,1.1401149570941924,0.6623,0.022093235794454814,1.0,0.5574601435205012,0.8253588516746412,0.13948664153125925,0.9507042253521126
2037,1.1261714160442353,0.6616,0.0201092392206192,1.0,0.7436538642598497,0.7546692607003891,,
2038,1.1268436193466187,0.675,0.019523944705724716,1.0,0.8498868166170351,0.709201060204468,,
2039,1.1061056852340698,0.6838,0.012470281217247248,1.0,0.6227161482356733,0.804678007290401,0.2929346564325314,0.9150485436893204
2040,1.1174337446689606,0.6794,0.012496510893106461,1.0,0.8131221041622193,0.7316009449391241,0.44102024182950494,0.8561354019746121
2041,1.0948141872882844,0.6825,0.01021038698963821,1.0,0.6532918639133708,0.7850909997506856,,
2042,1.0816251814365387,0.6876,0.011797071620821952,1.0,0.6961066262443937,0.7579349904397705,0.23685885549051744,0.9334916864608076
2043,1.0671044170856476,0.6927,0.009496963862329722,1.0,0.6530022772637568,0.7904919845218352,0.37616408364101284,0.8837209302325582
2044,1.0681419253349305,0.6799,0.008691387018188834,1.0,0.6797829138368457,0.782025819265144,0.10757953951686201,0.9612676056338029
2045,1.1057737708091735,0.6809,0.012815391458570958,1.0,0.8734588945171252,0.7114705335564231,,
2046,1.1203607261180877,0.6753,0.011674158088862897,1.0,0.7940597650551973,0.7451478743068392,,
2047,1.0998976349830627,0.6879,0.011482227081432938,1.0,0.7158723695636939,0.7715827338129496,0.2302194397054796,0.9267337807606264
2048,1.08391375541687,0.6918,0.008590372744947672,1.0,0.7436032689834002,0.7532767925983038,0.187380026664341,0.9548532731376975
2049,1.0698641300201417,0.6943,0.0080684402724728,1.0,0.7590676327120249,0.7597992351816444,0.14534976144491787,0.9507042253521126
2050,1.059153527021408,0.6964,0.007939037657342852,1.0,0.7098283034520725,0.7663772691397001,,
2051,1.0485614508390426,0.695,0.00754602721426636,1.0,0.8127673753370638,0.7310431503979891,0.3014252285162608,0.9233038348082596
2052,1.0501325607299805,0.6923,0.007417987217195332,1.0,0.69647520312293,0.7752740560292326,0.4441883572976883,0.8410958904109589
2053,1.0324772626161576,0.6962,0.0056288174353539945,1.0,0.5878257956121244,0.8170136211770753,,
2054,1.0213006526231765,0.6991,0.0044256876921281215,1.0,0.7759395730490377,0.7428145624866936,0.2418757451716229,0.9278794402583423
2055,1.0251044511795044,0.6994,0.005800083186477423,1.0,0.7499096213920788,0.7526753864447087,0.1076279687668596,0.9671428571428572
2056,1.0313718974590302,0.697,0.005595838278532028,1.0,0.856201370832414,0.7253834735279565,0.3200729437341068,0.9027962716378163
2057,1.0179513484239577,0.6991,0.00436062531080097,1.0,0.647527858891014,0.7913272010512483,,
2058,1.0152006059885026,0.7032,0.004048119904473424,1.0,0.7910470321917306,0.7446219382321618,0.10380991490987632,0.9759615384615384
2059,1.0245542109012604,0.6994,0.005344239296391606,1.0,0.7755461539944322,0.7438692098092643,0.2774821957260447,0.9328165374677002
2060,1.0185473889112473,0.7046,0.005750225181691349,1.0,0.7713372613622549,0.7355242566510172,0.3298306674922554,0.9053398058252428
2061,1.0025804936885834,0.7077,0.004137840238399804,1.0,0.591671964109509,0.8119075829383886,0.23669717399178036,0.9410828025477707
