round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,2.031447631120682,0.2085,0.3739701107144356,0.998,1.0324277485102775,0.6540857456943936,0.4208537404642546,0.8649060436769934
2002,1.9282521247863769,0.2598,0.6560678362846375,0.9907777777777778,0.7881946855597798,0.7368421052631579,,
2003,1.8403695821762085,0.3233,0.8335410356521606,0.9718888888888889,0.7023050312544055,0.7670775552131485,,
2004,1.8050072014331817,0.3879,1.0658634543418883,0.9453333333333334,1.0280937857653805,0.6435120435120435,,
2005,1.731614923477173,0.4561,1.1774194657802581,0.9081111111111111,0.7529870206232887,0.7576953433307024,,
2006,1.7020482778549195,0.4951,1.3161438167095185,0.8534444444444444,0.8794547881162784,0.6940920623414281,,
2007,1.668848341703415,0.5095,1.4200775682926179,0.7721111111111111,0.911498127302032,0.6921871940473859,,
2008,1.629931277036667,0.5189,1.496964031457901,0.7044444444444444,0.7285628245646567,0.7558766443821436,,
2009,1.5903771579265595,0.5469,1.5497756242752074,0.6725555555555556,0.5588654055802719,0.8196273291925465,,
2010,1.5723348140716553,0.5728,1.5832858562469483,0.6457777777777778,0.7077298543487024,0.7654737789781679,,
2011,1.5345579862594605,0.5921,1.5922052383422851,0.6317777777777778,0.6678144583243654,0.7796921663220767,,
2012,1.496732360124588,0.613,1.5995011448860168,0.6135555555555555,0.6740901188521428,0.7793026706231454,,
2013,1.4757390379905702,0.6214,1.553182315826416,0.6321111111111111,0.6326555518438308,0.7947380895946907,,
2014,1.4456466138362885,0.6337,1.5280601739883424,0.6407777777777778,0.7059186709062265,0.7722755013077593,,
2015,1.4200991868972779,0.6446,1.5249674022197723,0.6363333333333333,0.7780438784218859,0.7435546875,,
2016,1.3959912836551667,0.6423,1.5337489008903504,0.6172222222222222,0.6413778725081126,0.7838515546639919,,
2017,1.3734101593494414,0.6498,1.5549151599407196,0.6123333333333333,0.7548483254210394,0.7527020487175351,,
2018,1.366805762052536,0.6515,1.601447969675064,0.5822222222222222,0.670527147900212,0.7714345902675374,,
2019,1.338338303565979,0.654,1.6061926305294036,0.5644444444444444,0.5177146390924545,0.836231071228267,,
2020,1.3154823780059814,0.6605,1.5474999368190765,0.5931111111111111,0.6826392330900429,0.7698973774230331,,
2021,1.2915311634540558,0.666,1.534990805387497,0.5915555555555555,0.7597002766024076,0.7461439588688946,,
2022,1.2776533842086792,0.6674,1.535777562856674,0.5884444444444444,0.6889448137049625,0.7715934858792002,,
2023,1.2821650981903077,0.662,1.474212008714676,0.6162222222222222,0.7805109358600444,0.7411457483270769,,
2024,1.2733098208904265,0.6642,1.4692010641098023,0.6196666666666667,0.7188647823405073,0.7606473594548552,,
2025,1.2651056230068207,0.6725,1.4914078772068025,0.6033333333333334,0.5893242944876601,0.8082448469706434,,
2026,1.2486139416694642,0.6763,1.5611340522766113,0.5636666666666666,0.7847617172687434,0.732728541521284,,
2027,1.2338915467262268,0.6763,1.5842270493507384,0.5423333333333333,0.6437173138893962,0.7896911700739452,,
2028,1.214625734090805,0.6844,1.5441464602947235,0.5591111111111111,0.787846232787064,0.7441670745635504,,
2029,1.2126155018806457,0.6801,1.5872637271881103,0.5398888888888889,0.7483276663261975,0.7500987751876729,,
2030,1.2133448243141174,0.6699,1.593094527721405,0.5342222222222223,0.7529901596777616,0.7465019080501545,,
2031,1.1987708568573,0.6715,1.625715720653534,0.5144444444444445,0.6324571201142927,0.7979086641058472,,
2032,1.1892824947834015,0.6682,1.6245294034481048,0.5041111111111111,0.7774881910709593,0.7312432040594419,,
2033,1.17701997756958,0.6738,1.6069352209568024,0.5124444444444445,0.5928203809454737,0.8078153564899452,,
2034,1.1682158589363099,0.6721,1.6044213831424714,0.5145555555555555,0.726560492253773,0.758879642784656,,
2035,1.1621685206890107,0.6792,1.671116042137146,0.4756666666666667,0.6830190682462902,0.7760708476414242,,
2036,1.1608640730381012,0.6772,1.6813021659851075,0.479,0.7782541887786383,0.7474469756480754,,
2037,1.165209710597992,0.6829,1.6484361469745636,0.49755555555555553,0.719966684697056,0.7569169960474308,,
2038,1.162109124660492,0.6835,1.5715098977088928,0.5373333333333333,0.6958391409175722,0.7574301477131162,,
2039,1.151650506258011,0.6859,1.565291601419449,0.5346666666666666,0.6963130178225323,0.7645443196004994,,
2040,1.1451881289482118,0.6842,1.5555132746696472,0.5364444444444444,0.6622573533083721,0.7826159772232457,,
2041,1.1401506304740905,0.6842,1.5855233073234558,0.5193333333333333,0.6649080038950073,0.773136616210002,,
2042,1.1307083070278168,0.6808,1.6185542345046997,0.5052222222222222,0.5863379751904215,0.8146754468485419,,
2043,1.1207901298999787,0.6882,1.6234812557697296,0.5,0.6840626151125784,0.7697287839020123,,
2044,1.107680517435074,0.6852,1.629837876558304,0.4931111111111111,0.67234538345126,0.768119115393037,,
2045,1.090451604127884,0.6913,1.6691547989845277,0.4701111111111111,0.6090996647227289,0.7961531208749765,,
2046,1.0954037964344026,0.6852,1.677854710817337,0.47155555555555556,0.7865485457352724,0.7341565280552025,,
2047,1.0793035805225373,0.687,1.6576884090900421,0.478,0.791871352204769,0.7225433526011561,,
2048,1.0935384690761567,0.6782,1.6903284728527068,0.46044444444444443,0.828060221021753,0.732764390896921,,
2049,1.085872894525528,0.6899,1.6855342149734498,0.4642222222222222,0.6850771974009999,0.7739149689991143,,
2050,1.074428814649582,0.6881,1.6979085505008698,0.4646666666666667,0.6090812089788171,0.8046398046398047,,
2051,1.0567319363355636,0.6946,1.6925714790821076,0.4673333333333333,0.6650961916749387,0.7828333002185576,,
2052,1.0691540092229843,0.6933,1.7047262787818909,0.45711111111111113,0.8672910285061073,0.7055339049103664,,
2053,1.0666898012161254,0.6902,1.728635311126709,0.4457777777777778,0.7068146037901588,0.7696659006540569,,
2054,1.0565759658813476,0.6906,1.7377529919147492,0.43855555555555553,0.8180392847594345,0.7316728493199082,,
2055,1.0872093617916108,0.6851,1.704835343360901,0.45022222222222225,0.9342050912014312,0.6850603542875059,,
2056,1.0772144556045533,0.6898,1.6593736946582793,0.4727777777777778,0.6274622795265906,0.7947904869762175,,
2057,1.0841179072856904,0.6853,1.7416710257530212,0.435,0.8263032727902478,0.7207920792079208,,
2058,1.1008301556110383,0.6795,1.8137920200824738,0.39966666666666667,0.8249171675025894,0.7223124391036051,,
2059,1.1122348845005035,0.674,1.7712320804595947,0.4181111111111111,0.6405518315635009,0.7841444270015698,,
2060,1.0950942516326905,0.6793,1.7026719748973846,0.44433333333333336,0.6494772368094897,0.7844694462828149,,
2061,1.0832192540168761,0.6833,1.7190632343292236,0.4464444444444444,0.5813967236610645,0.8171361502347417,,
2062,1.0707673728466034,0.6899,1.7259141325950622,0.4444444444444444,0.6704213361264583,0.768025078369906,,
2063,1.0883160352706909,0.6787,1.7713611602783204,0.4176666666666667,0.8520353906424436,0.7139337952270978,,
2064,1.0736600518226624,0.6762,1.7791641771793365,0.4112222222222222,0.48221431874408544,0.8475890477344318,,
2065,1.0840115904808045,0.6755,1.8238443791866303,0.37977777777777777,0.8583174269205207,0.7149312747128601,,
2066,1.127149909734726,0.6585,1.8034091591835022,0.39566666666666667,0.6666820512019017,0.7880713260914122,,
2067,1.1660744667053222,0.642,1.7632252514362334,0.40644444444444444,0.8736835767489649,0.7145989402521469,,
2068,1.1405160307884217,0.6584,1.7058707237243653,0.44066666666666665,0.5803408632699671,0.8145883380650797,,
2069,1.138360220193863,0.6537,1.7625868260860442,0.40955555555555556,0.795349442741875,0.7495640802092415,,
