round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8492747128009797,0.7195,3.224252986907959,0.07811111111111112,0.953304706399201,0.6911728546840423,0.5318242286005591,0.8333333333333334
2002,0.8985718816518784,0.7051,3.2632073879241945,0.03866666666666667,0.8441994253749452,0.7128060263653484,,
2003,0.9164320200681686,0.7019,3.0912350177764893,0.04133333333333333,0.6323763489059631,0.7868369351669942,0.35394226282070845,0.8910256410256411
2004,0.9423444151878357,0.6945,2.886580193042755,0.06533333333333333,0.6780097729586655,0.7838295812152021,0.20589270996929976,0.9384236453201971
2005,0.9658076256513596,0.6946,2.8169150948524475,0.059444444444444446,0.7095124741877484,0.7670711396621461,,
2006,1.0014612555503846,0.6923,2.6922105669975283,0.06866666666666667,0.8833961493735347,0.706213724820758,0.29576395009352074,0.9079497907949791
2007,1.0262378960847856,0.6883,2.74730384349823,0.05188888888888889,0.8256392490607681,0.7217613273771538,0.41002615955140853,0.8824786324786325
2008,1.0234556198120117,0.6909,2.7077702641487122,0.057444444444444444,0.7246413796603833,0.7562982005141388,,
2009,1.0360360443592072,0.6865,2.7511210441589355,0.04566666666666667,0.9063350965856736,0.6965663580246914,,
2010,1.054699444770813,0.6839,2.7076457262039186,0.04411111111111111,0.8541104017799528,0.71160809371672,,
2011,1.067980134487152,0.6765,2.753126585483551,0.035,0.786174512639828,0.739621120515921,,
2012,1.0764551222324372,0.6752,2.675709056854248,0.04688888888888889,0.7729377688814637,0.7409602845287493,,
2013,1.0779471099376678,0.6779,2.661404287815094,0.04822222222222222,0.7875954969147356,0.7391219512195122,,
2014,1.0895770609378814,0.674,2.6501606583595274,0.04655555555555556,0.9025993735754668,0.6945273631840796,,
2015,1.0941715300083161,0.6844,2.588568186759949,0.059222222222222225,0.7642699174111403,0.7527426160337553,,
2016,1.1227708518505097,0.6741,2.5771724224090575,0.056,0.8358958090823088,0.7282359173582906,,
2017,1.1286004900932312,0.6774,2.579584205150604,0.047,0.8702688163497599,0.7039767649687221,,
2018,1.1374266922473908,0.6785,2.5569342255592344,0.04844444444444444,0.7750051872600089,0.7422252937111264,0.38571435162144846,0.8931623931623932
2019,1.1642755329608918,0.6657,2.6219353914260863,0.03588888888888889,0.8495059107051992,0.706764615855525,,
2020,1.158432126045227,0.6697,2.622802364826202,0.036555555555555556,0.6393430890861755,0.7941451261289318,0.18533034086814654,0.9396551724137931
2021,1.1407889246940612,0.6766,2.593151843547821,0.041,0.840314206902209,0.7132175590931018,0.4241967682655041,0.8653846153846154
2022,1.1379668653011321,0.6839,2.440741038322449,0.077,0.9498430226104182,0.680323846908734,0.3390896446403416,0.8896551724137931
2023,1.1339101135730743,0.6846,2.467128264904022,0.06622222222222222,0.8853165408738077,0.705978134449872,0.3769754322997311,0.9087719298245615
2024,1.1496006548404694,0.6781,2.5363842129707335,0.04655555555555556,0.8574563787694562,0.7037280701754386,,
2025,1.1445848762989044,0.678,2.578738605976105,0.042555555555555555,0.5776031089763707,0.8199577613516368,0.3920376126328085,0.8803418803418803
2026,1.1446894764900208,0.6741,2.610146224498749,0.04022222222222222,0.807876520212594,0.7245770420229216,,
2027,1.125496071577072,0.6787,2.5833882689476013,0.04922222222222222,0.6288722421268582,0.7943282727012317,0.4337603487466511,0.8771929824561403
2028,1.1125586330890656,0.6776,2.6359784960746766,0.04655555555555556,0.7837078999877802,0.7497919556171984,0.4547542689139383,0.8631578947368421
2029,1.1141664862632752,0.6754,2.648084855079651,0.03955555555555555,0.8282542033126196,0.7145518911868828,,
2030,1.1182936489582063,0.6722,2.646161067485809,0.045,0.7139453535581227,0.7695183637563229,0.3639233884138939,0.8824786324786325
2031,1.1115279614925384,0.679,2.6313925623893737,0.05644444444444444,0.8081557214495397,0.7358693701776422,,
2032,1.1156183421611785,0.6712,2.611787712574005,0.058222222222222224,0.8235876448379285,0.7266699410609038,0.3585308899736812,0.8931623931623932
2033,1.1226839244365692,0.6704,2.5571182012557983,0.07144444444444445,0.9501778619134846,0.6856053384175406,,
2034,1.1116898596286773,0.6766,2.530727815628052,0.07622222222222222,0.8098565396942097,0.7343444227005871,,
2035,1.1036617398262023,0.6872,2.554042136669159,0.07388888888888889,0.726875070366141,0.7610958904109589,0.20680638854139544,0.9322660098522167
2036,1.0930089235305787,0.6827,2.546375060081482,0.06866666666666667,0.8375055029001012,0.7140821657563524,0.3362271433336693,0.8982456140350877
2037,1.0913456976413727,0.6825,2.572997784614563,0.06844444444444445,0.803576648197092,0.7291552134872641,,
2038,1.0788365721702575,0.6835,2.6076907992362974,0.06544444444444444,0.747383796551361,0.7538949798038084,,
2039,1.0777700662612915,0.6812,2.6048834681510926,0.06944444444444445,0.7122957110147441,0.7612875351047742,,
2040,1.0860001146793365,0.6758,2.6821839570999146,0.04711111111111111,0.9407086049850355,0.6800335570469799,,
2041,1.0862864911556245,0.6691,2.763457143306732,0.030333333333333334,0.9062955112490494,0.6816816816816816,,
2042,1.103909695148468,0.6612,2.628779721260071,0.04077777777777778,0.9156379081695839,0.6965372016846045,0.2880207921171787,0.9163179916317992
2043,1.108684641122818,0.6608,2.5960707306861877,0.04622222222222222,0.8048514451663521,0.7213345864661654,0.2589823541001997,0.9130434782608695
2044,1.1031902253627777,0.6585,2.6014846324920655,0.04566666666666667,0.7875182507141513,0.7415816326530612,0.3770746869999066,0.8912280701754386
2045,1.1145532310009003,0.6594,2.6340077757835387,0.04033333333333333,0.9424977544867076,0.6876923076923077,,
2046,1.101059263944626,0.6621,2.552981507778168,0.05622222222222222,0.7169850021600723,0.7636514065085493,,
2047,1.123814767599106,0.6567,2.6351562976837157,0.04411111111111111,0.8026843112971057,0.7324132643281579,,
2048,1.1267718374729156,0.6643,2.633223795890808,0.042444444444444444,0.892636345352459,0.706222576785002,,
2049,1.1299214720726014,0.6699,2.575458264350891,0.05011111111111111,0.7366834952059576,0.7596618357487923,0.41377339425839876,0.8596491228070176
2050,1.1130760729312896,0.6744,2.5881379723548887,0.05211111111111111,0.7458145899367994,0.7555242125058769,,
2051,1.098574984073639,0.6756,2.601249933242798,0.04755555555555555,0.6340269552092603,0.7946598855689765,0.2280492940333099,0.9330543933054394
2052,1.0856406807899475,0.6807,2.635121250152588,0.04611111111111111,0.7930272714438615,0.73388671875,0.27410626473785943,0.9079497907949791
2053,1.1054076313972474,0.6711,2.5719915986061097,0.05255555555555556,0.826687056520767,0.7235772357723578,,
2054,1.0904415249824524,0.6769,2.6175787329673765,0.04922222222222222,0.7837893812767208,0.7406703524533518,,
2055,1.1124780356884003,0.6709,2.5705880880355836,0.05411111111111111,0.9559856480151511,0.6731451749197228,0.3715748904044168,0.887719298245614
2056,1.1181161165237428,0.667,2.5765597224235535,0.05644444444444444,0.8337138567725255,0.7226303529833363,0.264663120568048,0.9121338912133892
2057,1.1412290811538697,0.6644,2.6241231560707092,0.04077777777777778,1.0212323481255894,0.6518459069020867,,
2058,1.1553877353668214,0.6568,2.6614442348480223,0.030222222222222223,0.8585167013297104,0.7130448270513418,,
2059,1.1544791400432586,0.6496,2.7054476857185366,0.024666666666666667,0.7420422849298212,0.7481584710332471,0.24470250200534213,0.9221014492753623
2060,1.1531824946403504,0.6563,2.671216571331024,0.03233333333333333,0.9703009417824341,0.6766291788630411,,
2061,1.1403344392776489,0.6578,2.703324723243713,0.03222222222222222,0.7472544706335527,0.7543533782214998,0.378746734215663,0.8782051282051282
2062,1.1259065926074983,0.6646,2.744685983657837,0.030333333333333334,0.8793790661706663,0.7068418667874944,,
2063,1.1194888353347778,0.6589,2.6943082094192503,0.03211111111111111,0.8513749622844372,0.7175460636515912,,
2064,1.1115427494049073,0.6581,2.6811458587646486,0.03388888888888889,0.6280176296846081,0.7974919957310566,,
2065,1.1136120140552521,0.6609,2.61199746131897,0.042222222222222223,0.7858974466033782,0.7322478516508367,0.26330605410039426,0.91328125
2066,1.110651820898056,0.6604,2.6048548579216004,0.04566666666666667,0.7965195308675579,0.7329742208541746,,
2067,1.097060763835907,0.6595,2.626583218574524,0.045,0.6932013737508328,0.7692651329014966,,
2068,1.0950628399848938,0.6571,2.578038203716278,0.051333333333333335,0.7510984412469438,0.7517449976733365,0.2590116249966322,0.9184100418410042
2069,1.0786956191062926,0.668,2.4935608386993406,0.07566666666666666,0.6658039876171454,0.7911573472041612,0.3880662146367525,0.8596491228070176
