round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.8543269038200378,0.3088,0.11247670501470566,0.9996666666666667,1.0324277485102775,0.6540857456943936,0.310434354152275,0.9090909090909091
2002,1.736022311449051,0.3715,0.3504599377512932,0.9972222222222222,0.7696348049330788,0.7462943071965629,,
2003,1.66002259850502,0.4125,0.5083941012620926,0.9927777777777778,0.6968982935058929,0.7722136620441705,,
2004,1.6139815628528595,0.4705,0.7158992946147918,0.9808888888888889,1.0103276499408849,0.6590520590520591,,
2005,1.5427373230457306,0.5138,0.7632050663232803,0.9791111111111112,0.7106379714118936,0.771310181531176,,
2006,1.515927791595459,0.5356,0.8756543964147567,0.9683333333333334,0.8624569712481494,0.7065965929684669,,
2007,1.5257831633090972,0.5177,1.0102635353803635,0.945,1.059140371102187,0.6295280986880752,,
2008,1.4858026385307312,0.5324,1.0265774130821228,0.9362222222222222,0.6995964429875707,0.7761483717921069,,
2009,1.4471893966197968,0.5493,1.054298710823059,0.9382222222222222,0.5848098868020573,0.8146583850931677,,
2010,1.422279453277588,0.5769,1.0452294051647186,0.9371111111111111,0.6185806277445944,0.7992347512941707,,
2011,1.3848582923412323,0.6036,1.032111930847168,0.9395555555555556,0.6715405245101673,0.7695841948081783,,
2012,1.3612657070159913,0.6167,1.0288272380828858,0.9393333333333334,0.7327978328997905,0.7581602373887241,,
2013,1.3414106845855713,0.6312,0.9506647676229477,0.9486666666666667,0.621639585319812,0.7997155724105238,,
2014,1.3164706766605376,0.6481,0.9123453319072723,0.9511111111111111,0.7285005249972955,0.7492589363557105,,
2015,1.2943645656108855,0.6522,0.8899913251399993,0.9495555555555556,0.7543984087446006,0.74609375,,
2016,1.2797607004642486,0.65,0.8957892388105393,0.9463333333333334,0.6621702221131611,0.7793380140421263,,
2017,1.2797847092151642,0.6461,0.8918146282434464,0.9435555555555556,0.764976654478784,0.7407646394579771,,
2018,1.2694955945014954,0.65,0.9525408893823624,0.932,0.6464594748363209,0.7857594270065305,,
2019,1.2460846185684205,0.6517,0.9157042086124421,0.9294444444444444,0.541168543758248,0.8213684800897364,,
2020,1.2336890518665313,0.6537,0.8479110032320023,0.9397777777777778,0.7192826853442763,0.7621436716077538,,
