round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8576809734106063,0.72,0.34278667718172073,0.9444444444444444,1.0087040709634731,0.6525166767738023,0.39300286636990345,0.8694267515923567
2002,0.9534688293933868,0.6865,0.09573993682861329,0.9995555555555555,0.8508454764296624,0.7199046483909416,0.36182749297056827,0.8826695371367062
2003,0.9559974640607833,0.6912,0.09097909331321716,0.9998888888888889,0.6331470534274873,0.7856477166821995,0.28302040542897305,0.9117427075542259
2004,0.9648301482200623,0.6989,0.06084496434777975,0.9998888888888889,0.8674151849408367,0.7129777981231403,0.25429706219294645,0.9334811529933481
2005,0.975730162858963,0.6993,0.06895571239292622,0.9997777777777778,0.8060134842657747,0.7342968315730961,,
2006,0.9819923609495163,0.7002,0.053867018036544326,1.0,0.7730899534754124,0.7416532350909509,0.2485739513469474,0.9309462915601023
2007,1.0027740001678467,0.6893,0.03476091846823692,1.0,0.902244344405461,0.7006950477845352,0.14789473356757585,0.9549808429118773
2008,1.0062682569026946,0.694,0.03932712599635124,1.0,0.7723229270466214,0.7417291574768416,,
2009,1.057777425646782,0.6908,0.06687202341854573,1.0,0.9109036229683771,0.6904559614839989,0.2809351118444239,0.9150485436893204
2010,1.0574012994766235,0.689,0.08723432086408138,1.0,0.6738310340230477,0.7869043006586595,,
2011,1.0863467454910278,0.678,0.08814580403268338,1.0,0.78876868435169,0.7458187475690393,,
2012,1.07811159491539,0.6807,0.07483574114739895,1.0,0.8180712684205529,0.7260778128286015,,
2013,1.0771892786026,0.6825,0.07223577424883842,1.0,0.8160265854290798,0.7294869235376322,,
2014,1.0804040133953094,0.6795,0.10466254763305187,1.0,0.8624007554130226,0.6987927963585988,,
2015,1.075476747751236,0.6866,0.11301561743021012,0.9998888888888889,0.7137236391456966,0.7700656234225138,,
2016,1.107523512840271,0.688,0.05005587674677372,1.0,0.8792125008125198,0.7026204960224613,0.7535557788921512,0.7207334273624824
2017,1.1085648715496064,0.6824,0.04294310491532087,1.0,0.9316192369356764,0.6860179885527392,0.2509220380596708,0.9212827988338192
2018,1.1113223493099214,0.6816,0.027242362126708032,1.0,0.7671764375938473,0.7421353670162059,0.29398315625575916,0.900523560209424
2019,1.1163198709487916,0.6765,0.024564791191369294,1.0,0.8912065561843937,0.7124581775241094,0.149145740485891,0.963882618510158
2020,1.126637041568756,0.6716,0.029849100671708585,1.0,0.7764093875016468,0.7377090724784592,0.22316923975806385,0.929316338354577
2021,1.1277362883090973,0.6678,0.020817648246884347,1.0,0.6427004769128147,0.7966150315547906,0.16977167793899584,0.947452229299363
2022,1.1346554517745973,0.6683,0.029922596458345652,1.0,0.9569709697771355,0.6787330316742082,0.23159025498222074,0.9284064665127021
2023,1.1721859872341156,0.6571,0.04052748791873455,1.0,0.8996884577908539,0.6977339901477833,0.11092895794082695,0.971830985915493
2024,1.163321352005005,0.658,0.04477559030056,1.0,0.7337014540230814,0.7647870662460567,,
2025,1.1539905786514282,0.6525,0.026534160785377025,1.0,0.7245721270492547,0.7607584149978697,0.21520133212113837,0.9347133757961783
2026,1.1468576729297637,0.6539,0.03303123265504837,1.0,0.7978978824752987,0.7384649511978705,,
2027,1.1397701382637024,0.6519,0.026636837422847746,1.0,0.7465463611007479,0.7598547717842323,0.13657557794201652,0.9669876203576341
2028,1.1395082592964172,0.6683,0.029210787918418645,1.0,0.7756223327391375,0.74149377593361,0.13470119804563657,0.954225352112676
2029,1.1551783204078674,0.6641,0.025351665914058685,1.0,0.7730690286773005,0.7534511319712865,0.2580130861070421,0.9146666666666666
2030,1.2026333272457124,0.6578,0.03422627635300159,1.0,1.0233019535051122,0.6653969526864475,0.14635712876441373,0.9585987261146497
2031,1.2110658526420592,0.6583,0.03853157497942448,1.0,0.7937393907275977,0.7448275862068966,,
2032,1.184409898519516,0.6682,0.028888444975018503,1.0,0.7667481181709854,0.7327407407407407,0.25906790585263695,0.9203596660244059
2033,1.1820976614952088,0.666,0.02986496714875102,1.0,0.8036647194294609,0.7296195652173914,0.3079149839342988,0.9031216361679225
2034,1.1818578660488128,0.6636,0.03467444237321615,1.0,0.7996448551380829,0.7335899903753609,,
2035,1.1597785949707031,0.6659,0.030938812531530857,1.0,0.793601097671093,0.7320474087845689,0.14052365900286093,0.9574944071588367
2036,1.148438286781311,0.6638,0.03189897583797574,1.0,0.5844801164636708,0.8181818181818182,0.1479448859750385,0.9612676056338029
2037,1.1352831900119782,0.6663,0.02917921543121338,1.0,0.7305942984464567,0.7618677042801556,,
2038,1.1272712767124176,0.6778,0.026577105559408665,1.0,0.7776330441055944,0.7406285497917455,,
2039,1.1062409818172454,0.6882,0.020036397129297258,1.0,0.6201264925192439,0.8007290400972054,0.3072193892835413,0.912621359223301
2040,1.1444800913333892,0.6799,0.02416052632033825,1.0,0.914515813255817,0.6927130656005815,0.5915806975283979,0.7997179125528914
2041,1.1226433336734771,0.681,0.019093922898173334,1.0,0.7063307790752065,0.7728745948641237,,
2042,1.1074957370758056,0.6864,0.017456652596592903,1.0,0.7278893637041745,0.761376673040153,0.2857873084514696,0.9079572446555819
2043,1.1141913473606109,0.6881,0.01720718266442418,1.0,0.7261345097213374,0.763681592039801,0.281689327814224,0.9043927648578811
2044,1.111324667930603,0.6778,0.0161043562926352,1.0,0.6830972445964103,0.7825223435948362,0.1256069355237652,0.9647887323943662
2045,1.103012615442276,0.6822,0.016455052047967912,1.0,0.7677322084585915,0.7401003904071388,,
2046,1.090034157037735,0.6816,0.012680810643360019,1.0,0.6778929853285086,0.7804990757855823,,
2047,1.0710298657417296,0.6905,0.011341903358697891,1.0,0.6883661625393146,0.783273381294964,0.23065555314022956,0.9239373601789709
2048,1.0578876435756683,0.695,0.009734751796349883,1.0,0.6861203599791085,0.7756360832690825,0.13531999562448627,0.9706546275395034
2049,1.0538225829601289,0.6953,0.009914397727698088,1.0,0.8081979446583223,0.739961759082218,0.1263729718999124,0.9683098591549296
2050,1.0409091264009476,0.6988,0.008758843457326294,1.0,0.6534433624236968,0.7863720073664825,,
2051,1.0306190311908723,0.6968,0.00701799571979791,1.0,0.8096809715944002,0.7346041055718475,0.31837200116267245,0.8908554572271387
2052,1.0273932337760925,0.6915,0.006530801742337644,1.0,0.6787230194558761,0.7761875761266748,0.3305813390098206,0.9027397260273973
2053,1.0112341225147248,0.6958,0.00502828664612025,1.0,0.6098772878206901,0.8087895142636854,,
2054,1.0039653450250625,0.701,0.0049308002926409245,1.0,0.7568276960189377,0.7462209921226315,0.3393103836747879,0.8848223896663079
2055,1.0147625863552094,0.6969,0.007173319440335035,1.0,0.7270544603236648,0.7574316290130797,0.10029345273971557,0.9728571428571429
2056,1.0353170722723006,0.6974,0.008459525462239981,1.0,0.9032150961897386,0.7075705096486887,0.31238430865436356,0.9067909454061251
