round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.768007117509842,0.3284,0.28644782304763794,1.0,1.0324277485102775,0.6540857456943936,0.38733173479217753,0.8786185881157949
2002,1.688785183429718,0.3661,0.480113685131073,0.9948979591836735,0.7930773938380814,0.7383458646616541,,
2003,1.5970223784446715,0.4276,0.6044951677322388,0.9846938775510204,0.6753423808704111,0.7745249101181304,,
2004,1.5426265239715575,0.4781,0.778649091720581,0.9591836734693877,0.918506349087132,0.6812742812742812,,
2005,1.4763330817222595,0.5319,0.8886113166809082,0.9132653061224489,0.657898754848795,0.7857142857142857,,
2006,1.4386603713035584,0.5679,1.023300290107727,0.8469387755102041,0.8052267875413006,0.734505255527365,,
2007,1.4262675166130065,0.5669,1.1055926084518433,0.7959183673469388,0.9185587850386367,0.6904249069904054,,
2008,1.38697447180748,0.5827,1.2026256322860718,0.75,0.681417197869568,0.7759327151175329,,
2009,1.3541117429733276,0.6122,1.2703074216842651,0.7142857142857143,0.5614977624993887,0.8191304347826087,,
2010,1.334486824274063,0.6261,1.2956671714782715,0.673469387755102,0.6562820893135689,0.7861805086653162,,
2011,1.3063953936100006,0.6453,1.3166234493255615,0.673469387755102,0.7016178672919733,0.7601654031702274,,
2012,1.2866073966026306,0.6574,1.3401899337768555,0.6530612244897959,0.653538260387826,0.7818991097922848,,
2013,1.2754363775253297,0.6656,1.3102103471755981,0.6530612244897959,0.6600356802439684,0.7755392273050485,,
2014,1.261589241027832,0.6674,1.339115023612976,0.6581632653061225,0.7095982875217015,0.7670444638186573,,
2015,1.248967206478119,0.6705,1.3680295944213867,0.6224489795918368,0.8008125218388159,0.7322265625,,
2016,1.2359460592269897,0.6694,1.3968250751495361,0.6071428571428571,0.6443541768187266,0.7908726178535607,,
2017,1.2295170187950135,0.6706,1.4263848066329956,0.5918367346938775,0.7310528445241913,0.7539925794482981,,
2018,1.2230671226978302,0.6691,1.5050691366195679,0.5612244897959183,0.6520432918001934,0.7781756899094164,,
2019,1.2013677299022674,0.6751,1.5321658849716187,0.5306122448979592,0.5965387298361479,0.8045429052159282,,
2020,1.1998929023742675,0.6755,1.4949548244476318,0.5561224489795918,0.7677732685068994,0.7315849486887115,,
2021,1.1876771867275238,0.6797,1.490781307220459,0.5459183673469388,0.7671106946626686,0.7335047129391602,,
2022,1.1750109553337098,0.678,1.5281862020492554,0.5204081632653061,0.6847720960505695,0.7691197691197691,,
2023,1.1868160307407378,0.6691,1.4759316444396973,0.5612244897959183,0.758317712415329,0.751428105108536,,
2024,1.1851154386997222,0.6723,1.4828546047210693,0.5561224489795918,0.7333191085092762,0.7551107325383305,,
2025,1.1733447194099427,0.6828,1.5263906717300415,0.5459183673469388,0.5811090670896772,0.813033520716219,,
2026,1.1630917072296143,0.688,1.597004771232605,0.5102040816326531,0.8003585569752901,0.7241800418702024,,
2027,1.1566809237003326,0.6873,1.637161135673523,0.5102040816326531,0.6912622890650266,0.7712048716833406,,
2028,1.1568510293960572,0.6877,1.6257035732269287,0.5153061224489796,0.8527320681164443,0.715940610213738,,
2029,1.1564122200012208,0.6853,1.6722997426986694,0.4897959183673469,0.7246738027461853,0.7639273014618728,,
2030,1.1587084233760834,0.6802,1.704425573348999,0.46938775510204084,0.7854434013280048,0.7294203161911684,,
2031,1.1398917376995086,0.6845,1.7415027618408203,0.4489795918367347,0.6136330504906875,0.8083653435766112,,
2032,1.1448932766914368,0.6731,1.724521517753601,0.45408163265306123,0.7877319630406913,0.7283436027546213,,
2033,1.1426440715789794,0.674,1.7098420858383179,0.4744897959183674,0.6771301224255692,0.7877056672760512,,
2034,1.1402310132980347,0.6799,1.7406857013702393,0.44387755102040816,0.7929863817846168,0.7333062715648467,,
2035,1.140790456533432,0.6779,1.8261232376098633,0.39285714285714285,0.6853983480784253,0.7771552503162841,,
2036,1.1419349014759064,0.679,1.8402705192565918,0.37755102040816324,0.7388978275087811,0.7486252945797329,,
2037,1.1411361634731292,0.6839,1.820550560951233,0.3979591836734694,0.7019703541613614,0.7691699604743083,,
2038,1.1428508758544922,0.689,1.731563687324524,0.46938775510204084,0.718672027132184,0.7602776294714362,,
2039,1.1295375585556031,0.6917,1.7472476959228516,0.45918367346938777,0.7053375905521503,0.762796504369538,,
2040,1.1589757084846497,0.6852,1.7351868152618408,0.4642857142857143,0.6884634979674413,0.7702227432590856,,
2041,1.1646591186523438,0.6748,1.784671425819397,0.42857142857142855,0.6928839740636226,0.7683464265184902,,
2042,1.1491576254367828,0.6771,1.796230435371399,0.44387755102040816,0.5400424676886842,0.8301975540921919,,
2043,1.1400466799736022,0.6756,1.7991938591003418,0.4387755102040816,0.6709500415014366,0.7793525809273841,,
2044,1.127876102924347,0.6749,1.793373465538025,0.44387755102040816,0.6661704428247636,0.7707466608276768,,
2045,1.1128322541713715,0.6799,1.825117826461792,0.4030612244897959,0.5820333296940639,0.8078446162549501,,
2046,1.1092437326908111,0.6815,1.841381311416626,0.413265306122449,0.7651108726412627,0.7534047575812602,,
2047,1.098549771308899,0.6852,1.7971659898757935,0.4387755102040816,0.8105467561590071,0.7181582619095077,,
2048,1.101068025827408,0.677,1.8004828691482544,0.4336734693877551,0.7496373763325384,0.7603748326639893,,
2049,1.0803661823272706,0.6879,1.798793911933899,0.45408163265306123,0.6394361545875391,0.79140832595217,,
2050,1.0664704084396361,0.6865,1.801527738571167,0.4387755102040816,0.5324530534073255,0.8327228327228328,,
2051,1.0508566200733185,0.6967,1.7908096313476562,0.4387755102040816,0.6217636916288296,0.7921716669978144,,
2052,1.0653823494911194,0.694,1.8067790269851685,0.41836734693877553,0.8542765382064662,0.7088074824629774,,
2053,1.0520610094070435,0.6982,1.8165827989578247,0.3826530612244898,0.6438189674829329,0.7921159625243062,,
2054,1.0476400196552276,0.6945,1.8255270719528198,0.3622448979591837,0.8019036216126001,0.7360890302066773,,
2055,1.0624726712703705,0.6946,1.7839787006378174,0.3979591836734694,0.856927281343408,0.710926477504311,,
2056,1.0627861738204956,0.6911,1.7496379613876343,0.4336734693877551,0.6768913654583092,0.7816534541336353,,
2057,1.059319680929184,0.6925,1.8241376876831055,0.37755102040816324,0.8110610600155179,0.7341584158415841,,
2058,1.0746213734149932,0.6837,1.9020720720291138,0.3469387755102041,0.807554668673992,0.7323806430659305,,
2059,1.0788797974586486,0.6823,1.8720253705978394,0.3520408163265306,0.6270001703402498,0.7959183673469388,,
2060,1.0670067727565766,0.6837,1.7864371538162231,0.3673469387755102,0.6457972810372543,0.786234281932495,,
2061,1.0562620341777802,0.6886,1.814702033996582,0.39285714285714285,0.5922208213855124,0.8035211267605634,,
2062,1.0459740042686463,0.6883,1.8575036525726318,0.39285714285714285,0.7290481782480374,0.7509796238244514,,
2063,1.0487985849380492,0.6885,1.8726047277450562,0.37755102040816324,0.8109325563338649,0.7276366435719784,,
2064,1.0400746643543244,0.6846,1.8674321174621582,0.37244897959183676,0.4768820867819794,0.8514659559001696,,
2065,1.127116471529007,0.6525,1.990664005279541,0.3010204081632653,0.9152969124177557,0.6891357559781586,,
2066,1.1139192581176758,0.6516,2.0076382160186768,0.28061224489795916,0.5725051444966814,0.8169706907153105,,
2067,1.1226875066757203,0.6523,1.9627338647842407,0.3163265306122449,0.7524328450223939,0.7549789877580851,,
2068,1.103112030029297,0.6633,1.8819785118103027,0.3673469387755102,0.6590615439282205,0.7824852587901289,,
2069,1.0896886348724366,0.6694,1.9061830043792725,0.3622448979591837,0.6885830980206742,0.780514385353095,,
2070,1.0766575455665588,0.6749,1.8966420888900757,0.37244897959183676,0.6797869057494579,0.778075463273052,,
2071,1.089138013124466,0.6691,1.8824129104614258,0.39285714285714285,0.7972268928778068,0.7295713328868051,,
2072,1.0917706131935119,0.6637,1.932320475578308,0.3622448979591837,0.7482754604952403,0.7552927713141331,,
2073,1.0815299540758132,0.6677,1.9360377788543701,0.3622448979591837,0.4972612443439775,0.8375605585636934,,
2074,1.0834120273590089,0.6683,1.9488279819488525,0.33163265306122447,0.7827155202521282,0.7422853936786984,,
2075,1.07231767475605,0.6749,2.007909059524536,0.3112244897959184,0.5612913489717272,0.8166962000393778,,
2076,1.0785529851913451,0.674,1.9924978017807007,0.32653061224489793,0.8175512979200321,0.7339282092881768,,
2077,1.075902658700943,0.6737,2.017935037612915,0.3112244897959184,0.628430484726302,0.7926774483378257,,
2078,1.0693619817495346,0.6735,2.072199583053589,0.29591836734693877,0.6380015110656672,0.7953736654804271,,
2079,1.086567908525467,0.6727,2.103574752807617,0.27040816326530615,0.8046222978621288,0.7375534644995723,,
2080,1.0809539794921874,0.6726,2.050906181335449,0.32653061224489793,0.7528598346049389,0.75217127852959,,
2081,1.0935264885425569,0.667,2.1024208068847656,0.29081632653061223,0.8648856221893374,0.7211243611584327,,
2082,1.0791767954826355,0.6717,2.0370841026306152,0.336734693877551,0.5394089664256538,0.8284500111831805,,
