round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8569180876016617,0.718,0.22416384220123292,0.9555555555555556,1.0087040709634731,0.6525166767738023,0.25844791797315997,0.9187898089171974
2002,0.9526292204856872,0.6864,0.11157025918364524,0.9983333333333333,0.8686172745272334,0.712554628526023,0.3762752290562485,0.8794402583423035
2003,0.964693221449852,0.6893,0.08864861018955708,0.9994444444444445,0.6189820048749058,0.7921714818266542,0.4021518482766048,0.8765893792071803
2004,0.963461434841156,0.6999,0.058175645768642426,0.9997777777777778,0.8252157359380803,0.7278553444724193,0.1358600350018351,0.9711751662971175
2005,0.9797548413276672,0.6977,0.06802308410406113,0.9997777777777778,0.8016554115435713,0.7335556790809709,,
2006,0.9960622876882553,0.7007,0.07762318141758442,1.0,0.8619752693445266,0.7105687312917338,0.17827388357437784,0.9526854219948849
2007,1.0152382552623749,0.6913,0.030064002983272074,1.0,0.908981487219692,0.6930929626411816,0.16124540093529727,0.9511494252873564
2008,1.0184392929077148,0.6905,0.03317717323079705,1.0,0.7711213271774066,0.7377591530657256,,
2009,1.0535401433706284,0.6908,0.029184579383581877,1.0,0.9172273324657452,0.6876239025771737,0.25920738106213725,0.9223300970873787
2010,1.0732814848423005,0.6872,0.04400274325162172,1.0,0.768792488896214,0.7572646261139093,,
2011,1.0938087582588196,0.6784,0.04712276589125395,1.0,0.7732523555296119,0.7467911318553092,,
2012,1.0882368981838226,0.6803,0.04244965221732855,1.0,0.865269244022738,0.71267087276551,,
2013,1.0937203764915466,0.6824,0.043335961364209655,1.0,0.8661473432649132,0.7105210620882412,,
2014,1.0984334230422974,0.6756,0.0669726800173521,1.0,0.9061083286652677,0.6890955867801306,,
2015,1.090421837568283,0.6831,0.06619337275624275,1.0,0.7077245799009394,0.7695608278647148,,
2016,1.0885953664779664,0.6863,0.049275537952780724,1.0,0.7926366208421889,0.7367805334581189,0.42215267946084567,0.8674188998589563
2017,1.09273664355278,0.678,0.04698392692953348,1.0,0.9252284290185252,0.6880621422730989,0.24224623193307276,0.9205539358600583
2018,1.0972822070121766,0.6752,0.02872543688863516,1.0,0.7097395149452898,0.7542897998093422,0.3464077289370164,0.8855646970830217
2019,1.1158376693725587,0.6734,0.04378778804093599,1.0,0.925798438696194,0.6931706357016335,0.10547483223017398,0.9706546275395034
2020,1.1216988205909728,0.6665,0.03901403713971376,1.0,0.7125136488836185,0.760770400405474,0.27290611651101226,0.9246813441483198
