round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean
2001,0.7722426265478134,0.7362,,,0.24903883458155826,0.9215610510046368,,,,,,,0.0
2002,0.7769996881484985,0.7335,,,0.41119675275011097,0.8695570921323117,,,,,,,0.0
2003,0.7771651953458786,0.7348,,,0.2038492626924999,0.9412,,,,,,,0.0
2004,0.7909343808889389,0.7309,,,0.26335092483562206,0.9220551378446116,,,,,,,0.0
2005,0.7856220602989197,0.7315,,,0.3993456180608456,0.8723324597529015,,,,,,,0.0
2006,0.7897681206464767,0.7319,,,0.5324793515847842,0.8221162037825864,,,,,,,0.0
2007,0.7962936133146286,0.727,,,0.2243750973739847,0.9326453180335182,,,,,,,0.0
2008,0.7856416493654251,0.7317,,,0.23509513437654703,0.9244666956900305,,,,,,,0.0
2009,0.7737560749053956,0.7341,,,0.036639606746301505,0.9891540130151844,,,,,,,0.0
2010,0.7787721246480942,0.7298,,,0.08130224390163783,0.9782810721400114,,,,,,,0.0
2011,0.7767468839883804,0.736,,,0.05958502061617484,0.9841469552088575,,,,,,,0.0
2012,0.7766155987977982,0.735,,,0.2906012514637844,0.909706546275395,,,,,,,0.0
2013,0.7808060258626938,0.7333,,,0.1714867015162048,0.9519823788546256,,,,,,,0.0
2014,0.7801029324531555,0.7356,,,0.28401067218081694,0.9086210079379731,,,,,,,0.0
2015,0.7769236475229263,0.7315,,,0.17273087364134132,0.9530456852791879,,,,,,,0.0
2016,0.7733745038509369,0.7367,,,0.11208681856766466,0.9687756778964667,,,,,,,0.0
2017,0.7735436439514161,0.7342,,,0.3187629833550164,0.8984642034368462,,,,,,,0.0
2018,0.7687529444694519,0.7372,,,0.08874027827784986,0.9763975155279503,,,,,,,0.0
2019,0.7795284450054168,0.7331,,,0.2711512057776739,0.9110567882662655,,,,,,,0.0
2020,0.7751654624938965,0.7354,,,0.18081759190274457,0.9413861386138613,,,,,,,0.0
2021,0.7829507857561111,0.7334,,,0.16593902832410562,0.9525641025641025,,,,,,,0.0
2022,0.7693677008152008,0.7366,,,0.109323138651146,0.9725436805082823,,,,,,,0.0
2023,0.777898195385933,0.7358,,,0.054410245246552934,0.9848904558045832,,,,,,,0.0
2024,0.7840922892093658,0.7324,,,0.031770467620911624,0.9922649262750786,,,,,,,0.0
2025,0.7697699725627899,0.7395,,,0.11132366390916486,0.9669341113542427,,,,,,,0.0
2026,0.7765665650367737,0.7417,,,0.04619799757107079,0.9872405256141688,,,,,,,0.0
2027,0.7780966907739639,0.7386,,,0.38568007068350374,0.8760907504363001,,,,,,,0.0
2028,0.7778806954622268,0.7394,,,0.359870562954603,0.8881022275945433,,,,,,,0.0
2029,0.771611487865448,0.7379,,,0.42819450930908126,0.8648579780629139,,,,,,,0.0
2030,0.7808898985385895,0.7344,,,0.04314569399294854,0.9919204474829086,,,,,,,0.0
2031,0.7839193642139435,0.7283,,,0.20244502565097838,0.9411764705882353,,,,,,,0.0
2032,0.7858709007501602,0.7293,,,0.20405514128934585,0.9377863940782517,,,,,,,0.0
2033,0.7820191025733948,0.733,,,0.08830095502070617,0.9707377232142858,,,,,,,0.0
2034,0.7887065798044205,0.7328,,,0.104917231977968,0.9669455213221791,,,,,,,0.0
2035,0.7787499964237213,0.7337,,,0.3613154809529171,0.8898081985708913,,,,,,,0.0
2036,0.7809812307357789,0.7334,,,0.40695128953668924,0.8727487646844453,,,,,,,0.0
2037,0.7852965414524078,0.7293,,,0.25386739664384117,0.9209657807886051,,,,,,,0.0
2038,0.7805292308330536,0.7342,,,0.15015677359813712,0.9544126241963764,,,,,,,0.0
2039,0.7811128318309783,0.7355,,,0.2987460566257242,0.9062166203802606,,,,,,,0.0
2040,0.7781289428472519,0.7332,,,0.25890945744539234,0.9191329720716965,,,,,,,0.0
2041,0.7834499418735504,0.7298,,,0.3502792751620271,0.8880295897780767,,,,,,,0.0
2042,0.7824600815773011,0.7303,,,0.28917147871683707,0.9090891251605537,,,,,,,0.0
2043,0.7783380776643753,0.7325,,,0.14266910319126525,0.9569588368002447,,,,,,,0.0
2044,0.7777144849300385,0.734,,,0.3594666918283986,0.8813282525857377,,,,,,,0.0
2045,0.7802417129278183,0.7353,,,0.0729738657608237,0.9811994288434079,,,,,,,0.0
2046,0.783462056517601,0.7311,,,0.2550656136082337,0.9214235377026074,,,,,,,0.0
2047,0.7835006713867188,0.7343,,,0.17157843612880685,0.9487851774165356,,,,,,,0.0
2048,0.7843771278858185,0.7333,,,0.13813718407688294,0.9592096876991715,,,,,,,0.0
2049,0.7805260330438614,0.7335,,,0.23964278787574536,0.9286037053773158,,,,,,,0.0
2050,0.7811477601528167,0.7345,,,0.05742166508102773,0.9864185110663984,,,,,,,0.0
2051,0.7751878589391709,0.7373,,,0.19105068437930683,0.9449613129966106,,,,,,,0.0
