round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean
2001,0.7734535992145538,0.7352,,,0.24903883458155826,0.9215610510046368,,,,,,,0.2
2002,0.7752507567405701,0.7341,,,0.28064632117769145,0.9185199028219024,,,,,,,0.2
2003,0.775498366355896,0.7345,,,0.2290270039831288,0.93,,,,,,,0.4
2004,0.7757930338382721,0.7349,,,0.02174227586436788,0.9947368421052631,,,,,,,0.1
2005,0.7760125458240509,0.7352,,,0.18756310543891297,0.9393485585922875,,,,,,,0.1
2006,0.7769737541675568,0.733,,,0.37479519446247617,0.8837962174135288,,,,,,,0.3
2007,0.7753436446189881,0.7338,,,0.17755215750950884,0.9480755556175232,,,,,,,0.3
2008,0.7754366338253021,0.734,,,0.11571520228002952,0.9671310404875925,,,,,,,0.3
2009,0.7766071110963821,0.7351,,,0.06200412489736954,0.9818329718004338,,,,,,,0.4
2010,0.7771851032972336,0.7373,,,0.0406529568448887,0.9906350490893568,,,,,,,0.3
2011,0.7803946733474731,0.7382,,,0.11276007692796419,0.9730749874182184,,,,,,,0.3
2012,0.7791439563035965,0.7393,,,0.17684224194839593,0.9454135029755797,,,,,,,0.3
2013,0.7815973460674286,0.7381,,,0.1330244754846741,0.9623348017621145,,,,,,,0.4
2014,0.7777187079191208,0.7388,,,0.2710779209175361,0.9137899206202695,,,,,,,0.1
2015,0.7790024906396866,0.7375,,,0.15294224863462016,0.955160744500846,,,,,,,0.2
2016,0.7789238184690476,0.738,,,0.10677850913588721,0.9679539852095317,,,,,,,0.2
2017,0.7784133642911911,0.7377,,,0.18634565471849493,0.9447034632925081,,,,,,,0.2
2018,0.7810592502355576,0.7375,,,0.08582170990856816,0.975983436853002,,,,,,,0.4
2019,0.7820774346590043,0.7383,,,0.13321140047326338,0.9622038360285822,,,,,,,0.0
2020,0.786052793264389,0.7387,,,0.03079287469027435,0.9926732673267327,,,,,,,0.2
2021,0.7856048434972763,0.739,,,0.1368842250540152,0.9628205128205128,,,,,,,0.3
2022,0.7896766543388367,0.7387,,,0.041464613440638017,0.989788972089857,,,,,,,0.3
2023,0.7940037369728088,0.7383,,,0.02313717935132053,0.9944598337950139,,,,,,,0.2
2024,0.7976930528879166,0.7385,,,0.0789168838689368,0.9796954314720813,,,,,,,0.2
2025,0.8004206478595733,0.7392,,,0.12215811213040975,0.9693654266958425,,,,,,,0.1
2026,0.8072637766599655,0.739,,,0.05617560510165526,0.9824795277090078,,,,,,,0.3
