round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean,DACC
2001,0.7722420275211335,0.7362,,,0.24903883458155826,0.9215610510046368,,,0.0,0.0,0.0,0.0,,1.0
2002,0.7775215178728103,0.7318,,,0.4073319334888887,0.8710521397869557,,,0.0,0.0,0.0,0.0,,1.0
2003,0.781941556930542,0.7322,,,0.25935897196447477,0.9228,,,0.0,0.0,0.0,0.0,,1.0
2004,0.7899295300245285,0.7307,,,0.04740896445732881,0.987218045112782,,,0.0,0.0,0.0,0.0,,1.0
2005,0.7830932915210724,0.7336,,,0.23607353563525077,0.9247472856608012,,,0.0,0.0,0.0,0.0,,1.0
2006,0.7823081254959107,0.7332,,,0.36079180175887604,0.8911228488669279,,,0.0,0.0,0.0,0.0,,1.0
2007,0.790060180425644,0.73,,,0.14814909470369217,0.9539297565600514,,,0.0,0.0,0.0,0.0,,1.0
2008,0.7819351971149444,0.7329,,,0.26954221570186,0.914453635176317,,,0.0,0.0,0.0,0.0,,1.0
2009,0.7727556765079499,0.7355,,,0.07031524204750042,0.9799349240780911,,,0.0,0.0,0.0,0.0,,1.0
2010,0.7793114811182023,0.7328,,,0.044371313975977204,0.9870500142287991,,,0.0,0.0,0.0,0.0,,1.0
2011,0.7774007022380829,0.736,,,0.1002436734918293,0.9728233517866129,,,0.0,0.0,0.0,0.0,,1.0
2012,0.7728386849164963,0.7388,,,,,,,0.0,0.0,0.0,0.05,,0.95
2013,0.7777204722166061,0.7341,,,0.1302140014457141,0.9645374449339207,,,0.0,0.0,0.0,0.05,,0.95
2014,0.77729272544384,0.7341,,,0.27959847935055726,0.9084387389088163,,,0.0,0.0,0.0,0.05,,0.95
2015,0.7778710395097732,0.7335,,,0.23574699240612315,0.9294770206022187,,,0.0,0.0,0.0,0.05,,0.95
2016,0.7774088084697723,0.7357,,,0.151376063265951,0.9564502875924404,,,0.0,0.0,0.0,0.05,,0.95
2017,0.7754156857728958,0.7347,,,0.29708185353533084,0.9021445510305969,,,0.0,0.0,0.0,0.05,,0.95
2018,0.7720913529396057,0.7363,,,0.11044982640753469,0.9694233531705315,,,0.0,0.0,0.0,0.05,,0.95
2019,0.7755904257297516,0.7355,,,0.11634306171087631,0.9714178262504701,,,0.0,0.0,0.0,0.05,,0.95
2020,0.7743804812431335,0.7346,,,0.2514883113871928,0.9196039603960396,,,0.0,0.0,0.0,0.05,,0.95
2021,0.781699052453041,0.7313,,,0.22106130591018572,0.9341880341880342,,,0.0,0.0,0.0,0.05,,0.95
2022,0.7701936066150665,0.7364,,,0.050371097378090396,0.9842190763518218,,,0.0,0.0,0.0,0.05,,0.95
2023,0.7776079595088958,0.7385,,,0.057550988373671966,0.9859252422704199,,,0.0,0.0,0.0,0.05,,0.95
2024,0.7857306927442551,0.7321,,,0.031420501320587435,0.9927896568871208,,,0.0,0.0,0.0,0.05,,0.95
2025,0.7737784028053284,0.7379,,,0.07606876938270508,0.9773887673231219,,,0.0,0.0,0.0,0.05,,0.95
2026,0.7828000992536545,0.7421,,,0.05007861150122009,0.9865650691798676,,,0.0,0.0,0.0,0.05,,0.95
2027,0.782550910115242,0.7371,,,0.2877254977698334,0.9060764715214977,,,0.0,0.0,0.0,0.05,,0.95
2028,0.7829327762126923,0.7362,,,0.32943438073294373,0.9013987221550682,,,0.0,0.0,0.0,0.05,,0.95
2029,0.7747863829135895,0.7386,,,0.41186456166378177,0.8654801324503312,,,0.0,0.0,0.0,0.05,,0.95
2030,0.780976164340973,0.7349,,,0.15425851779309013,0.9521441889372281,,,0.0,0.0,0.0,0.05,,0.95
2031,0.7768162459135055,0.7314,,,0.36930486520850414,0.8835255032245456,,,0.0,0.0,0.0,0.05,,0.95
2032,0.7789952456951141,0.734,,,0.2052946862222835,0.9399013041945717,,,0.0,0.0,0.0,0.05,,0.95
2033,0.7764926999807358,0.7365,,,0.12773109717357795,0.96258287429495,,,0.0,0.0,0.0,0.05,,0.95
2034,0.7847504079341888,0.7331,,,0.03779206781052745,0.9902060803917568,,,0.0,0.0,0.0,0.05,,0.95
2035,0.773732778429985,0.736,,,0.3469500160952213,0.8895205609247678,,,0.0,0.0,0.0,0.05,,0.95
2036,0.7718791007995606,0.7389,,,0.421550278546511,0.8667373199279712,,,0.0,0.0,0.0,0.05,,0.95
2037,0.7739593237638474,0.734,,,0.34822121398401007,0.8920308483290489,,,0.0,0.0,0.0,0.05,,0.95
2038,0.7741686791181565,0.736,,,0.16038239263589593,0.9532437171244886,,,0.0,0.0,0.0,0.05,,0.95
2039,0.7740111738443375,0.7398,,,0.08181781611486687,0.9765007477034822,,,0.0,0.0,0.0,0.05,,0.95
2040,0.7754895240068436,0.737,,,0.09977506777320905,0.9716402116402116,,,0.0,0.0,0.0,0.05,,0.95
2041,0.774940875172615,0.7351,,,0.25473637272410965,0.9188269604666235,,,0.0,0.0,0.0,0.05,,0.95
2042,0.7695495516061783,0.7366,,,0.1925490023235192,0.9396594476951621,,,0.0,0.0,0.0,0.05,,0.95
2043,0.7696209996938705,0.7372,,,0.07233734524782613,0.9790135553686142,,,0.0,0.0,0.0,0.05,,0.95
2044,0.7731836110353469,0.738,,,0.12181427494031749,0.9608038201352964,,,0.0,0.0,0.0,0.05,,0.95
2045,0.7821807891130448,0.7358,,,0.21255159582799782,0.9353010625737899,,,0.0,0.0,0.0,0.05,,0.95
2046,0.7823092490434647,0.7322,,,0.26499278478396937,0.9120859760394644,,,0.0,0.0,0.0,0.05,,0.95
2047,0.7859079360961914,0.7328,,,0.24428166048866617,0.9218668065023597,,,0.0,0.0,0.0,0.05,,0.95
2048,0.7813578009605407,0.7369,,,0.09464506007729379,0.9747185043552157,,,0.0,0.0,0.0,0.05,,0.95
2049,0.7764629572629929,0.7353,,,0.18077921316637932,0.9489380930863082,,,0.0,0.0,0.0,0.05,,0.95
2050,0.7788470298051834,0.7354,,,0.1720748929598723,0.9424044265593562,,,0.0,0.0,0.0,0.05,,0.95
2051,0.7756560355424881,0.7368,,,0.3207074445304881,0.9031536654135339,,,0.0,0.0,0.0,0.05,,0.95
2052,0.7806726723909378,0.7356,,,0.16039983235169308,0.9531190926275992,,,0.0,0.0,0.0,0.05,,0.95
2053,0.7817933857440948,0.7343,,,0.34305075143240127,0.895210838522654,,,0.0,0.0,0.0,0.05,,0.95
2054,0.7791527271270752,0.7349,,,0.03928867534136364,0.9911976527073887,,,0.0,0.0,0.0,0.05,,0.95
2055,0.7836715579032898,0.7362,,,0.06461487742643648,0.9838475874922344,,,0.0,0.0,0.0,0.05,,0.95
2056,0.7821690678596497,0.7353,,,0.2539818971189613,0.9237793514722326,,,0.0,0.0,0.0,0.05,,0.95
2057,0.7727531582117081,0.737,,,0.1885694637434789,0.9450702052152445,,,0.0,0.0,0.0,0.05,,0.95
2058,0.7756698369979859,0.7386,,,0.09558600305314204,0.9721726190476191,,,0.0,0.0,0.0,0.05,,0.95
2059,0.7775656789541244,0.7352,,,0.049399097772770656,0.9864406779661017,,,0.0,0.0,0.0,0.05,,0.95
2060,0.7811212420463562,0.7359,,,0.2679955085664376,0.914488424197162,,,0.0,0.0,0.0,0.05,,0.95
2061,0.7895992040634155,0.7283,,,0.3024346892094673,0.8998539536824536,,,0.0,0.0,0.0,0.05,,0.95
2062,0.7923274576663971,0.7288,,,0.3406167987799769,0.8913304035157811,,,0.0,0.0,0.0,0.05,,0.95
2063,0.781060129404068,0.7324,,,0.3555089183585981,0.8957807428777498,,,0.0,0.0,0.0,0.05,,0.95
