round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc,precision,recall,f1_score,fpr,fpr_clean,DACC
2001,1.9389669001102448,0.3743,,,,,,,,,,,1.0,
2002,1.9370130538940429,0.3746,,,,,,,,,,,1.0,
2003,1.9384869933128357,0.3753,,,,,,,,,,,1.0,
2004,1.9361500918865204,0.3742,,,,,,,,,,,1.0,
2005,1.9349435925483705,0.3714,,,,,,,,,,,1.0,
2006,1.936169683933258,0.3728,,,,,,,,,,,1.0,
2007,1.9313786506652832,0.3735,,,,,,,,,,,1.0,
2008,1.9277015507221222,0.3758,,,,,,,,,,,1.0,
2009,1.9325929284095764,0.3745,,,,,,,,,,,1.0,
2010,1.9319037795066833,0.3718,,,,,,,,,,,1.0,
2011,1.9292575776576997,0.3732,,,,,,,,,,,1.0,
2012,1.932171630859375,0.378,,,,,,,,,,,1.0,
2013,1.9183620929718017,0.3765,,,,,,,,,,,1.0,
2014,1.5032266557216645,0.4823,,,0.9323329547465189,0.6891268229647406,,,,,,,0.9,
2015,1.6367142915725708,0.458,,,,,,,,,,,1.0,
2016,1.638435995578766,0.4576,,,,,,,,,,,1.0,
2017,1.5559869527816772,0.4421,,,0.9846630854231001,0.6741001639671831,,,,,,,0.9,
2018,1.6792504251003266,0.4181,,,,,,,,,,,1.0,
2019,1.6779780209064483,0.42,,,,,,,,,,,1.0,
2020,1.681931495666504,0.4192,,,,,,,,,,,1.0,
2021,1.682286524772644,0.4174,,,,,,,,,,,1.0,
2022,1.679105520248413,0.4166,,,,,,,,,,,1.0,
2023,1.6810223758220673,0.4176,,,,,,,,,,,1.0,
2024,1.6827375769615174,0.4158,,,,,,,,,,,1.0,
2025,1.6834550321102142,0.4139,,,,,,,,,,,1.0,
2026,1.6368373036384583,0.4106,,,0.9680446604278469,0.6781565416111217,,,,,,,0.9,
2027,1.6442170679569243,0.4292,,,,,,,,,,,1.0,
2028,1.6446894347667693,0.4276,,,,,,,,,,,1.0,
2029,1.6417540431022644,0.4266,,,,,,,,,,,1.0,
2030,1.6466804265975952,0.4249,,,,,,,,,,,1.0,
2031,1.6467615067958832,0.4274,,,,,,,,,,,1.0,
2032,1.5905670940876007,0.4522,,,0.9799785475874603,0.6732463870285513,,,,,,,0.9,
2033,1.6116765499114991,0.451,,,,,,,,,,,1.0,
2034,1.6071388721466064,0.455,,,,,,,,,,,1.0,
2035,1.6086535036563874,0.4533,,,,,,,,,,,1.0,
2036,1.608168852329254,0.4519,,,,,,,,,,,1.0,
2037,1.615001517534256,0.4481,,,,,,,,,,,1.0,
2038,1.6117555260658265,0.4524,,,,,,,,,,,1.0,
2039,1.6089178144931793,0.4536,,,,,,,,,,,1.0,
2040,1.610301947593689,0.4519,,,,,,,,,,,1.0,
2041,1.6101593673229218,0.4526,,,,,,,,,,,1.0,
2042,1.613062310218811,0.4526,,,,,,,,,,,1.0,
2043,1.6119793951511383,0.4497,,,,,,,,,,,1.0,
2044,1.61254563331604,0.4539,,,,,,,,,,,1.0,
2045,1.6144999086856842,0.4508,,,,,,,,,,,1.0,
2046,1.5868106305599212,0.4605,,,0.888480202686711,0.7073643410852714,,,,,,,0.9,
2047,1.589107632637024,0.462,,,,,,,,,,,1.0,
2048,1.4512162923812866,0.5257,,,0.8634229523755194,0.710431272572764,,,,,,,0.9,
2049,1.4506835162639617,0.526,,,1.0586904594249655,0.6339810212381383,,,,,,,0.9,
2050,1.4662482738494873,0.519,,,,,,,,,,,1.0,
2051,1.4652099668979646,0.5218,,,,,,,,,,,1.0,
2052,1.4654797792434693,0.5191,,,,,,,,,,,1.0,
2053,1.467639648914337,0.5188,,,,,,,,,,,1.0,
2054,1.414243793487549,0.5391,,,0.8890194862675559,0.6991197652707388,,,,,,,0.9,
2055,1.3950575530529021,0.5542,,,0.8791239570065954,0.704569637589549,,,,,,,0.9,
2056,1.399586683511734,0.5473,,,,,,,,,,,1.0,
2057,1.4009306371212005,0.5493,,,,,,,,,,,1.0,
2058,1.40261110663414,0.5474,,,,,,,,,,,1.0,
