round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8215948522090912,0.7285,,,0.2490392031254775,0.9215610510046368,,
2002,1.5193610787391663,0.4256,,,0.8490960298353568,0.7193048028405905,,
2003,1.5651437759399414,0.4394,,,0.7515412386536598,0.7606,,
2004,1.420110011100769,0.4793,,,0.654062730081398,0.7892230576441103,,
2005,1.4230320811271668,0.5302,,,0.767042176346795,0.739797828528641,,
2006,1.634668892621994,0.4259,,,0.915374568981701,0.6980746294087579,,
2007,1.537253099679947,0.4648,,,0.7727386234723159,0.7508927700008365,,
2008,1.5915727853775024,0.4829,,,0.6740229230408156,0.7855898998693949,,
2009,1.1508693099021912,0.6069,,,0.5564814600406655,0.8210412147505423,,
2010,1.5002745509147644,0.4723,,,0.8005595232343633,0.7417620589072282,,
2011,1.4686877250671386,0.471,,,0.6611329016594893,0.8024660291897333,,
2012,1.370355051755905,0.5723,,,0.7944988201903828,0.7533347014159655,,
2013,1.2852288722991942,0.5645,,,0.8228944584070849,0.7314977973568282,,
2014,1.4908557474613189,0.4802,,,0.8528252028331823,0.7384160974709248,,
2015,1.4709511280059815,0.4941,,,0.7120467900675163,0.7804568527918782,,
2016,1.6343660533428193,0.4678,,,0.9326307936315176,0.6881676253081348,,
2017,1.256734448671341,0.5431,,,0.838544944786869,0.7259640418204472,,
2018,1.2873057544231414,0.5827,,,0.7482969652298321,0.7629399585921325,,
2019,1.4261787950992584,0.5215,,,0.766984329888497,0.750470101541933,,
2020,1.2916901051998138,0.5571,,,0.7209804330013766,0.7617821782178218,,
2021,1.457555776834488,0.501,,,0.7284192162319126,0.7645299145299145,,
2022,1.4699040353298187,0.4739,,,0.849620291461527,0.7313365100975721,,
2023,1.3835413336753846,0.5151,,,0.7778671736442241,0.7534626038781164,,
2024,1.3325414896011352,0.5216,,,0.7916489705418169,0.7597292724196277,,
