round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7793070793151855,0.7326,,,0.2490392031254775,0.9215610510046368,,
2002,0.7960913062095643,0.7267,,,0.675910725978756,0.7770510185012147,,
2003,0.8342047065496445,0.7188,,,0.7383503868818283,0.7608,,
2004,0.9029836505651474,0.6922,,,0.9240778017761115,0.6979949874686717,,
2005,0.9359408408403397,0.6778,,,0.886719893701779,0.706102583302134,,
2006,0.9078908771276474,0.687,,,0.907984754908814,0.692451865735219,,
2007,0.9092707842588424,0.6833,,,0.8199780470499985,0.7303904311090041,,
2008,0.8980975180864335,0.6919,,,0.7897113768443057,0.741184153243361,,
2009,0.8988320231437683,0.6937,,,0.7156448683452968,0.7630151843817787,,
2010,0.9428640365600586,0.6714,,,0.8192897426612212,0.7375684760956175,,
2011,0.8744009822607041,0.6983,,,0.7361996816850872,0.7647206844489179,,
