round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7772797077894211,0.7341,,,0.2490392031254775,0.9215610510046368,,
2002,0.7776321053504944,0.7303,,,0.46835865792920184,0.8424593533918894,,
2003,0.7825098484754562,0.7318,,,0.6215956750653684,0.7998,,
2004,0.8025800287723541,0.7222,,,0.9020983393030956,0.7127819548872181,,
2005,0.8398720860481262,0.7108,,,0.9605141376587658,0.685698240359416,,
2006,0.8982865035533905,0.6981,,,1.0055649551607555,0.6634861134775941,,
2007,0.9677806854248047,0.6708,,,0.9771306317465088,0.6659619781935807,,
2008,1.0484999001026154,0.6458,,,0.9243198770593445,0.694601654331737,,
2009,1.2000589549541474,0.6005,,,0.8022156324148695,0.7350867678958786,,
2010,1.434354990720749,0.5371,,,0.8743197396568907,0.71025656303358,,
2011,1.8166925609111786,0.4628,,,0.9731963317659432,0.6630598892803221,,
2012,2.119816470146179,0.4276,,,0.9576747907448324,0.687871947465627,,
2013,2.6259576320648192,0.3613,,,1.2056680063187812,0.5958149779735683,,
2014,2.8507612347602844,0.3476,,,1.2144133474238359,0.5839025290751338,,
2015,3.347749936580658,0.288,,,1.240006917315439,0.5941201353637902,,
2016,4.0098994970321655,0.2354,,,1.2718872387657032,0.576417419884963,,
2017,4.29765682220459,0.2073,,,1.1934318030655935,0.611201559157479,,
2018,4.4639746904373165,0.1861,,,1.1783781325965195,0.6004140786749482,,
2019,5.152407717704773,0.1611,,,1.1303657966029514,0.6301241068070703,,
2020,5.0278000831604,0.1378,,,1.1183129610755655,0.6310891089108911,,
2021,5.23232204914093,0.1228,,,1.0915743567622624,0.6386752136752136,,
2022,5.429820036888122,0.1151,,,1.2521087900970647,0.5650102110279102,,
2023,4.648068857192993,0.1111,,,1.2414217392103224,0.5872576177285319,,
2024,4.225314474105835,0.1041,,,1.2069142994196023,0.5885907662557409,,
2025,4.196904087066651,0.1003,,,1.139424292429097,0.6226598589837102,,
2026,3.8553917169570924,0.1012,,,1.2965225358845687,0.5659874309655304,,
2027,3.836217153072357,0.0991,,,1.2101304890824636,0.5860701253371411,,
2028,3.551617074012756,0.0985,,,1.1701705355632699,0.6085304783284406,,
2029,3.284819185733795,0.0987,,,1.3525555019001692,0.5528934706125829,,
