round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.8181947231292724,0.7344,,,0.2490392031254775,0.9215610510046368,,
2002,1.4070598542690278,0.5013,,,0.9126600015109955,0.7019248738553542,,
2003,1.291173094511032,0.5416,,,0.6683646620810032,0.787,,
2004,1.224769413471222,0.5574,,,0.6855188539377729,0.7739348370927318,,
2005,1.1349562048912047,0.6132,,,0.7370611836304606,0.7643204792212654,,
2006,1.2645320534706115,0.5738,,,0.8392435359394231,0.7323223717839495,,
2007,1.3748463988304138,0.509,,,0.6718120355811316,0.7836904122863277,,
2008,1.4170921266078949,0.5222,,,0.5957315943658378,0.8169351327818895,,
2009,1.0904125422239304,0.6249,,,0.4767043959236261,0.851409978308026,,
2010,1.3567843914031983,0.5414,,,0.6310985525250096,0.7941704610130905,,
2011,1.2643008291721345,0.5444,,,0.6133907370655514,0.8112732762959235,,
2012,1.0385969430208206,0.6419,,,0.7330199388075042,0.7839113482454341,,
2013,1.1164391100406648,0.6137,,,0.7528537392353697,0.7517621145374449,,
2014,1.3174921035766602,0.5488,,,0.7399400885648254,0.771275613808381,,
