round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7891132563352585,0.7315,1.998550570011139,0.43977777777777777,0.8487958817857841,0.7202592515157851,0.3672505151218092,0.875
2002,0.79472034573555,0.7306,1.5498516142368317,0.5394444444444444,0.7667593818365819,0.7483989021043,0.24820995454195957,0.928343949044586
2003,0.8127289175987243,0.7265,1.1988318622112275,0.6208888888888889,0.6315362633196866,0.7934746047763203,0.3419855544114652,0.9056047197640118
2004,0.8016316741704941,0.7325,1.1766739785671234,0.6343333333333333,0.8058228280435648,0.7306302689682859,0.24585445258352492,0.9305555555555556
2005,0.7935777187347413,0.7338,1.5742932558059692,0.5364444444444444,0.7669284765250464,0.7443505600314404,,
2006,0.8072568416595459,0.7239,1.8429309844970703,0.4698888888888889,0.9092765437305302,0.7028413575374901,,
2007,0.8049476861953735,0.7263,1.5142014265060424,0.559,0.8006431972557079,0.741679085941381,0.21405151696272298,0.9436619718309859
2008,0.8060494303703308,0.7232,1.0365811318159104,0.6711111111111111,0.623316399893467,0.8,0.23378052922158404,0.927801724137931
2009,0.7976948350667954,0.725,1.152795472741127,0.6414444444444445,0.7774933441018971,0.7449355432780848,,
2010,0.8025951564311982,0.7261,0.9933353453874588,0.6848888888888889,0.6132926823100905,0.8154744525547445,0.2794910019538442,0.9143897996357013
2011,0.8109595537185669,0.7229,0.5899024739861488,0.8012222222222222,0.8808713449588578,0.706506162224133,0.2514668651398896,0.9205202312138728
2012,0.8159998506307602,0.7208,0.6792415708303452,0.7717777777777778,0.8129315844560123,0.7326299536798765,0.47627689678005486,0.8470948012232415
2013,0.8090140163898468,0.7279,0.7235114425420761,0.7605555555555555,0.9013815671081059,0.7135101273752349,0.2257733479806572,0.9410828025477707
2014,0.8001350730657577,0.727,0.708265507221222,0.765,0.7742735948754754,0.7502289377289377,0.24053563674290976,0.925
2015,0.8000621348619461,0.7282,0.7766245365142822,0.7464444444444445,0.8365037254162774,0.7251552795031055,0.23064167631997,0.9472222222222222
2016,0.8073413372039795,0.7235,0.6879521697759629,0.7738888888888888,0.9077016877949462,0.7012902884796092,0.2708404526193306,0.921957671957672
2017,0.8103892624378204,0.7259,0.6839082211256027,0.7737777777777778,0.7682326697894699,0.7546406473108044,0.27477918498834986,0.9156050955414012
2018,0.8189232140779495,0.7222,0.432767853140831,0.8464444444444444,0.8202344728125958,0.7425519955030916,0.2862258283252066,0.9113636363636364
2019,0.8082772582769394,0.722,0.4116224184632301,0.8538888888888889,0.8022607807657494,0.739100185528757,0.1712263513225204,0.94579945799458
2020,0.8226162552833557,0.7211,0.3593932181596756,0.8767777777777778,0.7291341141236729,0.7785388127853882,0.19233094834215272,0.9444444444444444
2021,0.8274788975715637,0.7219,0.23631477281451224,0.9217777777777778,0.8100630833586651,0.7330016583747927,0.28248306537239715,0.9102011494252874
2022,0.8057469099760055,0.7292,0.236634524166584,0.9213333333333333,0.6970936096824436,0.7714197339931952,0.224462023353189,0.926829268292683
2023,0.8175050914287567,0.7256,0.21127711236476898,0.9292222222222222,0.5790277549986013,0.8237601569066966,0.20736018410870727,0.9366197183098591
2024,0.8189242482185364,0.7258,0.2651967741549015,0.9121111111111111,0.744532688995827,0.7429563086974276,,
2025,0.8086627364158631,0.7277,0.30404445677995684,0.8945555555555555,0.787452688816647,0.7402537485582469,0.20340527093046096,0.9410480349344978
2026,0.8090929388999939,0.7262,0.3683632120490074,0.8715555555555555,0.7476985674005368,0.759279736654898,,
2027,0.800325819849968,0.7288,0.48196150064468385,0.8352222222222222,0.7631368136022995,0.748962281176683,,
2028,0.8099642217159271,0.725,0.558274956047535,0.8072222222222222,0.9107591350611731,0.6918013165769,,
2029,0.8071279793977737,0.725,0.7380492657423019,0.7485555555555555,0.7605020042189293,0.7474234977009672,,
2030,0.7972767114639282,0.7274,0.7050498217344284,0.7607777777777778,0.8451721637769731,0.7204701273261508,,
2031,0.8079905211925507,0.7223,0.6280627325177193,0.7865555555555556,0.7712347417707962,0.7485311398354877,0.19679685755514761,0.9436619718309859
2032,0.8063033849000931,0.728,0.741079357266426,0.7477777777777778,0.7743902053270879,0.7570402019809672,,
2033,0.7993747085332871,0.7303,0.6575183808803559,0.776,0.7863102748134575,0.7504203699255345,0.20260848553200078,0.94579945799458
2034,0.8015144526958465,0.7251,0.6063432335853577,0.7947777777777778,0.9508287957390041,0.6963724051163765,0.2168050301558116,0.9435336976320583
2035,0.7974970549345016,0.7291,0.47541294395923617,0.8415555555555555,0.9022298415897121,0.7080854097968301,0.20848993113950678,0.9326625386996904
2036,0.808555594086647,0.721,0.5833574458956718,0.8001111111111111,0.9462256709440198,0.6818093195554689,0.25074731326027283,0.9331210191082803
2037,0.802035003900528,0.7252,0.46648233830928804,0.84,0.7987035651662651,0.7335608646188851,0.18519091214429395,0.948509485094851
2038,0.8076330661773682,0.7257,0.45434414595365524,0.8452222222222222,0.636883239094004,0.7918017600741084,0.1482106759200083,0.9669421487603306
2039,0.7898658037185669,0.726,0.5090898543596267,0.8265555555555556,0.6969969577945221,0.7606072401712729,,
2040,0.8027534186840057,0.7294,0.5212137594819068,0.8217777777777778,0.6822272041480052,0.7829174664107486,0.1732424857009071,0.940379403794038
2041,0.8153269588947296,0.7219,0.6713651239871978,0.7751111111111111,0.6842973573311795,0.7793047439643241,0.24305735230445863,0.9277777777777778
2042,0.8141443878412247,0.7243,0.6707463890314103,0.7717777777777778,0.7832139486427506,0.735191637630662,,
2043,0.812515702843666,0.7246,0.4316075354814529,0.853,0.6976089545412836,0.780807270783213,0.2909558453128836,0.907909604519774
2044,0.8035256266593933,0.7283,0.5127339646220207,0.8254444444444444,0.6204498015708505,0.7986509274873524,,
2045,0.8180807799100875,0.7202,0.5712666556239128,0.8022222222222222,0.7732085591733854,0.7472160356347439,0.20630640288194022,0.9479166666666666
2046,0.80488823056221,0.7245,0.6097446829080582,0.7853333333333333,0.6588910932302475,0.7874,,
2047,0.8119236111640931,0.7223,0.6217669814825058,0.7817777777777778,0.5508361838716829,0.819060773480663,0.147637071483063,0.9614325068870524
2048,0.8173001796007157,0.7246,0.6692243129014969,0.7637777777777778,0.6709769066414121,0.7867963343931177,,
2049,0.8232614189386368,0.7176,0.5626171365380287,0.8058888888888889,0.7322878867317814,0.761150234741784,0.182177377838484,0.9419014084507042
2050,0.8357528507709503,0.7189,0.5974691331386566,0.7868888888888889,0.7973129515498877,0.7378333333333333,,
2051,0.8454673379659653,0.712,0.6551852822303772,0.7693333333333333,0.5904006413558348,0.8096761295481807,0.18364993068906996,0.9583333333333334
2052,0.8322716236114502,0.7164,0.5423655077815056,0.8088888888888889,0.760986638339393,0.7506367804381049,0.2732756480266914,0.9124877089478859
2053,0.8202919393777848,0.7213,0.4639968857169151,0.838,0.36199549638782064,0.8885298869143781,0.39733748069596947,0.8776758409785933
2054,0.813372328877449,0.722,0.30281494557857513,0.8962222222222223,0.5042334320872468,0.8370535714285714,0.231830501891523,0.929718875502008
2055,0.7960830330848694,0.7271,0.3391614302992821,0.8853333333333333,0.3758520600459163,0.8845223700120919,,
2056,0.7982688039541245,0.7285,0.3658318996429443,0.873,0.6917867701621807,0.7741247556424382,0.3275484731242915,0.8980891719745223
2057,0.7895137965679169,0.7291,0.3643908157944679,0.8772222222222222,0.8593841983406251,0.7106659818524226,0.18598202820036822,0.9522292993630573
2058,0.7966769307851791,0.7274,0.3232887670397758,0.8903333333333333,0.5291486533431264,0.8295997801411187,,
2059,0.8044989436864853,0.7267,0.2748604491353035,0.9092222222222223,0.4770900468246276,0.8532294546368434,0.26218434839293675,0.9324618736383442
2060,0.8016071885824203,0.7285,0.31946865320205686,0.8933333333333333,0.6120637465179769,0.7914669774159664,,
2061,0.8037609100341797,0.7242,0.3322879061102867,0.8898888888888888,0.5577146713534896,0.8253473885960709,,
2062,0.8205986082553863,0.7223,0.41526269912719727,0.859,0.6303395949724587,0.7988268864933418,,
2063,0.804310965538025,0.7264,0.39246390759944916,0.8686666666666667,0.6482703843446173,0.7843714609286523,0.22260773844189113,0.9409722222222222
2064,0.8039264976978302,0.7251,0.45540265887975695,0.8421111111111111,0.5694251160838487,0.8146262439250174,,
2065,0.7985155761241913,0.7268,0.448324678838253,0.844,0.45200400932350154,0.8513513513513513,0.30226479447945176,0.9097859327217125
2066,0.7966993898153305,0.7307,0.4513960242271423,0.8455555555555555,0.7174589201341812,0.7693635382955771,0.23951386911853864,0.9315286624203821
2067,0.7962720721960068,0.7272,0.5034994333982468,0.8213333333333334,0.5973473757161601,0.8063868918241097,,
2068,0.8039366483688355,0.7257,0.41222798079252243,0.8542222222222222,0.4481867478021542,0.8612267554815431,0.1802316793021123,0.9522292993630573
2069,0.8147830307483673,0.723,0.4320601120591164,0.8481111111111111,0.7782378373721206,0.7411477411477412,0.2119751148660418,0.9330985915492958
