round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.3794783115386964,0.5321,2.089834213256836,0.3010204081632653,0.8487958817857841,0.7202592515157851,0.3498318398922262,0.8714788732394366
2002,1.645327490568161,0.4229,2.163867712020874,0.1326530612244898,0.8211769110575141,0.7250686184812443,0.3140813454890707,0.8949044585987261
2003,1.415669184923172,0.482,2.254863739013672,0.23979591836734693,0.592464176284477,0.8153380423814329,0.29447137462588774,0.9144542772861357
2004,1.5238928079605103,0.5133,2.2891929149627686,0.14795918367346939,0.9022258434942667,0.7101565636290647,0.33029450807306504,0.9
2005,1.6048794388771057,0.4519,3.0744218826293945,0.05612244897959184,0.7347064245880927,0.7586952249950875,,
2006,1.4820597290992736,0.4898,2.583894968032837,0.061224489795918366,0.7680904030294143,0.7490134175217048,,
2007,1.4923477351665497,0.4958,1.8941422700881958,0.29591836734693877,0.6996016767758726,0.7819175360158966,0.3008121738971119,0.8926056338028169
2008,1.1635472536087037,0.6118,1.7305586338043213,0.45408163265306123,0.5949264735631321,0.8152173913043478,0.2569334048392444,0.9245689655172413
2009,1.5422950506210327,0.4799,2.5325636863708496,0.04081632653061224,0.8523938488455328,0.7322283609576428,,
2010,1.1797218203544617,0.603,2.1035194396972656,0.30612244897959184,0.5517970976951349,0.8402919708029197,0.2743923404069112,0.912568306010929
2011,1.4127286612987517,0.5155,1.009844183921814,0.6836734693877551,0.7866640040716629,0.7451991974777873,0.3247573041502451,0.9082369942196532
2012,1.2106928169727325,0.592,2.8788745403289795,0.14285714285714285,0.7176024470434199,0.7632527020072054,0.3324702784920322,0.8883792048929664
2013,1.505833876132965,0.4711,2.104501724243164,0.21428571428571427,0.8768740093927091,0.7368970557527668,0.342226348485157,0.893312101910828
2014,1.477370035648346,0.4804,1.2340978384017944,0.7142857142857143,0.8190550631928794,0.7383241758241759,0.39563816984494526,0.8888888888888888
2015,1.800841224193573,0.3316,2.2917838096618652,0.025510204081632654,1.0904228898044592,0.6410825199645075,0.3355410774548849,0.9027777777777778
2016,1.3928182065486907,0.503,1.4381035566329956,0.5918367346938775,0.9296359748205927,0.6900181558246302,0.3431597522326878,0.8902116402116402
2017,1.473548287153244,0.5177,2.1233460903167725,0.1326530612244898,0.8472149840200135,0.7213231794383627,0.26530034194706353,0.9267515923566879
2018,1.4057123005390166,0.5116,1.1415330171585083,0.6836734693877551,0.7417855134350051,0.7661607644744238,0.3022747512864457,0.9107954545454545
2019,1.397386860847473,0.5208,2.1193082332611084,0.20408163265306123,0.775055996341033,0.7495361781076066,0.24618874510452354,0.9214092140921409
2020,1.476316899061203,0.4893,0.9784641861915588,0.7602040816326531,0.7903334844057963,0.7671232876712328,0.2744281588369592,0.9200542005420054
2021,1.6058370053768158,0.4409,1.282724380493164,0.5102040816326531,0.9024309620631868,0.7071310116086236,0.3175261528712922,0.9080459770114943
2022,1.3877714455127717,0.5052,2.757444381713867,0.07653061224489796,0.7851128349575582,0.7680173213733374,0.279257548533804,0.9146341463414634
2023,1.5836980819702149,0.4576,1.6115339994430542,0.4489795918367347,0.9303988118604573,0.7242925189128607,0.3605563682569584,0.8838028169014085
2024,1.8049411475658417,0.3416,2.281740665435791,0.30612244897959184,0.9127798435419323,0.6906900775826869,,
2025,1.3598978698253632,0.5299,1.5489170551300049,0.5714285714285714,0.8438865166359432,0.7215686274509804,0.31581339734610514,0.9050218340611353
2026,1.6089796125888824,0.4358,2.029529094696045,0.3877551020408163,0.9222682291180415,0.6932392666122148,,
2027,1.723343974351883,0.4143,2.288393020629883,0.05612244897959184,1.0537445139119048,0.6583649160801299,,
2028,1.5876608908176422,0.4246,1.7144520282745361,0.42346938775510207,1.0773538085436027,0.6347496509076401,,
2029,1.6896477699279786,0.4098,3.070711135864258,0.0,1.082980850929123,0.6359600443951166,,
2030,1.6921261847019196,0.3846,1.6521464586257935,0.37244897959183676,1.017098200881633,0.6601371204701273,,
2031,1.5842533826828002,0.4504,2.013225555419922,0.1989795918367347,0.9527397406916034,0.6919310614962789,0.4398544195672156,0.846830985915493
2032,1.367628276348114,0.5252,2.2873427867889404,0.12755102040816327,0.9323705804419763,0.6972227617013013,,
2033,1.3037637233734132,0.5374,2.0377397537231445,0.23979591836734693,0.7882321457464249,0.7559452318039875,0.33909061518788014,0.8861788617886179
2034,1.282680380344391,0.5754,1.8374195098876953,0.3010204081632653,1.0522087009779486,0.6548542671419585,0.3726270798125554,0.8852459016393442
2035,1.6915474772453307,0.3682,0.8344177007675171,0.7397959183673469,0.9932616379180559,0.6801466433092225,0.4194088237296686,0.871517027863777
2036,1.4845177292823792,0.4766,2.3932852745056152,0.061224489795918366,0.9718435930215631,0.6847338662507312,0.35984781972921576,0.8757961783439491
2037,1.4756386220455169,0.4672,0.9407296180725098,0.7193877551020408,0.8891442028871304,0.7180887372013652,0.36270097915719196,0.8956639566395664
2038,1.4516114592552185,0.4866,1.998016357421875,0.336734693877551,0.8780825694107579,0.7112088930060213,0.3301931189439842,0.9008264462809917
2039,1.5247309267520905,0.4583,2.2973172664642334,0.1989795918367347,0.9427915065958603,0.6874270144024912,,
2040,1.5789367258548737,0.4402,1.5851680040359497,0.40816326530612246,0.9394820506993731,0.7061420345489443,0.34651680423961423,0.8915989159891599
2041,1.4201013565063476,0.4847,2.6738650798797607,0.061224489795918366,0.959150981809586,0.690356854528679,0.4524047268761529,0.8722222222222222
2042,1.6043028652667999,0.4448,1.6795767545700073,0.42346938775510207,0.9694447633224762,0.6794425087108014,,
2043,1.5020191550254822,0.4678,0.41024866700172424,0.8979591836734694,0.8823674572435046,0.7289494787489976,0.49578017501507776,0.8406779661016949
2044,1.4272159934043884,0.5121,3.1238954067230225,0.0,0.9386096653608609,0.7,,
2045,1.3717602491378784,0.5061,2.24888014793396,0.1683673469387755,0.9776600733642766,0.6772457312546399,0.4835043019718594,0.8611111111111112
2046,2.0112470269203184,0.32,2.6141762733459473,0.00510204081632653,0.9597787188768386,0.6924,,
2047,1.5178919076919555,0.4621,1.1568057537078857,0.5918367346938775,0.9169358923674508,0.7115561694290976,0.5774286226792769,0.8209366391184573
2048,2.1803809285163878,0.3717,2.476257085800171,0.20408163265306123,0.9923633535888812,0.6861791658874135,,
2049,1.4769492983818053,0.4562,1.9218664169311523,0.23979591836734693,0.8827204130974734,0.7115610328638498,0.46901574395072293,0.8415492957746479
2050,1.6022107422351837,0.4297,2.4546878337860107,0.17346938775510204,1.0319644516805808,0.6658333333333334,,
