round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.0788666963577271,0.6384,2.2403061389923096,0.24489795918367346,0.8487958817857841,0.7202592515157851,0.3498318398922262,0.8714788732394366
2002,1.2207160472869873,0.5626,2.2701075077056885,0.30612244897959184,0.6896338556353804,0.7637236962488564,0.2077721851836344,0.928343949044586
2003,1.179229635000229,0.5824,2.063032865524292,0.33163265306122447,0.603698236349653,0.8005381769256643,0.3109999532163905,0.9075712881022615
2004,1.2611458241939544,0.5744,2.2653348445892334,0.2653061224489796,0.8190014949947033,0.7268165395423525,0.3487239195240868,0.9083333333333333
2005,1.2331090807914733,0.6215,2.7712178230285645,0.09693877551020408,0.7348409890835729,0.7547651797995677,,
2006,1.2023096263408661,0.6311,2.7432925701141357,0.07142857142857142,0.7418589345646263,0.7638121546961326,,
2007,1.1032405972480774,0.6455,2.0522313117980957,0.23979591836734693,0.6048484009353308,0.8020367610531545,0.2664951729312749,0.903169014084507
2008,0.9724373698234559,0.6914,2.153960943222046,0.23979591836734693,0.5434667531562888,0.825,0.29779220179751004,0.9030172413793104
2009,1.0207706272602082,0.6725,2.225410223007202,0.1989795918367347,0.84114047732362,0.7193370165745856,,
2010,1.116729551553726,0.6154,2.2619190216064453,0.1989795918367347,0.5637728982119664,0.8201459854014599,0.26942118627777517,0.9289617486338798
2011,1.1746644496917724,0.6015,1.9216948747634888,0.32142857142857145,0.7226701442373281,0.7701347090856979,0.2630094208383147,0.9277456647398844
2012,1.3031493127346039,0.5461,1.7395905256271362,0.42346938775510207,0.6409919907904996,0.795676788471436,0.3733660849409366,0.8853211009174312
2013,1.357688170671463,0.5387,1.8710298538208008,0.3622448979591837,0.7916651315120546,0.748381708081019,0.252828623458838,0.9235668789808917
2014,1.1853632748126983,0.6136,2.2338829040527344,0.27040816326530615,0.7261246668222623,0.769459706959707,0.34369325770272147,0.8833333333333333
2015,1.1453781306743622,0.6305,2.2682013511657715,0.1989795918367347,0.7184711900583494,0.7646406388642414,0.3611740655369229,0.8888888888888888
