round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7963153392076492,0.7288,2.8533565998077393,0.30612244897959184,0.8487958817857841,0.7202592515157851,0.3498318398922262,0.8714788732394366
2002,0.8083141714334487,0.7233,2.72005033493042,0.3112244897959184,0.795330573626592,0.7429094236047575,0.2818510279913617,0.9140127388535032
2003,0.8183039575815201,0.7206,2.6754274368286133,0.3010204081632653,0.6209364692410194,0.7995290951900438,0.4429410886799691,0.8544739429695182
2004,0.8399963527917862,0.7157,2.658277750015259,0.29081632653061223,0.9312188020076966,0.6878763548775592,0.4182178437709808,0.8611111111111112
2005,0.8524588823318482,0.7158,2.622001886367798,0.32142857142857145,0.9175073963458751,0.6922774611908037,,
2006,0.8706108182668686,0.7117,2.777494430541992,0.2193877551020408,0.9839406352087373,0.6844909234411997,,
2007,0.9051648676395416,0.7001,2.9150187969207764,0.20918367346938777,0.7684649884463897,0.7521112767014406,0.31302176289994954,0.8890845070422535
2008,0.890190264582634,0.7037,2.8811757564544678,0.22959183673469388,0.6892186510390129,0.7764492753623189,0.3747350288362339,0.8771551724137931
2009,0.8919062286615371,0.7098,2.8365018367767334,0.23469387755102042,0.8841661181733095,0.7130755064456722,,
2010,0.9089227080345154,0.6964,2.702265739440918,0.23979591836734693,0.6119732305603306,0.8078832116788321,0.3135652956306826,0.9034608378870674
2011,0.9172919571399689,0.7009,2.572998523712158,0.2755102040816326,0.8944610994160773,0.706506162224133,0.3692915107990276,0.8916184971098265
2012,0.9202667653560639,0.7028,2.5951948165893555,0.2653061224489796,0.9809768848884247,0.6839938239835306,0.3500645527052223,0.8914373088685015
2013,0.9420714527368546,0.6865,2.5750362873077393,0.25510204081632654,0.8974038467548615,0.7097515138859887,0.3296303557362526,0.8964968152866242
2014,0.9200842201709747,0.7037,2.483647584915161,0.29081632653061223,0.795991949900821,0.7417582417582418,0.45556821293301053,0.8611111111111112
2015,0.9123795717954636,0.7029,2.4786570072174072,0.29591836734693877,0.8138672154935568,0.7293700088731144,0.4045448733700646,0.8638888888888889
2016,0.9321705520153045,0.7012,2.442580223083496,0.29081632653061223,0.8851423791403047,0.7069279069455258,0.40059100950836507,0.8875661375661376
2017,0.9335795342922211,0.6972,2.576467514038086,0.28061224489795916,0.8016994447296203,0.7253688719657306,0.27774356827614416,0.8980891719745223
2018,0.9520402550697327,0.6933,2.5299389362335205,0.28061224489795916,0.7980181498095988,0.7419898819561551,0.3740342886441133,0.8875
2019,0.9569093078374863,0.692,2.6164653301239014,0.2602040816326531,0.781884472367936,0.7460575139146568,0.26029739740902813,0.9146341463414634
2020,0.9558829724788666,0.6917,2.5130231380462646,0.2857142857142857,0.8096810618915393,0.7417554540842212,0.25516117685209444,0.9146341463414634
2021,0.964394947886467,0.6913,2.3837766647338867,0.30612244897959184,0.8779064551514772,0.7266998341625207,0.3278726175769992,0.8987068965517241
2022,0.9449465811252594,0.7001,2.3991925716400146,0.32653061224489793,0.691262002556161,0.7828642128054438,0.2858195732521817,0.9092140921409214
2023,0.9484612256288528,0.6926,2.3614211082458496,0.30612244897959184,0.6117322638142373,0.8080694872513309,0.3236456188097806,0.8838028169014085
2024,0.9434163331985473,0.689,2.351229190826416,0.3469387755102041,0.7365175599879564,0.7482645977950184,,
2025,0.9408140778541565,0.6942,2.222977876663208,0.37244897959183676,1.0149168384391407,0.6678200692041523,0.231239859584117,0.9279475982532751
2026,0.9353660464286804,0.7004,2.2782058715820312,0.3520408163265306,0.7842399583099928,0.7434266645149391,,
2027,0.928558549284935,0.7005,2.408656597137451,0.32653061224489793,0.822774694050247,0.7264031763219635,,
2028,0.9305170923471451,0.6953,2.352020740509033,0.32142857142857145,0.8679017610246018,0.710752044683822,,
2029,0.9296907484531403,0.6978,2.4900195598602295,0.29081632653061223,0.8576604080725646,0.715237038211511,,
2030,0.9191912829875946,0.71,2.3761630058288574,0.32142857142857145,1.0043911088108433,0.6573947110675809,,
2031,0.92285857796669,0.7027,2.4636054039001465,0.30612244897959184,0.9683937842571357,0.6801801801801802,0.3311751203637728,0.8873239436619719
2032,0.9188159972429275,0.703,2.568509817123413,0.29081632653061223,0.6784344825102857,0.7818993979413479,,
2033,0.9095083266496659,0.7103,2.6295275688171387,0.2755102040816326,0.6172197372143641,0.8030266634638482,0.2862468689760865,0.9010840108401084
2034,0.9225158363580703,0.7026,2.4840898513793945,0.3112244897959184,0.942708130151777,0.6877752149297547,0.3257075384774929,0.9143897996357013
2035,0.9509173303842544,0.6941,2.1827409267425537,0.3622448979591837,0.9101390181234726,0.7080816701680672,0.2892219852944461,0.9125386996904025
2036,0.9840425252914429,0.6859,2.256094455718994,0.3163265306122449,1.0399162779427988,0.6576330668746344,0.25211860913379935,0.9347133757961783
2037,0.9856883078813553,0.6863,2.2257795333862305,0.3163265306122449,0.8750457929262936,0.7044368600682593,0.2878379346878548,0.9105691056910569
2038,0.9781832367181778,0.6879,2.239802598953247,0.3163265306122449,0.6469242279109385,0.7825382121352478,0.27640373493767967,0.9228650137741047
2039,0.9643055379390717,0.6983,2.3042526245117188,0.3112244897959184,0.752619555670262,0.7462047489295446,,
2040,0.9906747877597809,0.6882,2.2853803634643555,0.30612244897959184,0.8556343101608548,0.7259117082533589,0.27138256485546186,0.9159891598915989
2041,0.9784300059080124,0.6865,2.4688363075256348,0.25510204081632654,0.7393211246260896,0.7610074196524681,0.3740384956200918,0.8861111111111111
2042,0.9585897207260132,0.6976,2.4586269855499268,0.2857142857142857,0.7628891198227101,0.7500791891035794,,
2043,0.9479513943195343,0.6979,2.3028552532196045,0.30612244897959184,0.5916659280964475,0.8003207698476343,0.37607350255136435,0.8819209039548023
2044,0.9263464063405991,0.7079,2.331507682800293,0.3112244897959184,0.5758353886123854,0.8165261382799326,,
2045,0.9282197207212448,0.7054,2.2882418632507324,0.3163265306122449,0.7999171646009043,0.7347809948032665,0.2375722030798594,0.9236111111111112
2046,0.9161614358425141,0.703,2.34452748298645,0.3112244897959184,0.7757797674775123,0.7436,,
2047,0.9042274087667466,0.7119,2.3139102458953857,0.30612244897959184,0.5562898055212933,0.815377532228361,0.2848768829888877,0.9228650137741047
2048,0.9123217761516571,0.7004,2.3695034980773926,0.3010204081632653,0.7387013226463256,0.763231718720778,,
2049,0.9028786838054657,0.7061,2.403488874435425,0.27040816326530615,0.6903449616661654,0.7664319248826291,0.3230478910493179,0.8855633802816901
2050,0.8977723121643066,0.7071,2.4670886993408203,0.29591836734693877,0.875094471424818,0.7188333333333333,,
2051,0.8956477284431458,0.7046,2.5373828411102295,0.28061224489795916,0.7004130720103182,0.7712914834066373,0.17591889533731672,0.9513888888888888
2052,0.8982381850481034,0.7092,2.4019792079925537,0.29591836734693877,0.8753175862547213,0.717524197656648,0.3393302833992941,0.8977384464110127
2053,0.8870827823877334,0.7084,2.4217092990875244,0.2857142857142857,0.3693530690400396,0.8875605815831987,0.3797169345963621,0.8929663608562691
2054,0.8879978269338608,0.7059,2.373415470123291,0.29081632653061223,0.5120644053630182,0.8314822273938814,0.302537639018203,0.9022757697456493
2055,0.8747645229101181,0.7107,2.3181629180908203,0.30612244897959184,0.36458330506857534,0.8869407496977025,,
2056,0.8933433324098587,0.705,2.3213024139404297,0.3112244897959184,0.8254623428127451,0.733783543628932,0.2743843068742448,0.9235668789808917
2057,0.8941535234451294,0.7039,2.3512864112854004,0.3163265306122449,0.8912720316139278,0.6976545112138333,0.2621423979853369,0.9251592356687898
2058,0.8875299960374832,0.7115,2.2202200889587402,0.35714285714285715,0.5498455040463885,0.8293718256808809,,
2059,0.8985914677381516,0.7077,2.0759096145629883,0.4030612244897959,0.7877141430947792,0.7421462679065092,0.3751423466049768,0.8910675381263616
2060,0.9012836188077926,0.7044,2.0875186920166016,0.3979591836734694,0.6698480806312618,0.7786005027010804,,
2061,0.9031598001718522,0.6991,2.0223240852355957,0.40816326530612246,0.5779684688851315,0.8155246765692381,,
2062,0.8904288172721863,0.7042,2.154787302017212,0.37244897959183676,0.6288650658527317,0.7943880786303107,,
2063,0.8825304687023163,0.7096,2.074739694595337,0.4030612244897959,0.7684519428747156,0.7404303510758777,0.22726189924610984,0.9270833333333334
2064,0.8815414875745773,0.7109,2.109344244003296,0.37755102040816324,0.6936921694576119,0.777597778292062,,
2065,0.8775039136409759,0.7128,2.120471477508545,0.3673469387755102,0.6217301386329748,0.7942458587619878,0.44535355174213376,0.8654434250764526
2066,0.8802332669496536,0.7107,2.1962192058563232,0.336734693877551,0.6954741568369901,0.7646170442286947,0.290590390657923,0.9044585987261147
2067,0.8839379906654358,0.705,2.259511709213257,0.34183673469387754,0.8070728193505754,0.7391740511620131,,
2068,0.8789840757846832,0.7075,2.214116096496582,0.3520408163265306,0.502577518816296,0.8376353039134055,0.267299181906281,0.9140127388535032
2069,0.8924162358045578,0.7007,2.057798385620117,0.3979591836734694,0.7527905911253985,0.7568463282748997,0.30709564958659696,0.8943661971830986
2070,0.8875983685255051,0.7046,2.080390214920044,0.4030612244897959,0.7684406931337996,0.7473506743737958,,
2071,0.8796369224786759,0.7056,2.1044211387634277,0.39285714285714285,0.4552255439204711,0.8575383840926252,,
2072,0.8864280581474304,0.7074,2.2079734802246094,0.3622448979591837,0.8222149719246082,0.7278118609406953,0.2961844570830162,0.9032761310452418
2073,0.8805775433778763,0.7099,2.261420488357544,0.3469387755102041,0.7448758082292647,0.759729619008603,,
2074,0.8772288978099823,0.7109,2.2756404876708984,0.336734693877551,0.6342108036235091,0.790084082342708,0.3248962456879065,0.8979409131602507
2075,0.8724170982837677,0.7102,2.254500150680542,0.3469387755102041,0.6287886951195658,0.7941676792223572,0.2450073589185241,0.9171974522292994
2076,0.8684431135654449,0.7096,2.3377790451049805,0.3163265306122449,0.4752969581497081,0.8514328808446455,0.28678954474902074,0.9147157190635451
2077,0.8589050889015197,0.7112,2.3733015060424805,0.30612244897959184,0.6389410085479758,0.7950119576358046,,
2078,0.8591534435749054,0.7094,2.458275556564331,0.2857142857142857,0.5264972712181635,0.8260593220338983,,
2079,0.8510821133852005,0.7141,2.4081995487213135,0.3163265306122449,0.5975193937739577,0.7982802695793633,,
2080,0.8538038551807403,0.7116,2.5083706378936768,0.3010204081632653,0.5870503280011585,0.806782499476659,0.47552867347676453,0.8287461773700305
2081,0.8598058760166168,0.7126,2.5823819637298584,0.28061224489795916,0.752483290134239,0.7495800760616944,0.25766094583125154,0.9201101928374655
2082,0.8582141131162644,0.7163,2.5754692554473877,0.25510204081632654,0.6623208046181488,0.782646801051709,0.26089560852688587,0.9235668789808917
2083,0.8488891065120697,0.7181,2.3753714561462402,0.3163265306122449,0.5269217597470668,0.836381135707411,0.26295326860725793,0.9196556671449068
2084,0.8723627895116806,0.7102,2.309213638305664,0.3469387755102041,0.7786126155044627,0.7400076132470499,0.3380432135202515,0.8820422535211268
