round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7943675339221954,0.7306,2.584195852279663,0.3112244897959184,0.8487958817857841,0.7202592515157851,0.3498318398922262,0.8714788732394366
2002,0.8162266761064529,0.7242,2.3813936710357666,0.32653061224489793,0.7339603666843265,0.7566331198536139,0.32745797410132776,0.8964968152866242
2003,0.8269830077886582,0.7239,2.3130438327789307,0.33163265306122447,0.4675407039982363,0.84493777329297,0.46377209524899693,0.8495575221238938
2004,0.850830340385437,0.7187,2.227506637573242,0.34183673469387754,0.8193750293055772,0.7378562826174228,0.42742566598786247,0.8944444444444445
2005,0.8785553365945816,0.7142,2.255570650100708,0.3163265306122449,0.8696508234599926,0.7109451758695225,,
2006,0.8961714893579483,0.7115,2.279808282852173,0.3112244897959184,0.6276287004368523,0.8038674033149171,,
2007,0.9177004575729371,0.7059,2.2428548336029053,0.3163265306122449,0.6707653152187097,0.7784401390958768,0.34534564330964024,0.8890845070422535
2008,0.9081032663583756,0.7073,2.1797823905944824,0.32653061224489793,0.5150096937744082,0.8286231884057971,0.34894353575233755,0.8825431034482759
2009,0.920226839184761,0.7077,2.1879096031188965,0.32142857142857145,0.7593775886231021,0.7510128913443831,,
2010,0.9224249303340912,0.7027,2.172542095184326,0.32142857142857145,0.5088366823571387,0.8391240875912409,0.3168494760284441,0.8961748633879781
2011,0.9215088129043579,0.7046,2.1106293201446533,0.34183673469387754,0.6500356057271741,0.7924906850100315,0.31554635704597295,0.9067919075144508
2012,0.9631826043128967,0.6968,2.0693247318267822,0.336734693877551,0.9103913337276981,0.7081832218219248,0.3707128032267276,0.8837920489296636
2013,0.969019490480423,0.6923,2.0652148723602295,0.32142857142857145,0.7148864834244044,0.7663395280851952,0.2557150121707066,0.9187898089171974
2014,0.9487825244665146,0.6992,2.02962064743042,0.336734693877551,0.40016026226906004,0.8697344322344323,0.365553402238422,0.8972222222222223
2015,0.9652966856956482,0.6919,2.0025572776794434,0.34183673469387754,0.7914361618029511,0.7448979591836735,0.32844890885882905,0.8888888888888888
2016,0.9839605540037155,0.6905,1.9623061418533325,0.35714285714285715,0.9105432725900878,0.7120101954519826,0.35047352455911185,0.8862433862433863
2017,0.9701432704925537,0.6918,1.9668089151382446,0.3520408163265306,0.6101085705667564,0.8039029033793431,0.21722107840951083,0.9315286624203821
2018,0.9771758437156677,0.6929,1.932779312133789,0.35714285714285715,0.6482880323611727,0.7965148960089938,0.3425611935386604,0.8954545454545455
2019,0.9724935501813888,0.6931,1.9421194791793823,0.35714285714285715,0.6288468710547278,0.7945269016697588,0.26818813993355767,0.9186991869918699
2020,0.969390693306923,0.6957,1.9299495220184326,0.3622448979591837,0.5407411590566313,0.8264840182648402,0.3033646765117077,0.9024390243902439
2021,0.969854810833931,0.6941,1.8941328525543213,0.3622448979591837,0.6371017024258097,0.7960199004975125,0.33869080395362844,0.8915229885057471
2022,0.947149658203125,0.7007,1.9081045389175415,0.3673469387755102,0.4736534530303259,0.8561707392514692,0.22021362871981573,0.9336043360433605
2023,0.9331587225198745,0.7024,1.912345051765442,0.3622448979591837,0.2279070184783189,0.9319137013168954,0.25445404827175006,0.9172535211267606
2024,0.9359216839075089,0.7002,1.9230971336364746,0.3673469387755102,0.6139852982387098,0.7974683544303798,,
2025,0.9257302582263947,0.7068,1.8958063125610352,0.3826530612244898,0.7341927152053983,0.7612456747404844,0.24522104996000316,0.9181222707423581
2026,0.9252235382795334,0.7072,1.898889183998108,0.37244897959183676,0.5430136546929969,0.8229052767824209,,
2027,0.9195322901010513,0.7113,1.930192470550537,0.37755102040816324,0.5447622038594783,0.8278289117487818,,
2028,0.9229555428028107,0.7062,1.9522796869277954,0.3622448979591837,0.7067524970139593,0.7622182325952523,,
2029,0.9289582580327987,0.7103,1.9740090370178223,0.35714285714285715,0.6916818568875858,0.7699381639448232,,
2030,0.924725404381752,0.7093,1.9685219526290894,0.3622448979591837,0.6735915624354597,0.7788442703232126,,
2031,0.9776699841022491,0.6951,1.9173578023910522,0.37755102040816324,0.8696403267876895,0.7197414806110458,0.32557562350387304,0.8908450704225352
2032,0.9780652344226837,0.6971,1.9301438331604004,0.37244897959183676,0.4396780240491458,0.8523985239852399,,
2033,0.9617808640003205,0.7053,1.9378769397735596,0.37755102040816324,0.4961676108296276,0.8433821763151573,0.18563962822684105,0.9417344173441734
2034,0.9599523365497589,0.7046,1.9192713499069214,0.37755102040816324,0.6760650583593463,0.7800377437617949,0.2804636542968628,0.9180327868852459
2035,0.9978575706481934,0.6948,1.8328357934951782,0.3877551020408163,0.7814623629752577,0.7509000039889374,0.29420841764370353,0.9055727554179567
2036,1.007601511478424,0.6976,1.8298404216766357,0.3877551020408163,0.7818795142581457,0.7391304347826086,0.20929852109046498,0.9378980891719745
2037,0.9870991080999374,0.6953,1.8105978965759277,0.39285714285714285,0.334436868563447,0.9055745164960182,0.26246092983377656,0.9200542005420054
2038,0.9683704614639282,0.7026,1.8002386093139648,0.4030612244897959,0.3643401158173819,0.8837424733672997,0.2877050544604782,0.9008264462809917
2039,0.9496273338794708,0.7092,1.8241055011749268,0.3979591836734694,0.37897825796474693,0.8775788244453094,,
2040,0.9565360635519028,0.7077,1.8416911363601685,0.3826530612244898,0.5591819486394882,0.8186180422264875,0.24639169423560786,0.9308943089430894
2041,0.9533358752727509,0.7047,1.888392686843872,0.35714285714285715,0.72909490042331,0.7646600607411963,0.33216987583372326,0.8944444444444445
2042,0.9655098110437393,0.7053,1.8712044954299927,0.3622448979591837,0.7379262555451956,0.7553056699398163,,
2043,0.9537943035364151,0.7069,1.8418513536453247,0.3826530612244898,0.4378482911350398,0.8631381983426891,0.3922101901749433,0.8745762711864407
2044,0.9380108147859574,0.7119,1.8570939302444458,0.37755102040816324,0.41164391628524655,0.8701517706576728,,
2045,0.9361733466386795,0.708,1.8681018352508545,0.37755102040816324,0.6365572808348158,0.7932442464736451,0.20373514791329703,0.9375
2046,0.9402259141206741,0.7029,1.8835374116897583,0.37244897959183676,0.6517386143807322,0.787,,
2047,0.9302348822355271,0.7098,1.8794289827346802,0.37244897959183676,0.4573491828800839,0.8584254143646409,0.25184599591352397,0.9201101928374655
2048,0.9327413856983184,0.7055,1.8974019289016724,0.37244897959183676,0.5434212341070508,0.8189639049934543,,
2049,0.9191047996282578,0.7076,1.9119901657104492,0.37244897959183676,0.5183979776166511,0.8242370892018779,0.2844462126073703,0.9084507042253521
2050,0.9480170726776123,0.7046,1.8827300071716309,0.37755102040816324,0.8918584439568221,0.7093333333333334,,
2051,0.9395366251468659,0.7044,1.916648268699646,0.37755102040816324,0.5376927962050777,0.8280687724910036,0.1881838912765185,0.9409722222222222
2052,0.9405858814716339,0.7064,1.8911961317062378,0.37244897959183676,0.6639801486689985,0.7870606214977076,0.34075734442724476,0.887905604719764
2053,0.9243140876293182,0.7095,1.879805088043213,0.37755102040816324,0.13076377340095188,0.9644588045234249,0.4258131995478172,0.8654434250764526
2054,0.912834444642067,0.7102,1.8109583854675293,0.3979591836734694,0.280599289350837,0.9161439063929666,0.305519169273785,0.9056224899598394
2055,0.8950790345668793,0.7119,1.8375649452209473,0.4030612244897959,0.2548729221860952,0.919185812172511,,
2056,0.8912435352802277,0.714,1.8450114727020264,0.3979591836734694,0.4000947765804237,0.8734672116580772,0.2145287553026418,0.945859872611465
2057,0.8916156858205795,0.7135,1.8360975980758667,0.40816326530612246,0.7271400834727911,0.7599726074302345,0.17383407454961425,0.947452229299363
2058,0.8803993433713913,0.717,1.827289342880249,0.41836734693877553,0.15638802486531864,0.9534562796127758,,
2059,0.8729475378990174,0.718,1.7613749504089355,0.44387755102040816,0.39096132346100543,0.875848203066097,0.2989567124332824,0.9179375453885258
2060,0.8645797997713089,0.7164,1.7873342037200928,0.44387755102040816,0.34385952201110365,0.8910107011554622,,
2061,0.8580118894577027,0.7182,1.814560055732727,0.4336734693877551,0.32874329654998796,0.9005749880210829,,
2062,0.8551758259534836,0.7176,1.868546962738037,0.41836734693877553,0.5628776626121642,0.8176918199112239,,
2063,0.8416899174451828,0.7239,1.8683500289916992,0.41836734693877553,0.4440032495233723,0.8573046432616082,0.1109652395049731,0.9722222222222222
2064,0.8415174603462219,0.7212,1.8918710947036743,0.41836734693877553,0.28548248355970685,0.9136773894931729,,
2065,0.8364488691091537,0.7258,1.9032318592071533,0.40816326530612246,0.4056924310947343,0.8761987794245859,0.26860621252555733,0.9250764525993884
