round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7887380748987198,0.7314,2.7123279571533203,0.3112244897959184,0.8487958817857841,0.7202592515157851,0.3498318398922262,0.8714788732394366
2002,0.808085361123085,0.727,2.492727518081665,0.3520408163265306,0.7808924019745699,0.7392497712717292,0.30807641718038326,0.910828025477707
2003,0.8080011069774627,0.7237,2.168872356414795,0.37755102040816324,0.7129919431524729,0.7709384460141272,0.35509835363840986,0.8898721730580138
2004,0.7972543865442276,0.7301,2.3856594562530518,0.3469387755102041,0.8467412275495475,0.7153753512645524,0.4388619429535336,0.8638888888888889
2005,0.8073486179113388,0.7265,2.7140443325042725,0.3112244897959184,0.8369384350254766,0.7243073295342897,,
2006,0.8179409027099609,0.723,2.8870022296905518,0.25,0.9368319868359306,0.6992896606156275,,
2007,0.8135175615549087,0.7222,2.7362422943115234,0.28061224489795916,0.7493426012670111,0.7543467461500248,0.29566522530266937,0.8996478873239436
2008,0.8091810256242752,0.7236,2.393946647644043,0.34183673469387754,0.7256380010342253,0.7536231884057971,0.33592938233552305,0.8900862068965517
2009,0.7996142923831939,0.7277,2.6144845485687256,0.3163265306122449,0.8571013071507381,0.7202578268876612,,
2010,0.8263329029083252,0.7175,2.870654582977295,0.27040816326530615,0.6918588082459721,0.7886131386861314,0.35964718368752624,0.8907103825136612
2011,0.8160183042287826,0.7246,2.4302544593811035,0.3112244897959184,0.8053731296150621,0.7417598165663514,0.2931749695815103,0.9147398843930635
2012,0.8628845185041427,0.7124,2.8747546672821045,0.25510204081632654,1.011923482460394,0.6737004632012352,0.35578948159101176,0.9021406727828746
2013,0.8428596973419189,0.7144,2.580512285232544,0.2857142857142857,0.8988046130722812,0.7122572562121529,0.22157436476391593,0.9442675159235668
2014,0.8385516226291656,0.7179,3.017430305480957,0.25,0.8515023798869424,0.7197802197802198,0.34449230233828226,0.8888888888888888
2015,0.836736086010933,0.7171,3.0799548625946045,0.23979591836734693,0.8326804104931289,0.7222715173025732,0.37401606109407215,0.8833333333333333
