round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.366495394706726,0.5354,0.3689356029033661,0.9837777777777778,0.8487958817857841,0.7202592515157851,0.2820129692554474,0.9014084507042254
2002,1.650912982225418,0.4118,1.4539911687374114,0.838,0.8657590276259189,0.717291857273559,0.22779700008167583,0.9315286624203821
2003,1.4301296412944793,0.4763,0.16875487491488456,0.997,0.5337915134838924,0.8321560713084426,0.25302211710250955,0.9203539823008849
2004,1.4724625647068024,0.5061,0.3887965276837349,0.9902222222222222,0.865120919066134,0.7141710156563629,0.17319716182019976,0.95
2005,1.5577510058879853,0.4664,0.26325326040387154,0.9922222222222222,0.7345312775048087,0.7518176459029279,,
2006,1.5128632962703705,0.4846,0.5918346673250199,0.9246666666666666,0.745273351145948,0.7636148382004736,,
2007,1.634434700012207,0.4359,0.09027106240391732,0.9998888888888889,0.783765980025399,0.756582215598609,0.1898386046080522,0.9419014084507042
2008,1.0920400232076646,0.6283,0.021306263748556376,0.9997777777777778,0.5593395845613618,0.8242753623188406,0.1993177441944336,0.9450431034482759
2009,1.5324465930461884,0.4656,0.3054301023483276,0.9937777777777778,0.8362757268531547,0.7381215469613259,,
2010,1.0747959852218627,0.6378,0.010644112201407551,0.9998888888888889,0.6065222398469048,0.825985401459854,0.20650876337876084,0.9544626593806922
2011,1.413942676782608,0.5143,0.0038519433001056314,0.9997777777777778,0.748558067411022,0.7618228718830611,0.23838158149939742,0.9378612716763006
2012,1.3766471326351166,0.5373,0.1717948503792286,0.9927777777777778,0.8622754937861301,0.7179619145651055,0.30439580981519976,0.9113149847094801
2013,1.4537937223911286,0.4982,0.22744449004530906,0.9974444444444445,0.7965529092476099,0.7579870536646481,0.29979563594623737,0.9156050955414012
2014,1.4169729471206665,0.5116,0.005920175090432167,0.9992222222222222,0.7909767167854221,0.7564102564102564,0.21009210546811422,0.9472222222222222
2015,1.4272003829479218,0.511,0.2203180745244026,0.999,0.8754162375336743,0.7282608695652174,0.17352607713805304,0.9555555555555556
2016,1.245943021774292,0.5634,0.009034534450620413,0.9998888888888889,0.8578595172258903,0.7193587738609821,0.2584782605448728,0.9312169312169312
2017,1.2137463629245757,0.6001,0.052669073455035686,0.9994444444444445,0.7311746529713521,0.7710613993336506,0.20421708484364162,0.9331210191082803
2018,1.4073176860809327,0.5171,0.0075922294985502955,1.0,0.8088560410769485,0.7487352445193929,0.22458663032051515,0.9318181818181818
2019,1.2575333714485168,0.5547,0.026911812461912633,0.9998888888888889,0.8343773498329471,0.7402597402597403,0.1988049451978549,0.9349593495934959
2020,1.4341668426990508,0.4918,0.0032404953613877296,1.0,0.7714562829166182,0.763064434297311,0.15608237017460955,0.9566395663956639
2021,1.4514043390750886,0.4965,0.005470970855094492,1.0,0.8653082270576784,0.7316749585406301,0.29000473463501053,0.9037356321839081
2022,1.4880260407924653,0.484,0.2060391277074814,0.9865555555555555,0.8287190268218905,0.7392514692236313,0.20446920576618938,0.9376693766937669
2023,1.276936262845993,0.5483,0.01696604792959988,0.9998888888888889,0.7871629837916057,0.7629588119921547,0.24222640924050776,0.9225352112676056
2024,1.692279976606369,0.396,0.020758513640612365,0.9997777777777778,0.9734823065735749,0.6651694569211923,,
2025,1.378741407394409,0.5163,0.03225437002256513,0.9998888888888889,0.9673896176317296,0.6835063437139561,0.23490483818095845,0.9323144104803494
2026,1.4502844870090486,0.5077,0.021818156260997056,0.9998888888888889,0.8986883204904027,0.6919478184117617,,
2027,1.6430589079856872,0.4345,0.21834855899214745,0.9931111111111111,0.9762491644063467,0.6879624616495218,,
2028,1.3604847192764282,0.5165,0.013919189292937516,1.0,1.0278474033984648,0.6515060841811291,,
2029,1.6682898283004761,0.4427,1.1637859225273133,0.5134444444444445,1.0049189643756284,0.6624385603297923,,
2030,1.6730344533920287,0.3825,0.05932656042277813,0.9997777777777778,1.0048658039847738,0.668560235063663,,
2031,1.710328423976898,0.4124,0.1584248036146164,0.9984444444444445,1.0327268565548573,0.6572659616137877,0.27853570647642645,0.9119718309859155
2032,1.4077215313911438,0.5094,0.10090430900454521,0.9991111111111111,0.9492168600963468,0.6921732375218489,,
2033,1.3147734522819519,0.5401,0.032662630546838045,1.0,0.7940570571775938,0.749219312995436,0.19943049836772567,0.9376693766937669
2034,1.3603674471378326,0.5479,0.03233476979658008,0.9996666666666667,1.0232474500589537,0.6655483329838541,0.30918748783989247,0.9034608378870674
2035,1.577835786342621,0.423,0.00239576383610256,1.0,1.019679895299519,0.6699108638708648,0.3091288332714939,0.9094427244582043
2036,1.550358134508133,0.4537,1.7375993967056274,0.134,1.0737106276781012,0.6412556053811659,0.292431611354184,0.9028662420382165
2037,1.4824898779392242,0.4683,0.025290565844625235,1.0,0.9000879478875009,0.7051194539249147,0.21802098055680594,0.9281842818428184
2038,1.3924328863620759,0.5226,0.09022281430661679,0.999,0.8039754705193861,0.7369152385363594,0.2693799449228387,0.9118457300275482
2039,1.4586563885211945,0.493,0.07144854851067066,1.0,0.9762487668571606,0.6771117166212534,,
2040,1.5050272941589355,0.4809,0.11373361386358738,0.9994444444444445,1.0114306088715734,0.6857965451055662,0.18879846917581428,0.9512195121951219
2041,1.3865034580230713,0.5054,0.09143614843487739,0.9995555555555555,0.9697370514619649,0.687137667230509,0.298046432601081,0.9111111111111111
2042,1.6742065846920013,0.4063,0.03570263348519802,1.0,1.0061741668116189,0.6672473867595818,,
2043,1.4314586997032166,0.489,0.0014882196963299065,1.0,0.8559582908980128,0.7225340817963112,0.3723455291009892,0.8909604519774011
2044,1.485159581899643,0.4765,0.6221286088228226,0.9854444444444445,0.9320545715133818,0.6976391231028668,,
2045,1.4466099679470061,0.4832,0.16903880685567857,0.9992222222222222,0.9615239097274226,0.6746473645137342,0.3117836051517063,0.9340277777777778
2046,1.7805225074291229,0.3896,0.3435826912522316,0.9805555555555555,0.9834046425938606,0.6762,,
2047,1.644180577993393,0.3973,0.026814264617860316,0.9998888888888889,0.8739774921706588,0.7232965009208103,0.3553585343617053,0.9008264462809917
2048,2.1845607280731203,0.3198,0.5188939943909645,0.9605555555555556,1.0294249396647877,0.6710304843837666,,
2049,1.4245536386966706,0.4845,0.04729243740439415,1.0,0.8853381405204115,0.7106807511737089,0.26803049571077586,0.9154929577464789
2050,1.4151853263378142,0.5316,0.09050544127821922,0.9993333333333333,1.1063882517913977,0.6371666666666667,,
2051,1.923776388168335,0.3846,0.2987357661128044,0.9928888888888889,1.009901784601711,0.6707317073170732,0.28170614110098946,0.90625
2052,1.4888957858085632,0.4619,0.0068516956176608804,1.0,1.078202674295364,0.651553744268976,0.4293410673136791,0.8544739429695182
2053,1.3019457519054414,0.5741,0.2600282356142998,0.9983333333333333,0.7752557532275051,0.7686591276252019,0.4891490152487332,0.8394495412844036
2054,1.2596682250499724,0.547,0.017292967438697814,1.0,0.8876694711347219,0.715603492859132,0.33057381693458304,0.892904953145917
2055,1.4576687395572663,0.4914,0.11176077872514725,0.9985555555555555,0.8567452886348672,0.7277307537283354,,
2056,1.5399453699588777,0.4645,0.15246573239564895,0.9988888888888889,1.0103757179967672,0.6616314199395771,0.3250001282638805,0.8964968152866242
2057,1.7025571405887603,0.3875,0.006695806514471769,1.0,1.1068523195462978,0.6302003081664098,0.36924584124498305,0.8742038216560509
2058,1.3491680324077606,0.5282,0.023593322839587927,1.0,0.79184084090348,0.743677459351672,,
2059,1.2902222096920013,0.5579,0.057162797823548314,0.9998888888888889,0.9334969697330548,0.7014325207338528,0.37928299793057796,0.8779956427015251
2060,1.2991272270679475,0.552,0.08638479821383953,0.9993333333333333,0.8198100420291953,0.7273532459858943,,
2061,1.5372337758541108,0.4612,0.011773340823128819,1.0,0.894460194694636,0.7187350263536176,,
2062,1.4790673911571504,0.4997,1.4211973667144775,0.4231111111111111,1.0369310691981053,0.6636017755231453,,
2063,1.5125071942806243,0.4659,0.2326136775314808,0.9998888888888889,1.031328830713594,0.6489241223103058,0.31903014580408734,0.8993055555555556
2064,1.274867343902588,0.5683,0.15638395473361016,0.9996666666666667,0.8952683705859812,0.7116408238833604,,
2065,1.3522975265979766,0.5144,0.05993668399751186,1.0,1.0362292977655672,0.6680470793374019,0.5184066583621757,0.8211009174311926
2066,1.544527143239975,0.4618,0.0184886010363698,0.9998888888888889,1.006367358716432,0.6880258899676376,0.3771997173880316,0.8773885350318471
2067,1.3600344121456147,0.5078,0.3146369084715843,0.999,1.0537996386987392,0.6529008527002174,,
2068,1.448408168554306,0.484,0.012617836520075799,1.0,0.7644894950064957,0.7521509852900361,0.3660791975677393,0.8805732484076433
2069,1.6406705498695373,0.4016,0.09322230815887451,0.9996666666666667,0.992636007319024,0.6705040990755277,0.35282166407141885,0.875
2070,1.5330675840377808,0.4933,0.23195269331336021,0.9996666666666667,0.9746189894141031,0.6783784922928708,,
2071,1.4542317867279053,0.5024,0.03386750388890505,0.9998888888888889,0.8460027126920274,0.7397432670526051,,
2072,1.3925082385540009,0.5082,0.060811052843928334,0.9995555555555555,1.0439164691358989,0.652760736196319,0.4063296822043551,0.8611544461778471
2073,1.4245093941688538,0.4886,0.12810446955263616,0.9996666666666667,0.9157461121965266,0.6945923801720606,,
2074,1.2740630984306336,0.5416,0.08227704763412476,1.0,0.8352988277718308,0.7260075384169324,0.3343702580316214,0.8979409131602507
2075,1.342011147737503,0.5436,0.09741533733904362,1.0,0.9224157208877809,0.6986634264884569,0.33219784915826883,0.893312101910828
2076,1.366290658712387,0.5263,0.04933582339435816,0.9998888888888889,0.9244146455077444,0.700603318250377,0.3086951230481317,0.8954849498327759
2077,1.5182222127914429,0.4875,0.5452340364456176,0.9856666666666667,1.088105913291093,0.6325589340621797,,
2078,1.4950577855110168,0.4853,0.6251430720090866,0.9703333333333334,0.9916462953186641,0.6790254237288136,,
2079,1.5098592400550843,0.5107,0.1256545338779688,0.9996666666666667,0.8840022101503124,0.7078782244945387,,
2080,2.1902791380882265,0.356,0.22296825274825097,0.9976666666666667,0.9216678379992947,0.7044169981159724,0.558151825487796,0.7996941896024465
2081,1.7821853637695313,0.4234,0.09302177727222442,0.9996666666666667,1.1673480628434936,0.6217475702514261,0.44815087113170254,0.8512396694214877
2082,1.3627821981906891,0.5143,0.00726169238332659,1.0,0.982246113439906,0.6759421560035057,0.3298759705321804,0.8821656050955414
2083,1.3397670149803163,0.5352,0.017106824601069093,1.0,0.8324905401971198,0.7321142123837022,0.35673923788316964,0.8902439024390244
2084,1.6514438092708588,0.3988,0.019589407462626697,0.9997777777777778,1.0493692063109976,0.648458317472402,0.3502713059875327,0.8785211267605634
2085,1.4749220728874206,0.4786,0.25291482359170914,0.998,0.7989793538146123,0.7459156303340648,,
2086,1.6528993129730225,0.4431,0.060605086758732794,1.0,0.8761939524610028,0.7243694060211554,,
2087,1.538308674097061,0.446,0.000934000636334531,1.0,0.7795126958549043,0.7698833510074231,0.31560075497554235,0.8973966309341501
2088,1.5819561541080476,0.4759,2.001536840200424,0.005,1.1053653940896095,0.6212807881773399,,
2089,1.502345037460327,0.4874,0.5107749730348587,0.9958888888888889,0.9420030070378682,0.6849164467897977,,
2090,1.2535908102989197,0.567,0.19916649907827377,1.0,0.9991016525860459,0.6710691665828893,0.3930411274862472,0.882183908045977
2091,1.2203315258026124,0.5551,0.06366944294422865,1.0,0.8071434680836903,0.7572944297082228,0.37780011195430585,0.8753776435045317
2092,1.4263203203678132,0.5167,0.04189627468585968,0.9996666666666667,0.8055125816256961,0.7513812154696132,0.26471490410931386,0.924119241192412
2093,1.602236819267273,0.4618,0.30316084027290346,0.9863333333333333,0.8126543868568776,0.734727124626663,0.2648610803816054,0.9375
2094,1.665082621574402,0.3785,0.06410982441157102,1.0,0.9972683595689503,0.6710526315789473,,
2095,1.6503412127494812,0.4555,0.8579873770475388,0.9678888888888889,0.9555658056714867,0.6814341644343704,0.423721365420045,0.8748317631224765
2096,1.9558686375617982,0.3909,0.029903081804513933,0.9996666666666667,0.9912592510729531,0.6779893972118595,0.396965507438274,0.8706739526411658
2097,1.753643262386322,0.4195,0.004949019430205226,0.9998888888888889,1.0599791793586413,0.6469576435175232,0.4085144324751151,0.8727524204702628
2098,1.3192047119140624,0.5252,0.026048554945737122,0.9997777777777778,1.0362366465984312,0.6609131882106523,0.35434061221278224,0.8805579773321709
2099,1.3217492282390595,0.5407,0.023850268591195344,1.0,0.7698838277276387,0.7649834409532685,0.3868471711553122,0.8802153432032301
2100,1.1694694399833678,0.5985,0.005556179932318628,1.0,0.9224487996205883,0.6844082654978084,0.32839190374055416,0.8962457337883959
2101,1.6541283845901489,0.4178,0.09723384641110897,0.9998888888888889,0.8337591090387675,0.7291771832407875,0.3467047663171435,0.8998178506375227
2102,1.5626275360584259,0.4375,0.0072892439551651474,0.9998888888888889,1.0115042547248252,0.6723809933189231,,
2103,1.781439208984375,0.3777,0.23190906196832656,0.9955555555555555,0.9990600095413119,0.6673614729894042,,
2104,1.3949417889118194,0.5037,0.2136334277689457,0.9958888888888889,0.8717403560271592,0.7209029465370596,,
2105,1.304449838399887,0.5396,0.026581733766943217,1.0,0.8865233960534578,0.7169385194479297,0.34481432007692403,0.8925619834710744
2106,1.2648162722587586,0.5517,0.07767339125275612,1.0,0.9416698759996242,0.6924066924066924,,
2107,1.4735302567481994,0.4865,0.032742145378142594,0.9998888888888889,0.9345803677087314,0.6996328029375765,0.3175358408027225,0.90625
2108,1.3139979600906373,0.5144,0.0032304446795023978,1.0,0.9202584584258818,0.7054977711738485,0.4150212789224886,0.8636633076467102
2109,1.5880572497844696,0.4491,0.4916467383503914,0.9694444444444444,1.010965107370813,0.6720406360424028,0.43585739827704156,0.8574712643678161
2110,1.358981716632843,0.5317,0.056727968342602256,0.9998888888888889,0.8047606442376147,0.7299270072992701,0.4009170884817419,0.8714788732394366
2111,1.3459136545658112,0.522,0.018529847171157597,1.0,1.074620777880386,0.643213296398892,,
2112,1.2325872421264648,0.5823,0.02759850900620222,1.0,0.8050213251399295,0.7440305635148042,,
2113,1.2401742339134216,0.5561,0.10910735800862312,1.0,0.8173541704088565,0.7233024229733772,0.2593357464485375,0.907859078590786
2114,1.460201895236969,0.5047,0.0066021020291373135,1.0,0.8669811760166992,0.7144558228149559,,
2115,1.3972608029842377,0.5032,0.2321472316980362,0.9983333333333333,0.8810429979327299,0.7157988466757124,0.5860139507037054,0.790519877675841
2116,1.481387597322464,0.4724,0.1957202896475792,0.9992222222222222,1.0725516519970275,0.623546511627907,0.27136526775715475,0.9092140921409214
2117,1.6838253021240235,0.44,0.1735466353595257,0.9971111111111111,0.9164513066404653,0.7110209312259718,0.37304349607891507,0.8972222222222223
2118,1.4718211114406585,0.4924,0.061955601908266544,0.9997777777777778,0.8896529953249558,0.7074404045268481,0.49837878864205887,0.8312551953449709
2119,1.5833787620067596,0.4415,0.053396912105381486,0.9998888888888889,0.8620038651539413,0.7292091547699977,,
2120,1.4661333024501801,0.4746,0.01293674590997398,1.0,0.9640097672376525,0.6850803780796053,0.34381122986475626,0.8777777777777778
2121,1.5372250914573669,0.4764,0.19007298052310945,0.9955555555555555,1.021874201977207,0.6632633838867095,,
2122,1.3389758467674255,0.5254,0.007201518537476659,1.0,0.9454182299207503,0.6799112097669257,0.34882444537375584,0.8953168044077136
2123,1.4611362993717194,0.5117,0.1657114639878273,0.9998888888888889,0.851332866365793,0.7209756790207181,,
2124,1.318868374824524,0.5545,0.09060840271413326,1.0,0.821650235317979,0.7276882367091653,,
2125,1.3917717158794403,0.4975,0.034109785594046114,0.9998888888888889,0.9591810295914865,0.685681331457974,,
2126,1.4932407677173614,0.4846,0.12070694528520107,0.9995555555555555,0.8430444779381475,0.7223241590214067,,
2127,1.3349223852157592,0.5359,0.017026355117559434,1.0,0.9710285177090633,0.686232733212599,0.412176083183028,0.8743169398907104
2128,1.7285593152046204,0.4504,0.06399224288761615,1.0,1.0428087682141625,0.6515809051456912,,
2129,1.521141266822815,0.4428,0.10380721613764762,0.9984444444444445,1.0005003672260822,0.6673458047786627,0.38043149214395333,0.8785211267605634
2130,1.436980664730072,0.5211,0.018144364934414625,1.0,0.7766134108158635,0.7459504635187408,0.34663172171149453,0.8838028169014085
2131,1.4956873774528503,0.459,0.31359452456235887,0.9997777777777778,1.044220647255809,0.6531541758614836,,
2132,1.7146340489387513,0.4324,0.16055848374962806,0.9971111111111111,0.9009603864743627,0.7096973440395306,,
2133,1.3999177277088166,0.4938,0.002718175819609314,1.0,0.9584426124932671,0.6870004372762772,0.39810010515529537,0.8775510204081632
2134,1.4299713909626006,0.5242,1.3743549644947053,0.8052222222222222,0.7650017165997243,0.761168384879725,0.40062394659355205,0.873015873015873
