round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.0807335913181304,0.6413,0.36175208538770676,0.9726666666666667,0.8487958817857841,0.7202592515157851,0.2911928140781295,0.903169014084507
2002,1.1615202665328979,0.5986,0.3262869089841843,0.9931111111111111,0.6763721076193907,0.7774473924977127,0.229542483000239,0.9378980891719745
2003,1.0903862297534943,0.6409,0.09654191248118878,0.9971111111111111,0.615946658123554,0.8015472586612848,0.3268935634015584,0.8977384464110127
2004,1.1878231585025787,0.6064,0.12017697989940643,0.9993333333333333,0.8065921447629768,0.7354476114010438,0.12252850929896036,0.9722222222222222
2005,1.1799939453601838,0.6416,0.19636639580130577,0.9981111111111111,0.7619052403016277,0.7478876007074081,,
2006,1.2210967063903808,0.6208,0.5948948979377746,0.989,0.6930433175928638,0.7697316495659037,,
2007,1.169566810131073,0.601,0.06020313873887062,0.9997777777777778,0.6282623387129225,0.8025335320417287,0.16215570480890676,0.9559859154929577
2008,1.006024467945099,0.6733,0.03131283354014158,0.9997777777777778,0.5356231002541988,0.825,0.18015512991054305,0.9375
2009,1.0830868244171143,0.6421,0.06868318505585194,0.9998888888888889,0.7860969971666459,0.7456721915285451,,
2010,1.114058393239975,0.6316,0.026516459602862596,1.0,0.6108638087937431,0.8160583941605839,0.16267803466738032,0.9544626593806922
2011,1.21881422996521,0.5884,0.002236694376915693,1.0,0.7258640120623275,0.763542562338779,0.18717572334184812,0.9393063583815029
2012,1.4432343661785125,0.5085,0.021425622142851354,1.0,0.7440297442938456,0.7509006690684509,0.3725606442773743,0.8944954128440367
2013,1.4547483384609223,0.4984,0.016788018913939596,1.0,0.7135003217888615,0.774900814366256,0.18470084842792742,0.945859872611465
2014,1.0823499590158463,0.6482,0.007769456109963357,1.0,0.6183021467643015,0.8058608058608059,0.19241839349269868,0.9527777777777777
2015,1.0481591492891311,0.6715,0.016251549310982227,1.0,0.6937355922457383,0.7724046140195209,0.18264959984355503,0.9388888888888889
2016,1.1442941308021546,0.6375,0.028582757990807294,1.0,0.808730015946058,0.7347711728461352,0.18413764900631374,0.9497354497354498
2017,1.1398237824440003,0.6278,0.029859479051083326,0.9998888888888889,0.6341441095811534,0.7953355544978582,0.175332111632748,0.9442675159235668
