round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7965877324342727,0.7308,0.1428232155740261,0.9696666666666667,0.8487958817857841,0.7202592515157851,0.29169489632190115,0.903169014084507
2002,0.8084323585033417,0.7237,0.1265447534620762,0.9751111111111112,0.795330573626592,0.7429094236047575,0.21474036574363708,0.9347133757961783
2003,0.8197749227285385,0.7198,0.06603703796863555,0.9947777777777778,0.6209364692410194,0.7995290951900438,0.35941661164648064,0.8888888888888888
2004,0.8377581119537354,0.7169,0.02532973913475871,0.9991111111111111,0.9312188020076966,0.6878763548775592,0.1549028171433343,0.9527777777777777
2005,0.8495596915483474,0.7144,0.02891343105584383,0.9993333333333333,0.9175073963458751,0.6922774611908037,,
2006,0.870091301202774,0.7057,0.05132652539759874,0.9987777777777778,0.9839406352087373,0.6844909234411997,,
2007,0.902793088555336,0.6994,0.031195088196545838,0.9994444444444445,0.7684649884463897,0.7521112767014406,0.2295266179971292,0.9401408450704225
2008,0.8890924394130707,0.7023,0.01645197789184749,0.9995555555555555,0.6892186510390129,0.7764492753623189,0.21525241742874013,0.9428879310344828
2009,0.8948576509952545,0.7062,0.02144222194328904,0.9994444444444445,0.8841661181733095,0.7130755064456722,,
2010,0.9099846720695496,0.6996,0.03168076211586594,0.9993333333333333,0.6119732305603306,0.8078832116788321,0.20367642764836713,0.9471766848816029
2011,0.9182288408279419,0.7004,0.011983977165073156,0.9998888888888889,0.8944610994160773,0.706506162224133,0.295853950643126,0.911849710982659
2012,0.9214578658342362,0.697,0.007809251430444419,1.0,0.9809768848884247,0.6839938239835306,0.4244929993189074,0.8486238532110092
2013,0.9406581342220306,0.6875,0.00636170192155987,1.0,0.8974038467548615,0.7097515138859887,0.2922095183733922,0.9076433121019108
2014,0.9196010738611221,0.7005,0.005421183910220862,1.0,0.795991949900821,0.7417582417582418,0.17931754257943894,0.9527777777777777
2015,0.9081676006317139,0.7059,0.0024832905852235853,1.0,0.7947370540069709,0.7371339840283939,0.18522692852550082,0.95
2016,0.9238208144903183,0.7038,0.0009190816519549117,1.0,0.91366599504652,0.6979001664563589,0.2808257130087999,0.9166666666666666
2017,0.9254738301038742,0.7043,0.0009709670644951985,1.0,0.9362410043660145,0.6913374583531652,0.27149392683414897,0.9076433121019108
2018,0.9509834975004197,0.6936,0.0019211258739233017,1.0,0.8013020505256503,0.7433951658234963,0.2316086027093909,0.9340909090909091
2019,0.9541860014200211,0.6918,0.000885241074138321,1.0,0.7790225375727068,0.7518552875695733,0.13680003232103052,0.9634146341463414
2020,0.9686490774154664,0.6863,0.001146510342368856,1.0,0.8376106406637159,0.7257737189244039,0.1496959674326062,0.9579945799457995
2021,0.9631237059831619,0.6922,0.0005690498423064127,1.0,0.7683513802972006,0.7499170812603648,0.2684487705600673,0.9166666666666666
2022,0.948473659157753,0.6966,0.0003999854729045182,1.0,0.6626386128082535,0.7865759356634705,0.169329629115619,0.9376693766937669
2023,0.9441914141178132,0.6938,0.0005200834479182958,1.0,0.4778307875470642,0.8604651162790697,0.23870427381824438,0.9154929577464789
2024,0.93713658452034,0.6936,0.00036670564877567814,1.0,0.72643252030447,0.7507145773785219,,
2025,0.9290903627872467,0.697,0.00034203680406790226,1.0,0.9470634113133573,0.691118800461361,0.23746935587262483,0.9355895196506551
2026,0.9198303848505021,0.6976,0.00029206969556980764,1.0,0.7402154142548901,0.7502465978552985,,
2027,0.9142513513565064,0.6978,0.0003500496328342706,1.0,0.8248045534524778,0.7285688503880166,,
2028,0.9038404554128647,0.708,0.0003214272786863148,1.0,0.7801233420953669,0.734490325154598,,
2029,0.9204043090343476,0.6937,0.0004847245683777146,1.0,0.8502189722098203,0.7236403995560489,,
2030,0.9130003243684769,0.7047,0.00044524670229293404,1.0,0.8915627119706964,0.702252693437806,,
2031,0.9719506651163101,0.6805,0.000781524195917882,1.0,0.9373278359758868,0.6858597728162945,0.25756932522209597,0.9137323943661971
2032,0.9724941819906234,0.6857,0.0009457127627683804,1.0,0.8911039321763836,0.7104292095552535,,
2033,0.9643195509910584,0.6952,0.0007292798807611689,1.0,0.7256464384766459,0.7588277684362239,0.1450304510147591,0.9525745257452575
2034,0.9709878176450729,0.693,0.001014129677787423,1.0,0.8875625490592346,0.7185992870622772,0.23297971014768049,0.9326047358834244
2035,0.9819177657365799,0.6902,0.0006517247529700398,1.0,0.8172393697829605,0.729118328502287,0.2071953977547563,0.9380804953560371
2036,0.9991751343011857,0.6853,0.0008789414074271918,1.0,1.0244983104289125,0.6556833690777929,0.24943274098217108,0.9124203821656051
2037,0.9977552741765976,0.6842,0.0006623320572543889,1.0,0.8093880411572288,0.7383390216154722,0.15891978346558444,0.9525745257452575
2038,0.9748177111148835,0.6932,0.00039383528637699784,1.0,0.567465796459323,0.8114867994441871,0.1189599741178439,0.9641873278236914
2039,0.9524860382080078,0.703,0.0003475865785731003,1.0,0.7688097090004669,0.7436745815492409,,
2040,0.9793150573968887,0.6997,0.0005493140139151365,1.0,0.8067443090871749,0.7433781190019194,0.16210409772751455,0.9498644986449865
2041,0.9762099385261536,0.6966,0.0007559350633528084,1.0,0.8008029588933689,0.7435534560971859,0.18766436278820037,0.9416666666666667
2042,0.9623846888542176,0.6972,0.0005643277807394042,1.0,0.7838525111950158,0.738359201773836,,
2043,0.9491419315338134,0.701,0.00031125842360779643,1.0,0.620454885222892,0.7989842288158246,0.26523395924918397,0.9209039548022598
2044,0.9310033082962036,0.7056,0.00022558438140549698,1.0,0.621949108334456,0.8035413153456998,,
2045,0.9241247028112411,0.7048,0.00022945459713810123,1.0,0.8612509792105039,0.7093541202672605,0.1908247537083096,0.9548611111111112
2046,0.9178530216217041,0.7018,0.0002938452860689722,1.0,0.7317279215097428,0.7572,,
2047,0.9136338531970978,0.708,0.00018667050171643494,1.0,0.5864744499517848,0.8011049723756906,0.12778138502734424,0.9669421487603306
2048,0.9268963277339936,0.7046,0.00020817134354729206,1.0,0.8250389624382148,0.7370488124181784,,
2049,0.9250892341136933,0.7015,0.0001848800624429714,1.0,0.5867203052413645,0.8025234741784038,0.23568293620163286,0.9242957746478874
2050,0.9117671996355057,0.7056,0.0001645060896407813,1.0,0.8300887790968021,0.7268333333333333,,
2051,0.9095187574625015,0.6993,0.0001544434722745791,1.0,0.7288980159889169,0.7626949220311875,0.15286216305361855,0.9652777777777778
2052,0.9037865966558456,0.7044,0.00015238224295899272,1.0,0.8627105287399088,0.7185430463576159,0.2775960573404588,0.9144542772861357
2053,0.8942987740039825,0.7056,0.00012120191931899171,1.0,0.344670684837852,0.8920840064620356,0.35264292313782813,0.882262996941896
2054,0.8899760216474533,0.7033,7.991791571839712e-05,1.0,0.5208274575613011,0.8367719894975534,0.22355480296624552,0.9344042838018741
2055,0.8805728942155838,0.7082,6.162395111459773e-05,1.0,0.3416906360751532,0.8952035469568722,,
2056,0.897138699889183,0.7055,0.0001351472415990429,1.0,0.7813681817847076,0.749955571352408,0.2782048186299148,0.9092356687898089
2057,0.8862501710653305,0.7109,9.904226171784103e-05,1.0,0.970035797264698,0.6745420304742339,0.24955101168839036,0.9315286624203821
2058,0.8762087047100067,0.7147,6.907980096002576e-05,1.0,0.524091639372596,0.8346174412857484,,
2059,0.902972286939621,0.7031,0.00011907396365131717,1.0,0.8278211098605288,0.7351093239507414,0.24180878871969322,0.9288307915758897
2060,0.9049823254346847,0.701,0.00012770514440489932,1.0,0.5963323124310411,0.8045942986569627,,
2061,0.8948395937681198,0.7066,6.92738889483735e-05,1.0,0.6994924639393167,0.7740776233828461,,
2062,0.8886893600225448,0.7067,7.288693159352988e-05,1.0,0.7175788602442702,0.7649017121116043,,
2063,0.8839599311351776,0.706,4.3982923853036485e-05,1.0,0.7251556588462338,0.755832389580974,0.16757897867096794,0.9513888888888888
2064,0.8839552968740463,0.7079,4.548819069896126e-05,1.0,0.639848109921822,0.7965748669289516,,
