round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7959956258535386,0.7301,0.1339931908994913,0.9798888888888889,0.8487958817857841,0.7202592515157851,0.31446795522327153,0.8961267605633803
2002,0.8149308055639267,0.7256,0.12541738897562027,0.98,0.7688626103743924,0.7461116193961573,0.2730287868695654,0.9060509554140127
2003,0.8251771956682206,0.7222,0.028595207538455725,0.9991111111111111,0.5316917982052947,0.8271106626303397,0.3636836324440226,0.8770894788593904
2004,0.8477661490440369,0.7167,0.025101090595126153,0.9997777777777778,0.7659234528451118,0.7619429947812124,0.1489353040854136,0.9611111111111111
2005,0.8714379072189331,0.7119,0.035454995557665826,0.9997777777777778,0.8228936906055562,0.7266653566516015,,
2006,0.8767296880483627,0.7107,0.04354490023106337,0.9996666666666667,0.596321794397735,0.8151144435674822,,
2007,0.8909243524074555,0.7086,0.019102568831294776,1.0,0.6490497415116399,0.788127173373075,0.27997265483292055,0.920774647887324
2008,0.8880152821540832,0.7062,0.012549842009320855,1.0,0.52155896972163,0.8235507246376812,0.23839990743275347,0.9224137931034483
2009,0.8979555696249009,0.7075,0.0179350727237761,1.0,0.7410444423144265,0.7607734806629834,,
2010,0.8994578719139099,0.7059,0.008110944204963744,1.0,0.4521405052921198,0.8534306569343065,0.25986956646207904,0.930783242258652
2011,0.8943963795900345,0.709,0.0032350831548683344,1.0,0.6236097176368948,0.7993694468329035,0.26326336259442257,0.9154624277456648
2012,0.9221289187669754,0.7014,0.004174820974003524,1.0,0.8420838901411926,0.7225939269171384,0.5284526665276343,0.8302752293577982
2013,0.9719975113868713,0.6901,0.001655572489835322,1.0,0.7191092553566018,0.7686364585508457,0.19611574794836106,0.9378980891719745
2014,0.9492824792861938,0.697,0.001273785438388586,1.0,0.3577275721404459,0.8866758241758241,0.19461061259110768,0.9305555555555556
2015,0.9458671540021897,0.6959,0.001120350675773807,1.0,0.639107283822921,0.792812777284827,0.14198164972994062,0.9638888888888889
2016,0.9579610228538513,0.6979,0.000673367315903306,1.0,0.7274058561106052,0.7584317193331006,0.31548570151682254,0.9126984126984127
2017,0.9501595258712768,0.6975,0.000581476604565978,1.0,0.4764677652261791,0.851975249881009,0.29017038671833695,0.9076433121019108
2018,0.952548748254776,0.703,0.0008492231601849199,1.0,0.5373616647894037,0.8378302417088251,0.3106451137287712,0.9079545454545455
2019,0.9532951861619949,0.7007,0.00047746023628860714,1.0,0.6722290505393121,0.7787569573283859,0.15572519984025618,0.9539295392953929
2020,0.9494147151708603,0.697,0.0004158638505032286,1.0,0.497321825041679,0.8480466768138001,0.2055529941549792,0.940379403794038
2021,0.9453727692365647,0.7012,0.00033411608746973797,1.0,0.5484747136616385,0.817910447761194,0.32408703812237444,0.8900862068965517
2022,0.9284250497817993,0.7052,0.00020820249774260445,1.0,0.267267002212503,0.9220538199814414,0.17849298382839213,0.9498644986449865
2023,0.9126086801290512,0.7093,0.00024410833430010825,1.0,0.16799549362589583,0.9490053236200616,0.2472285813009235,0.9295774647887324
2024,0.9112755477428436,0.7039,0.0002081600767269265,1.0,0.5297964464351322,0.819722335647203,,
2025,0.9370833426713944,0.7035,0.0002280157568748109,1.0,0.7779967532747757,0.738638985005767,0.23314791358193976,0.9344978165938864
2026,0.9426411032676697,0.7015,0.00026176526589551943,1.0,0.6280711967101748,0.7945086486272858,,
2027,0.9381230294704437,0.7025,0.0002606735550216399,1.0,0.6185248603120223,0.8063526439270889,,
2028,0.9302658468484879,0.7076,0.0002522825241612736,1.0,0.64589402257115,0.7855575503690405,,
2029,0.9390346467494964,0.7033,0.00032099261006806045,1.0,0.7409656484649652,0.7605834786744886,,
2030,0.9382049858570098,0.705,0.0002970660469145514,1.0,0.6216238380875895,0.7980411361410382,,
2031,0.9618590861558914,0.6991,0.00035756139259319754,1.0,0.7579444449569496,0.7530356443399921,0.2678987295694754,0.9049295774647887
2032,0.9505290389060974,0.7021,0.00034006667556241155,1.0,0.3418401063752326,0.8887162555836084,,
2033,0.9354872852563858,0.705,0.0002249901182949543,1.0,0.4491163323383484,0.856353591160221,0.18647868640539123,0.9498644986449865
2034,0.9369126081466674,0.7038,0.00043041976314270867,1.0,0.7059797124808678,0.7777311805409939,0.2591107971626987,0.9234972677595629
2035,0.965135607123375,0.6972,0.00035650107165565716,1.0,0.7605536453875249,0.7542573595894054,0.2223570740121437,0.9380804953560371
2036,0.9687576621770859,0.6973,0.00045678527822019533,1.0,0.6530323529839887,0.7855332423474362,0.37811221666396805,0.8710191082802548
2037,0.9565464496612549,0.6995,0.000281172262475593,1.0,0.2997245924519767,0.9055745164960182,0.1748110913648838,0.9471544715447154
2038,0.9417985051870346,0.7006,0.00021603556087939068,1.0,0.3032214901767647,0.9038906901343214,0.15663039975750873,0.953168044077135
2039,0.9233712911605835,0.7082,0.0001629391910682898,1.0,0.3962817729482302,0.8781627092253795,,
2040,0.9376550853252411,0.7082,0.00017640193764236755,1.0,0.5835596596832868,0.8134357005758157,0.18441439284703273,0.9444444444444444
2041,0.941371527314186,0.7027,0.00029726663924520833,1.0,0.7096305811832132,0.7722094610179917,0.18254105349381763,0.9444444444444444
2042,0.9486771911382675,0.7012,0.0003423020665650256,1.0,0.6700420343815056,0.781438074121001,,
2043,0.9420767337083816,0.7088,0.00028668719169218094,1.0,0.4147759568347877,0.867949746057204,0.3060803503639954,0.9045197740112995
2044,0.9389522582292557,0.706,0.0002479526818206068,1.0,0.4598744379378491,0.8507588532883642,,
2045,0.9349419742822647,0.7071,0.00023681284510530532,1.0,0.6465749552787323,0.7954714179658501,0.21437274581856197,0.9548611111111112
2046,0.9239448070526123,0.7085,0.00019495003289193846,1.0,0.5811534316838021,0.818,,
2047,0.9172968685626983,0.7117,0.000174679856718285,1.0,0.4912763971121018,0.8482965009208103,0.1791982396657145,0.9393939393939394
2048,0.9165242344141007,0.7091,0.0001563180521770846,1.0,0.5485976560102966,0.8234524032167571,,
2049,0.9056250095367432,0.7128,0.00013552857781178317,1.0,0.41193932346542456,0.8612089201877934,0.20692028923773428,0.9436619718309859
2050,0.9403621196746826,0.7071,0.0002465072975610383,1.0,0.8011474088976781,0.7423333333333333,,
2051,0.9372242331504822,0.7027,0.0002305650217749644,1.0,0.5137246840717983,0.8340663734506197,0.20153123802608913,0.9513888888888888
2052,0.9415033757686615,0.7037,0.00028296904638409616,1.0,0.6719679789799664,0.7809475292919001,0.3270723413723643,0.8997050147492626
2053,0.9269545286893844,0.7054,0.00019679586403071881,1.0,0.08702689488083636,0.9747980613893377,0.46741476317793584,0.8516819571865444
2054,0.9230588942766189,0.7054,0.00016103861198644154,1.0,0.3901853037819278,0.883004261646179,0.22127763258724648,0.9303882195448461
2055,0.9134591430425644,0.7057,0.00012008624180452898,1.0,0.2523585661316868,0.9183796856106409,,
2056,0.9082901865243912,0.7082,0.00014900060486979782,1.0,0.4355509648775152,0.8638706237782122,0.2833616389970111,0.9124203821656051
