round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7912276238203049,0.7329,0.06220390573143959,0.9927777777777778,0.8487958817857841,0.7202592515157851,0.3151618523496977,0.8961267605633803
2002,0.8055409669876099,0.7289,0.053756361547857526,0.9866666666666667,0.8179348758869179,0.7454254345837146,0.24794779471151387,0.9251592356687898
2003,0.8117432206869125,0.7237,0.01273806751705706,0.9994444444444445,0.6381642070535934,0.7961654894046418,0.2930447101417193,0.8997050147492626
2004,0.807044917345047,0.7253,0.008514688722789288,0.9992222222222222,0.8852416997343984,0.7077478924126857,0.15446386535962423,0.9555555555555556
2005,0.8099608302116394,0.7278,0.010037566721439361,0.9988888888888889,0.900542990102307,0.6960110041265475,,
2006,0.8199965715408325,0.718,0.02322194166481495,0.9963333333333333,0.9117167734474109,0.7030386740331491,,
2007,0.8223755478858947,0.7187,0.011246303655207157,0.9983333333333333,0.7561397468250187,0.7613015399900646,0.23708525425951246,0.9295774647887324
2008,0.8071263670921326,0.7233,0.006786460371222347,0.9992222222222222,0.6865890185686125,0.7771739130434783,0.2449459852329616,0.927801724137931
2009,0.7965585380792618,0.7272,0.007730256696231663,0.9993333333333333,0.8410700168289094,0.7267034990791897,,
2010,0.8089840203523636,0.7244,0.005801875959150493,0.9995555555555555,0.6875283458372102,0.7830656934306569,0.1991250276945545,0.9435336976320583
2011,0.8053478807210922,0.7243,0.0024338521063327788,0.9998888888888889,0.9005637161880006,0.707939237603898,0.2549168955900766,0.9132947976878613
2012,0.8306445449590683,0.7176,0.00095892816898413,0.9998888888888889,0.9312988000160263,0.6857951621204323,0.3642259286631138,0.8746177370030581
2013,0.8132387042045593,0.7223,0.0010376343445386738,0.9997777777777778,0.939955842429,0.7020254750469826,0.2347625019444022,0.9331210191082803
2014,0.79338498711586,0.7285,0.0003984984432463534,1.0,0.7867661577141111,0.7422161172161172,0.17317353851265377,0.9472222222222222
2015,0.795667651295662,0.7282,0.00018590144791232887,1.0,0.8084798227423784,0.730700976042591,0.14783332695563633,0.9555555555555556
2016,0.8003469407558441,0.7269,0.0010397292411653326,0.9997777777777778,0.9158262240293634,0.7031690471715842,0.26832702046348933,0.9272486772486772
2017,0.7984467595815659,0.7258,0.00010945374815491959,1.0,0.8751562932370561,0.7089481199428843,0.2211839910715249,0.9363057324840764
2018,0.8073262751102448,0.7255,6.982981940382161e-05,1.0,0.7921581697671718,0.7470489038785835,0.25985803871669555,0.9193181818181818
