round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,2.397634720802307,0.1544,1.9753347992897035,0.006222222222222222,0.8487958817857841,0.7202592515157851,0.30064246604140377,0.8961267605633803
2002,5.910658955574036,0.1018,3.908504319190979,0.006555555555555556,0.8932227221439437,0.7063129002744739,0.3099219679452811,0.8996815286624203
2003,21.46010293960571,0.1002,24.106644248962404,0.0,1.047428672016168,0.6696939118735284,0.5435143212623887,0.8092428711897739
2004,21.10197505950928,0.0997,14.02523717880249,0.00022222222222222223,1.1986481693914643,0.6009634684865516,0.4015327533086141,0.8805555555555555
2005,19.495001316070557,0.0852,0.2068982183933258,0.9216666666666666,1.1470804279364497,0.6138730595401847,,
2006,12.210044574737548,0.1021,2.162793403863907,0.37366666666666665,1.349486315589113,0.5556432517758485,,
2007,15.170047998428345,0.0953,3.8270251154899597,0.2361111111111111,1.287867275447438,0.5812220566318927,0.533850329023012,0.8221830985915493
2008,16.27162346839905,0.1015,6.082262778282166,0.24033333333333334,1.3762433084888734,0.5521739130434783,0.5946458660323044,0.802801724137931
2009,10.291009759902954,0.111,7.654324626922607,0.022555555555555554,1.389586852060058,0.5642725598526703,,
2010,11.277011108398437,0.1028,8.05752854347229,0.008666666666666666,1.4115219446168328,0.5521167883211678,0.6818764894820736,0.7686703096539163
2011,8.177177596092225,0.102,3.1547468543052672,0.15688888888888888,1.5967877714433723,0.48609916881627974,0.6475009389350869,0.7832369942196532
2012,6.057130336761475,0.1017,1.0932092279195786,0.6084444444444445,1.581658075841137,0.48661863098301594,0.9149257533411732,0.672782874617737
2013,5.386941289901733,0.1109,1.5665111660957336,0.4791111111111111,1.5778089970082674,0.5128419294215911,0.592999431737669,0.7898089171974523
2014,4.377098965644836,0.0979,3.2132665157318114,0.11655555555555555,1.61742892711263,0.49313186813186816,0.6843789339065551,0.7888888888888889
2015,3.3001649260520933,0.1035,3.457809400558472,0.04044444444444444,1.6707825784859873,0.50377107364685,0.5663667195373111,0.8277777777777777
