round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7963153392076492,0.7288,3.9689980864524843,0.05655555555555555,0.8487958817857841,0.7202592515157851,0.4080509153050436,0.8697183098591549
2002,0.8076146006584167,0.7215,3.7773608326911927,0.049666666666666665,0.795330573626592,0.7429094236047575,0.3671916370179243,0.8885350318471338
2003,0.8213814824819565,0.7229,3.8156070351600646,0.043111111111111114,0.6209364692410194,0.7995290951900438,0.4952472344905343,0.839724680432645
2004,0.8419487297534942,0.7154,3.7777196168899536,0.042777777777777776,0.9312188020076966,0.6878763548775592,0.43030864861276413,0.875
2005,0.8443300545215606,0.7194,3.5739578366279603,0.049777777777777775,0.9175073963458751,0.6922774611908037,,
2006,0.8674931317567826,0.7111,3.5964683055877686,0.03588888888888889,0.9839406352087373,0.6844909234411997,,
2007,0.9014889746904373,0.7005,3.6348023653030395,0.03311111111111111,0.7684649884463897,0.7521112767014406,0.349034974272822,0.8838028169014085
2008,0.8902481257915497,0.7011,3.658419740200043,0.029555555555555557,0.6892186510390129,0.7764492753623189,0.37946645324600153,0.8696120689655172
2009,0.8980061739683152,0.7079,3.544527995586395,0.03211111111111111,0.8841661181733095,0.7130755064456722,,
2010,0.9083564102649688,0.7001,3.4217296719551085,0.03388888888888889,0.6119732305603306,0.8078832116788321,0.416487059578001,0.8670309653916212
2011,0.923680990934372,0.699,3.2835543870925905,0.041444444444444443,0.8944610994160773,0.706506162224133,0.38875820948553913,0.8735549132947977
2012,0.9232178509235383,0.6971,3.232926058769226,0.05,0.9809768848884247,0.6839938239835306,0.46703757751243197,0.8394495412844036
2013,0.93845816552639,0.6888,3.379640245437622,0.02811111111111111,0.8974038467548615,0.7097515138859887,0.3741900322923235,0.893312101910828
2014,0.9172230362892151,0.7032,3.2992415904998778,0.03855555555555556,0.795991949900821,0.7417582417582418,0.43311247825622556,0.8694444444444445
