round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.7980615764856338,0.7308,3.8275975704193117,0.04611111111111111,0.8487958817857841,0.7202592515157851,0.4080509153050436,0.8697183098591549
2002,0.8263132542371749,0.7236,3.516161596775055,0.043111111111111114,0.7524235197577254,0.7497712717291857,0.423681947456044,0.8726114649681529
2003,0.8518589168787003,0.7198,3.3910242199897764,0.04211111111111111,0.5107373164366535,0.832828792465523,0.5340985119518629,0.8259587020648967
2004,0.8878217756748199,0.7128,3.254050040245056,0.043111111111111114,0.8291155476316014,0.7286230429546366,0.43586570421854653,0.8583333333333333
2005,0.9030327945947647,0.7079,3.213615190982819,0.03811111111111111,0.8510366656774855,0.7217528001572018,,
2006,0.9537032276391983,0.692,3.10297611951828,0.03188888888888889,0.7625132964566738,0.7541436464088398,,
2007,0.9892065763473511,0.6848,3.0441303968429567,0.028444444444444446,0.6730726173548217,0.7791852955787382,0.34198334057566143,0.8838028169014085
2008,0.989266449213028,0.6826,3.0165229439735413,0.031,0.49430429029912837,0.8355072463768116,0.3998364246097104,0.8696120689655172
2009,0.9975314646959305,0.6843,3.0117542028427122,0.02711111111111111,0.7465002613970332,0.7587476979742173,,
2010,0.9936124920845032,0.6814,3.011678636074066,0.02811111111111111,0.5191848161144957,0.8332846715328467,0.39936346771069997,0.8816029143897997
2011,1.0042128384113311,0.679,2.9212815284729006,0.033777777777777775,0.6015543046346808,0.8059615935798223,0.37159987982642445,0.8764450867052023
2012,1.0435276299715042,0.6713,2.7985985040664674,0.035,0.8875972935819051,0.7053525476067937,0.577697573634098,0.8103975535168195
2013,1.0702684223651886,0.6699,2.751990830898285,0.03244444444444444,0.8001099714375745,0.7439966590102318,0.3385660268698528,0.9044585987261147
2014,1.0454236447811127,0.6743,2.7318708658218385,0.04011111111111111,0.4440595396135971,0.8626373626373627,0.4510560777452257,0.8638888888888889
2015,1.0504785358905793,0.6763,2.7184961318969725,0.04,0.8060310846847459,0.734472049689441,0.4158244384659661,0.875
2016,1.0553867280483247,0.673,2.660047686100006,0.04555555555555556,0.8436006058114395,0.7283549681853572,0.34111825025901593,0.8888888888888888
2017,1.0690638661384582,0.6701,2.6432948112487793,0.044444444444444446,0.6792844460784204,0.7834364588291289,0.3006125874580092,0.910828025477707
2018,1.1049026072025299,0.6645,2.5294745683670046,0.05455555555555556,0.7675215648071021,0.7625070264193367,0.35486690880392086,0.8926136363636363
2019,1.0991306960582734,0.665,2.5629889249801634,0.04777777777777778,0.6314898368804016,0.797077922077922,0.25996372830577014,0.9173441734417345
2020,1.095265656709671,0.6646,2.5704827547073363,0.04766666666666667,0.5766719920964244,0.8206494165398275,0.2735141157538587,0.9146341463414634
2021,1.0866149246692658,0.6671,2.558145618438721,0.04544444444444445,0.5156658609515862,0.8344941956882256,0.3371473005276987,0.8879310344827587
2022,1.0705971896648407,0.6731,2.597182273864746,0.04588888888888889,0.3673889501100395,0.8855552118775132,0.2742761792690773,0.9024390243902439
2023,1.0485296249389648,0.6771,2.6167396306991577,0.049777777777777775,0.20210057752244498,0.9375175119080975,0.3068582921380728,0.8943661971830986
2024,1.0407498478889465,0.6798,2.6071219444274902,0.053,0.588612950738959,0.8040016333197223,,
2025,1.0321594178676605,0.6809,2.6382275938987734,0.052222222222222225,0.6586430121526861,0.7850057670126874,0.30749481070510165,0.9148471615720524
2026,1.0285022228956222,0.6818,2.6329338431358336,0.05355555555555556,0.6529876935134876,0.7862066580597565,,
2027,1.0152137011289597,0.6859,2.6710207223892213,0.051111111111111114,0.5863469892354661,0.8242194549720268,,
2028,1.0070263355970384,0.6876,2.666645812988281,0.05522222222222222,0.7050425641613225,0.7600239377618193,,
2029,1.0015599608421326,0.6901,2.714145076274872,0.05177777777777778,0.6382906051765787,0.7968923418423973,,
2030,0.9855920940637588,0.6986,2.721469795703888,0.05255555555555556,0.6768681509839872,0.7827619980411361,,
2031,1.0024628967046738,0.6892,2.663254189491272,0.058444444444444445,0.7732676907664671,0.7420681551116334,0.3013141415488552,0.8926056338028169
2032,0.99277323782444,0.6971,2.646924102306366,0.058555555555555555,0.3861367106850077,0.8747329578558943,,
2033,0.9820054739713668,0.699,2.701856517791748,0.057666666666666665,0.39564454726283776,0.8702858515493634,0.2324005621800901,0.9254742547425474
2034,0.9866083472967148,0.6921,2.6747551798820495,0.06155555555555556,0.7290501158100975,0.769763053050954,0.3648024900037734,0.8797814207650273
2035,1.0004822820425034,0.6971,2.574035167694092,0.07244444444444445,0.7519545723481937,0.7587104264174024,0.29475428370453255,0.9055727554179567
2036,1.008862668275833,0.6926,2.5504146218299866,0.07222222222222222,0.6342769375053543,0.7915773055176447,0.3627173122327039,0.8885350318471338
2037,1.004894408583641,0.6936,2.5409796237945557,0.07433333333333333,0.5059676993930706,0.8377701934015928,0.24291091212412205,0.9146341463414634
2038,0.9868364810943604,0.7001,2.5330585122108458,0.08488888888888889,0.35469242428084763,0.8849004168596573,0.3607582660089183,0.8760330578512396
2039,0.9627897381782532,0.7041,2.5722214698791506,0.08588888888888889,0.45155563531860377,0.8563643441027637,,
2040,0.9705833256244659,0.7027,2.5562448263168336,0.08733333333333333,0.46549660563500217,0.845873320537428,0.2548756722189224,0.9132791327913279
2041,0.9671323239803314,0.7008,2.592139410972595,0.08655555555555555,0.6519156973058418,0.7872693372289713,0.4143328004413181,0.8805555555555555
2042,0.9851246446371078,0.6999,2.5288148641586305,0.09066666666666667,0.758523798905523,0.7519797275894837,,
2043,0.984742459654808,0.6978,2.4706944823265076,0.10655555555555556,0.4626886601169215,0.8527131782945736,0.3929488417792455,0.8740112994350282
2044,0.972272875905037,0.6992,2.49363089799881,0.10466666666666667,0.48522633498763856,0.8403035413153457,,
2045,0.9708816468715668,0.6992,2.539888691902161,0.09766666666666667,0.674937662631536,0.7839643652561247,0.23716257015864053,0.9375
2046,0.9558846265077591,0.7062,2.556145942211151,0.09855555555555555,0.5905761336089578,0.8174,,
2047,0.9541939795017242,0.7057,2.5340468168258665,0.10455555555555555,0.43720944402705103,0.8598066298342542,0.3849032837333101,0.8815426997245179
2048,0.9462640374898911,0.7067,2.5665549635887146,0.10355555555555555,0.5517653628806851,0.8225172994202357,,
2049,0.9393175274133683,0.7045,2.5951783418655396,0.103,0.4278699708282685,0.8597417840375586,0.32352525079754035,0.8996478873239436
2050,0.9560721397399903,0.7036,2.5732095718383787,0.10211111111111111,0.7717814559924105,0.7451666666666666,,
2051,0.9539410084486007,0.6994,2.6308069229125977,0.09433333333333334,0.5290035664177284,0.8254698120751699,0.2997288737032149,0.9097222222222222
2052,0.9607354998588562,0.701,2.557882523536682,0.10488888888888889,0.659073865145276,0.7852776362710138,0.3946641024528117,0.8662733529990168
2053,0.9440520465373993,0.7029,2.552711474895477,0.11144444444444444,0.060327883212118495,0.9851373182552504,0.42034687461838444,0.882262996941896
2054,0.937502309679985,0.7035,2.5251783967018127,0.11477777777777778,0.33004578152634334,0.8969236086247364,0.29707945067400593,0.9042838018741634
2055,0.9175747275352478,0.7078,2.52716988325119,0.13155555555555556,0.23496572483527664,0.9238210399032648,,
2056,0.9253214567899704,0.7067,2.5750694274902344,0.11344444444444444,0.4901091885725336,0.8436111604762752,0.3623289520953112,0.8742038216560509
2057,0.9371336668729782,0.7022,2.5311994314193726,0.11188888888888888,0.8194916339243873,0.7247046738572163,0.3339816472332948,0.9044585987261147
2058,0.9262177169322967,0.7035,2.5021175265312197,0.12933333333333333,0.2844388698981727,0.9114492790673893,,
2059,0.9299464583396911,0.7017,2.4269055008888243,0.14133333333333334,0.5231455223755146,0.833123900477507,0.3910585386257892,0.888162672476398
2060,0.9158626407384872,0.7069,2.436409819126129,0.14766666666666667,0.4033270015950496,0.8618492318802521,,
2061,0.9043089926242829,0.7106,2.4329802870750425,0.15433333333333332,0.3924001077708583,0.8787733588883565,,
2062,0.909651243686676,0.7085,2.4754581451416016,0.14533333333333334,0.6220021734891734,0.8058021559923906,,
2063,0.9024756878614426,0.7105,2.458234226703644,0.155,0.42439181156633665,0.8636466591166478,0.2529628376166026,0.9236111111111112
2064,0.8951602846384048,0.71,2.4457772731781007,0.16855555555555554,0.2767108876736998,0.9185373756074983,,
2065,0.882070779800415,0.7123,2.4880709648132324,0.16211111111111112,0.32940805249046873,0.8973408892763731,0.4146417763984167,0.8715596330275229
2066,0.9549993813037873,0.6919,2.3809473276138307,0.15088888888888888,0.6095198615681191,0.7991370010787486,0.331729963137086,0.9028662420382165
2067,0.9488646447658539,0.6924,2.3787058115005495,0.15055555555555555,0.39386265615773347,0.880120381207156,,
2068,0.9337390005588532,0.6966,2.3585513710975645,0.16733333333333333,0.05861640093130037,0.9847349431029697,0.2927236376674312,0.9187898089171974
2069,0.9487494319677353,0.694,2.3212470531463625,0.171,0.6761658304485791,0.775161346589918,0.269547109662647,0.8996478873239436
2070,0.942514106631279,0.6892,2.332781171798706,0.1708888888888889,0.48000649299429504,0.8419623073217727,,
2071,0.9274566620588303,0.694,2.332853543758392,0.17822222222222223,0.1572556406076226,0.957462874402215,,
2072,0.9345206975936889,0.6956,2.3461928844451903,0.166,0.5963821426517728,0.7961145194274029,0.3736843378421111,0.8845553822152886
2073,0.9192350208759308,0.6995,2.3639121413230897,0.17022222222222222,0.4041021847055858,0.8760753789430561,,
2074,0.9137466669082641,0.6985,2.3816510915756224,0.1681111111111111,0.30038291076846285,0.9135981443896781,0.2962321805681837,0.9024171888988362
2075,0.9050994873046875,0.7013,2.3981711149215696,0.16644444444444445,0.13993563638991005,0.9603888213851762,0.2841808511193391,0.9203821656050956
2076,0.8997469872236252,0.7036,2.3878850102424622,0.169,0.39611203778988613,0.8707893413775767,0.2894854593436455,0.9080267558528428
2077,0.9081147462129593,0.698,2.366957426071167,0.173,0.7934522891119963,0.7415442432524769,,
2078,0.9127208322286606,0.6981,2.3968299508094786,0.16377777777777777,0.4591017149134255,0.8542372881355932,,
2079,0.8943640112876892,0.7074,2.3960163593292236,0.17455555555555555,0.1994962456594521,0.9374854752498257,,
2080,0.8991324692964554,0.7048,2.386116886138916,0.17377777777777778,0.39887834828649543,0.8741888214360477,0.40485071151628405,0.882262996941896
2081,0.9067844182252884,0.7006,2.367189407348633,0.16955555555555554,0.5273798117393358,0.8315728660469047,0.33501612729605895,0.8898071625344353
2082,0.9023232311010361,0.7055,2.3796627044677736,0.1691111111111111,0.3603764560749966,0.8871603856266433,0.26332532695144606,0.9331210191082803
2083,0.9096321374177933,0.7016,2.3289487242698668,0.17744444444444443,0.3360011990608323,0.8857876162977222,0.2586865229278247,0.926829268292683
2084,0.9225524187088012,0.7025,2.2808540225028993,0.18522222222222223,0.6911247115178785,0.7729349067377237,0.2776702751576061,0.9049295774647887
2085,0.9061460137367249,0.7075,2.2902398705482483,0.18944444444444444,0.21052501301259124,0.9405023165081687,,
2086,0.8979640036821366,0.7086,2.2830992221832274,0.19722222222222222,0.300912470599066,0.9090724165988608,,
2087,0.8908195674419404,0.7096,2.259302723407745,0.21366666666666667,0.10842051243092819,0.9667727112053729,0.29602622474682094,0.9050535987748851
2088,0.885429960489273,0.7135,2.3103160858154297,0.1998888888888889,0.5305591965081822,0.8224630541871921,,
2089,0.8783385992050171,0.7143,2.3006495237350464,0.204,0.28410035228467706,0.9080914687774846,,
2090,0.8840777397155761,0.7137,2.26698317527771,0.21544444444444444,0.4931257339824537,0.8360094961629971,0.31067930921284176,0.9042145593869731
2091,0.8806076407432556,0.7153,2.2505690097808837,0.21388888888888888,0.11867540326738046,0.9641909814323607,0.34892842938892793,0.8867069486404834
2092,0.8729858785867691,0.7148,2.257507622241974,0.22111111111111112,0.22962896586563025,0.9301104972375691,0.23747106716238708,0.9214092140921409
2093,0.8645356833934784,0.7163,2.2645787954330445,0.2281111111111111,0.15044257518905663,0.9535704588650556,0.2928136620256636,0.9097222222222222
2094,0.8543612509965897,0.7208,2.238677477836609,0.24155555555555555,0.30446445910446956,0.9041940789473685,,
2095,0.859938645362854,0.715,2.2186800241470337,0.24188888888888888,0.4170335397258529,0.8590562538635895,0.2841764943596492,0.9125168236877523
2096,0.8671752452850342,0.7151,2.2123506903648376,0.243,0.5828151845550773,0.8124877282544669,0.3202771253490274,0.9052823315118397
2097,0.8753283888101577,0.7153,2.1333066880702973,0.26155555555555554,0.709253026577607,0.7738120834229198,0.342230496977045,0.9004149377593361
2098,0.888324710726738,0.7118,2.0832409799098968,0.26766666666666666,0.6951234245895203,0.7668405894673848,0.28655969187188585,0.9167393199651264
2099,0.8824156790971756,0.7097,2.100496691465378,0.2623333333333333,0.2589532207231741,0.9213497980739359,0.2904808725635264,0.9138627187079408
