round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2301,0.7797974526882172,0.7381,5.164790225028992,0.019222222222222224,0.6595048264748679,0.7947305389221557,,
2302,0.8042458176612854,0.7293,4.30323555469513,0.013666666666666667,0.8813622545590342,0.7116872255906335,0.5043605784295311,0.8327464788732394
2303,0.8605624228715897,0.7144,3.89944726228714,0.01,0.7537724415703816,0.7538883806038427,0.5194693853141396,0.8359872611464968
2304,0.8905974298715591,0.7068,3.7664356231689453,0.009222222222222222,0.5929543614306692,0.8092835519677094,0.5640641205313166,0.8171091445427728
2305,0.928280022740364,0.7027,3.478317403793335,0.010555555555555556,0.7724540918820213,0.7492974708952228,0.5888254139158461,0.825
2306,0.9830305308103562,0.6926,3.3426233172416686,0.007,0.7469272264370543,0.7532972972972973,,
2307,1.0098456412553787,0.6869,3.2806200981140137,0.007,0.7780359367014102,0.732472691161867,,
2308,1.0443365663290023,0.6739,3.2337306261062624,0.005222222222222222,0.7446618990050106,0.756582215598609,0.4874657002133383,0.8345070422535211
2309,1.047320008277893,0.6742,3.2665744066238402,0.0057777777777777775,0.4645901205099147,0.8456521739130435,0.5121421446574146,0.8405172413793104
2310,1.0332688957452774,0.6755,3.260072445869446,0.005888888888888889,0.4208137059303501,0.8723284589426322,,
2311,1.057659348845482,0.6672,3.2486055374145506,0.004888888888888889,0.6220511534051412,0.7994160583941606,0.48767264879466404,0.8506375227686703
2312,1.0630537629127503,0.6646,3.223038387298584,0.005,0.6521133523563595,0.7913442247062196,0.4651780755533648,0.8504335260115607
2313,1.1018616914749146,0.6606,3.1047134041786193,0.005111111111111111,0.8546611071169475,0.7097272259392692,0.4533055714510996,0.8547400611620795
2314,1.117799347639084,0.6579,3.078490507602692,0.004333333333333333,0.7172737428161988,0.7746920025057423,0.47046245131522985,0.8598726114649682
2315,1.0940607488155365,0.6664,3.0887404561042784,0.005555555555555556,0.4551090028539092,0.8592032967032966,0.5298903928862677,0.8416666666666667
2316,1.182207989692688,0.6416,2.9281355857849123,0.005,0.8470764479202407,0.7216060337178349,0.5139526499642266,0.8194444444444444
2317,1.2242236733436584,0.6343,2.8471543312072756,0.004333333333333333,0.866932750025904,0.7161370378822456,0.4257489568972714,0.8637566137566137
2318,1.2174498915672303,0.6328,2.8551233530044557,0.005111111111111111,0.6825962438937835,0.7753450737743931,0.4562840461730957,0.85828025477707
2319,1.2377949357032776,0.6254,2.8208862781524657,0.0047777777777777775,0.6343017439889298,0.8080382237211917,0.5300895131955092,0.8232954545454545
