round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,5.5034215450286865,0.1,,,1.1972207532548471,0.5921450151057401,,
2002,2.908464765548706,0.1196,,,0.7208127061444886,0.7653061224489796,,
2003,2.852833604812622,0.1021,,,0.8009654709890792,0.7317023857662758,,
2004,5.065149903297424,0.156,,,0.6946484007943584,0.7690437601296597,,
2005,1.8837864637374877,0.2864,,,0.6616841598189607,0.7826530612244897,,
2006,2.113319307565689,0.2716,,,0.7205334228049342,0.7557344064386318,,
2007,1.6154057681560516,0.4481,,,0.6393469513499009,0.7850788515972503,,
2008,1.611903965473175,0.4858,,,0.6404301007588704,0.7854103343465045,,
2009,1.2375186085700989,0.6038,,,0.5982034630921422,0.7987755102040817,,
2010,1.178842055797577,0.6193,,,0.6192778207363206,0.7963150435310792,,
2011,1.3927462458610536,0.5471,,,0.6947964424783639,0.765194489465154,,
2012,1.0255921691656114,0.6786,,,0.5417239022390107,0.8240534521158129,,
2013,1.0927485793828964,0.6621,,,0.6675554393593064,0.7775538988515011,,
2014,0.9552706331014633,0.7027,,,0.5266440283730506,0.8249594813614263,,
2015,1.157383543252945,0.6553,,,0.6694140857336472,0.773061224489796,,
2016,0.9804743111133576,0.7005,,,0.4833359921232183,0.8397163120567376,,
2017,1.1461921513080597,0.624,,,0.6875927520681668,0.7643247620975906,,
2018,0.8801663637161254,0.7158,,,0.45100199192154167,0.8540816326530613,,
2019,0.944446074962616,0.6965,,,0.5804319074451018,0.8145896656534954,,
2020,0.8920428663492203,0.7081,,,0.47393982123355477,0.8383673469387755,,
2021,0.9328857809305191,0.7081,,,0.530547582712725,0.8251112009704812,,
2022,0.8916128277778625,0.7144,,,0.5465585115569938,0.8207243460764587,,
2023,0.9256081789731979,0.693,,,0.6256645717426222,0.7930612244897959,,
2024,0.9213611781597137,0.703,,,0.5232698597444227,0.8301925025329281,,
2025,0.9119889974594116,0.7048,,,0.4375939074462774,0.8591836734693877,,
2026,0.9864416360855103,0.6829,,,0.6900267814130199,0.7763265306122449,,
2027,0.8999443709850311,0.7095,,,0.5189952961713385,0.8325339728217426,,
2028,0.9200668275356293,0.693,,,0.5025218196311378,0.8336372847011145,,
2029,0.8624966591596603,0.7135,,,0.4990171282251906,0.8384907167099221,,
2030,0.8619196563959122,0.7092,,,0.6365210473172519,0.7904081632653062,,
2031,0.8712984800338746,0.7059,,,0.394231015164025,0.8689795918367347,,
2032,0.87976975440979,0.702,,,0.6219069415939098,0.7914285714285715,,
2033,0.861070865392685,0.7036,,,0.48040685361745405,0.8406122448979592,,
2034,0.8914227664470673,0.7013,,,0.4288037876904821,0.859403530127815,,
2035,0.9703080236911774,0.6692,,,0.5764781084104149,0.8081053698074975,,
2036,0.9009195655584336,0.7024,,,0.43655686341361677,0.860291144359078,,
2037,0.9029745817184448,0.6926,,,0.626329910823978,0.7993975903614458,,
2038,0.981348043680191,0.6719,,,0.5158245698238162,0.8382531338455318,,
2039,0.8986249446868897,0.6916,,,0.469183928941395,0.8435346574787191,,
2040,0.9080690532922745,0.6876,,,0.5946943908481085,0.8074683798434049,,
2041,0.9254231870174408,0.6805,,,0.4939107879786424,0.8446680080482898,,
2042,0.8682202070951461,0.697,,,0.5543175703191786,0.822838631301883,,
2043,0.9170918643474579,0.6863,,,0.4702420609581227,0.8473469387755102,,
2044,0.9217653691768646,0.679,,,0.5412193306854793,0.8240816326530612,,
2045,0.9769199788570404,0.6651,,,0.4198213686505142,0.8606122448979592,,
2046,0.953826230764389,0.6721,,,0.5250899853302555,0.8294165316045381,,
2047,0.895381611585617,0.695,,,0.5798187390071683,0.8108162444712506,,
2048,0.9909635066986084,0.6637,,,0.3522853034014071,0.8829357056207036,,
2049,0.903726053237915,0.6917,,,0.6786993229516289,0.7823375578354456,,
2050,0.996198046207428,0.6595,,,0.36176677799346496,0.8838775510204082,,
2051,0.9870084673166275,0.6514,,,0.46570874469620843,0.846530612244898,,
2052,0.9568910747766495,0.672,,,0.6039138384634324,0.8075364667747164,,
2053,1.0408696115016938,0.6473,,,0.38360528774088554,0.8715559157212318,,
2054,0.9516255229711532,0.6798,,,0.5028168679378471,0.8371428571428572,,
2055,1.0029031544923783,0.6569,,,0.4295428089391156,0.863755282753069,,
2056,1.002985307574272,0.6483,,,0.6283034701006753,0.8042857142857143,,
2057,1.043920522928238,0.6429,,,0.39298128531702325,0.8778672032193159,,
2058,1.01958187520504,0.6491,,,0.5384800619319978,0.8287381766955122,,
2059,1.0213876575231553,0.6452,,,0.4053381195846869,0.8673469387755102,,
2060,1.105366486310959,0.6135,,,0.4383246491975488,0.8642726719415703,,
2061,1.1042947471141815,0.6221,,,0.3573776644441741,0.8845218800648298,,
2062,1.0613092869520186,0.6414,,,0.5017316298678858,0.8408584733751772,,
2063,1.0973374247550964,0.6232,,,0.4200486294827869,0.8677386934673367,,
2064,1.2083287179470061,0.6017,,,0.5605303665204924,0.8230612244897959,,
2065,1.1384744822978974,0.6112,,,0.3996359013710917,0.874443995147594,,
2066,1.121429830789566,0.6314,,,0.4814380062787391,0.8515893905648917,,
2067,1.1491953313350678,0.6161,,,0.37832796950729525,0.8828571428571429,,
2068,1.0520916998386383,0.6535,,,0.5531385765853503,0.8241134751773049,,
2069,1.0894333958625793,0.64,,,0.453655442527005,0.8575424575424575,,
2070,1.064025554060936,0.6477,,,0.5141118390281617,0.8370115407977323,,
2071,1.1839710175991058,0.6062,,,0.391470389201933,0.8757142857142857,,
2072,1.1482934474945068,0.6269,,,0.37573631691689396,0.8810204081632653,,
2073,1.0891477763652802,0.6248,,,0.5912615207429589,0.8086833029011969,,
2074,1.155597585439682,0.6281,,,0.3558399055081419,0.8865248226950354,,
2075,1.1293951153755188,0.6381,,,0.5215975712270153,0.8328571428571429,,
2076,1.3054316222667695,0.5527,,,0.41766287046419065,0.8700201207243461,,
2077,1.2206160068511962,0.5932,,,0.3777675942742095,0.8771428571428571,,
2078,1.0901413440704346,0.6614,,,0.4699946705641885,0.8477424579874469,,
2079,1.2458720684051514,0.5728,,,0.38809911773742184,0.87662208025554,,
2080,1.174229907989502,0.6344,,,0.4477439092487898,0.8586912886391007,,
2081,1.3200974941253663,0.5577,,,0.3636896077387347,0.8836327345309382,,
2082,1.327805095911026,0.5472,,,0.3738066559021475,0.8804457953394124,,
2083,1.3419665813446044,0.5509,,,0.4675237876906687,0.850204081632653,,
2084,1.304704600572586,0.5679,,,0.4434049936549178,0.862852505579225,,
2085,1.2976637303829193,0.5663,,,0.38282590568065644,0.8808163265306123,,
2086,1.2931613147258758,0.5845,,,0.4442803235443271,0.8648979591836735,,
2087,1.3662258982658386,0.5257,,,0.4475096512427213,0.8608278344331134,,
2088,1.3488722920417786,0.5581,,,0.337813894821673,0.8948979591836734,,
2089,1.4622932016849517,0.4987,,,0.4974557649237769,0.8463265306122449,,
2090,1.3346158146858216,0.5602,,,0.3932367505954236,0.873061224489796,,
2091,1.4702116310596467,0.4802,,,0.3315670430980703,0.8977480219111381,,
2092,1.4955973088741303,0.461,,,0.41088387238736057,0.8716326530612245,,
2093,1.4141252398490907,0.5131,,,0.40238724102323153,0.8759183673469387,,
2094,1.4893508791923522,0.4878,,,0.4549749883430825,0.8598650258038905,,
2095,1.4366269409656525,0.5302,,,0.3625203720039251,0.8824489795918368,,
2096,1.497891128063202,0.5036,,,0.39033394284394324,0.8793877551020408,,
2097,1.444537878036499,0.503,,,0.5402707480532782,0.8346938775510204,,
2098,1.6586852192878723,0.3883,,,0.18374714432930458,0.9455102040816327,,
2099,1.617830491065979,0.4309,,,0.5295343847786531,0.8425275827482447,,
2100,1.5820316612720489,0.4374,,,0.3072836720138081,0.9036315682694258,,
2101,1.5597009718418122,0.4425,,,0.510299717438785,0.8467448443186413,,
2102,1.6450819194316864,0.3965,,,0.302931064675802,0.9029518803073191,,
2103,1.4687076568603517,0.4902,,,0.45017202369412596,0.8612244897959184,,
2104,1.552706813812256,0.4571,,,0.4904848362839952,0.8408163265306122,,
2105,1.5829876959323883,0.4189,,,0.4008414916967859,0.8702040816326531,,
2106,1.5734281063079834,0.4198,,,0.4243074887140837,0.8673014586709886,,
2107,1.6567862510681153,0.3489,,,0.41796508756397127,0.8633968382650993,,
2108,1.7414761900901794,0.3339,,,0.34598471339395837,0.8887990295188031,,
2109,1.5853462219238281,0.4198,,,0.46048333029276023,0.8529470931402132,,
2110,1.5659916818141937,0.4461,,,0.5004787002905514,0.8399122807017544,,
2111,1.603512179851532,0.4084,,,0.4069611017290534,0.87213970293055,,
2112,1.6522091805934906,0.3958,,,0.5117643616394121,0.8395918367346938,,
2113,1.7007945418357848,0.3451,,,0.37902861420666695,0.8803539111200482,,
2114,1.6723448514938355,0.3684,,,0.3621153032171483,0.8863265306122449,,
2115,1.6973745465278625,0.4181,,,0.4365776023550491,0.8613079570763312,,
2116,1.6941698908805847,0.3756,,,0.40472134984702135,0.8750999200639489,,
2117,1.8068420350551606,0.2848,,,0.26333903503661255,0.9146938775510204,,
2118,1.8930288791656493,0.2309,,,0.1977904674721738,0.9391427416093813,,
2119,1.6224588453769684,0.4423,,,0.6563549540466003,0.7951782820097245,,
2120,1.7056615710258485,0.4036,,,0.3306191732982895,0.889046365661065,,
2121,1.7601103901863098,0.3594,,,0.46586968897556774,0.8557142857142858,,
2122,1.6635008215904237,0.3968,,,0.4912133738337731,0.8455102040816327,,
2123,1.7679369688034057,0.3249,,,0.34291016672946967,0.8928571428571429,,
2124,1.8505777299404145,0.2572,,,0.3273840737038729,0.8940816326530612,,
2125,1.8012321174144745,0.2805,,,0.3738895478053969,0.8865306122448979,,
2126,1.909446394443512,0.251,,,0.362689058627045,0.8829915560916767,,
2127,1.8543554306030274,0.2932,,,0.23317295781870245,0.9271376957045363,,
2128,1.884599894285202,0.2653,,,0.38500360187827326,0.8812244897959184,,
2129,1.8078022718429565,0.2787,,,0.3983828209370983,0.8777551020408163,,
2130,1.9539689660072326,0.2045,,,0.35422331170159943,0.89,,
2131,1.8044413089752198,0.3209,,,0.42052747327203777,0.8705206889724807,,
2132,1.8361113786697387,0.3108,,,0.4601450539345883,0.8517703540708141,,
2133,1.9512395560741425,0.2099,,,0.3208635310615812,0.9028571428571428,,
2134,1.9444955468177796,0.2088,,,0.32336495812178384,0.8984802431610942,,
2135,1.8645000874996185,0.2671,,,0.39601097192221146,0.8717065261451156,,
2136,1.9013932168483734,0.246,,,0.3784667001920139,0.8830563437373328,,
2137,1.956585657596588,0.2019,,,0.25896904871171833,0.9159183673469388,,
2138,1.8716617226600647,0.2389,,,0.44462654500253046,0.8546441495778045,,
2139,1.9427309036254883,0.2042,,,0.3938259086858339,0.8772635814889336,,
2140,1.993580150604248,0.2086,,,0.3411084429706846,0.8951020408163265,,
2141,1.9819949865341187,0.2181,,,0.31220084575714974,0.9031211998378598,,
2142,1.981798416376114,0.2028,,,0.3327703834950924,0.9014,,
