round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,1.1254016995429992,0.5998,,,1.1972207532548471,0.5921450151057401,,
2002,0.9492031931877136,0.6694,,,0.7262938104113754,0.7606122448979592,,
2003,0.8908813118934631,0.6905,,,0.7724051934671075,0.7444399514759401,,
2004,0.9007108747959137,0.6869,,,0.6947777490561746,0.7668152350081038,,
2005,0.8720668882131577,0.6999,,,0.6825943339600855,0.7781632653061225,,
2006,0.8681383103132247,0.6992,,,0.728762094451628,0.7591549295774648,,
2007,0.8529284983873368,0.7092,,,0.6488055847600265,0.789122523251112,,
2008,0.8482533812522888,0.7119,,,0.6599041818968552,0.774468085106383,,
2009,0.877578517794609,0.6979,,,0.6267894664345955,0.7924489795918367,,
2010,0.8815329492092132,0.6991,,,0.6648020341971259,0.7718161571168253,,
2011,0.8534452885389328,0.704,,,0.690281724234261,0.7631685575364667,,
2012,0.8194294363260269,0.7182,,,0.5749588273850306,0.8149422960113383,,
2013,0.8548228681087494,0.7094,,,0.704818315559305,0.766874874068104,,
2014,0.8099147975444794,0.7252,,,0.5542830146450665,0.8160453808752026,,
2015,0.8651381701231002,0.7106,,,0.5976261924237621,0.8026530612244898,,
2016,0.81934974193573,0.7277,,,0.5624633313553915,0.812968591691996,,
2017,0.889444899559021,0.7038,,,0.704728427867847,0.7673618141324154,,
2018,0.7941245675086975,0.7241,,,0.48525909697522923,0.8408163265306122,,
2019,0.863311305642128,0.7129,,,0.6409521093242919,0.7868287740628166,,
2020,0.824765968322754,0.7281,,,0.4591254686944339,0.8534693877551021,,
2021,0.8331765741109848,0.7273,,,0.5718826559081137,0.8141932875050546,,
2022,0.8340221881866455,0.7312,,,0.6024029307562101,0.8038229376257545,,
2023,0.8699721664190292,0.7137,,,0.69902586190068,0.7718367346938776,,
2024,0.8230986297130585,0.7255,,,0.5469724446867253,0.8285714285714286,,
2025,0.833454167842865,0.7293,,,0.5142431133742235,0.8320408163265306,,
2026,0.8027950704097748,0.7261,,,0.7316942813201827,0.7522448979591837,,
2027,0.8129043608903885,0.7267,,,0.5352842868994371,0.8185451638689049,,
2028,0.8154090821743012,0.7288,,,0.4985164267978166,0.8354609929078014,,
2029,0.8020184159278869,0.7364,,,0.5738220889129475,0.8111399480934318,,
2030,0.8697158902883529,0.72,,,0.6231758397939254,0.7987755102040817,,
2031,0.800507766008377,0.7403,,,0.38051985072846317,0.8771428571428571,,
2032,0.8263456135988235,0.724,,,0.7478160810592224,0.75,,
2033,0.8375877022743226,0.7336,,,0.469078310436132,0.8416326530612245,,
2034,0.8722313821315766,0.7247,,,0.5138414636372214,0.837898153783729,,
2035,0.9095005869865418,0.7213,,,0.619637049995778,0.8006079027355623,,
2036,0.7883478790521622,0.748,,,0.45533031692786397,0.8524059846340477,,
2037,0.8619896173477173,0.7325,,,0.6864443020708111,0.7781124497991968,,
2038,0.8137043088674545,0.7391,,,0.5077686843195282,0.8352203801051354,,
2039,0.8067330330610275,0.7459,,,0.49594568018735447,0.8417105796513985,,
2040,0.8348199903964997,0.7268,,,0.6763154845262204,0.7849829351535836,,
2041,0.8275410026311875,0.7433,,,0.5229442967495448,0.8309859154929577,,
2042,0.8124434798955917,0.7409,,,0.6045550697395062,0.8078558412634137,,
2043,0.8651457697153091,0.7383,,,0.49623086880664435,0.8395918367346938,,
2044,0.8636210650205612,0.7204,,,0.6092037998413553,0.8022448979591836,,
2045,0.8669505953788758,0.7291,,,0.46705742649277865,0.8542857142857143,,
2046,0.8449803709983825,0.7303,,,0.5689443438351637,0.8239465153970826,,
2047,0.820424172282219,0.7331,,,0.6995600445842378,0.7746280659429031,,
2048,0.8622440695762634,0.734,,,0.3967845715278081,0.8764658309745249,,
2049,0.8745506405830383,0.7231,,,0.74877213107265,0.7642325487829411,,
2050,0.788960337638855,0.7522,,,0.3553216694599512,0.889795918367347,,
2051,0.8307447373867035,0.7495,,,0.542534960651276,0.8273469387755102,,
2052,0.8086461991071701,0.7398,,,0.7032129750609688,0.7743111831442464,,
2053,0.8057334512472153,0.7485,,,0.4882144270135721,0.8444084278768234,,
2054,0.8276246547698974,0.7441,,,0.5790833963788286,0.8089795918367347,,
2055,0.8478028893470764,0.7451,,,0.5083755486734581,0.8398068021734756,,
2056,0.8694275170564651,0.7306,,,0.6651682234783561,0.7877551020408163,,
2057,0.8223354071378708,0.7444,,,0.4624844559901197,0.8490945674044266,,
2058,0.8662179291248322,0.7252,,,0.6811988952294709,0.7840611793117327,,
2059,0.8234087198972702,0.7398,,,0.4813273571218763,0.8469387755102041,,
2060,0.8375891387462616,0.7405,,,0.53952507371471,0.8206532765266789,,
2061,0.8781232953071594,0.7447,,,0.44036307762493193,0.8602106969205835,,
2062,0.8444287151098251,0.7427,,,0.5980818292394199,0.8110953634338935,,
2063,0.8382538884878159,0.749,,,0.4233738286171726,0.8649246231155779,,
2064,0.8641964048147202,0.7328,,,0.6170792976690799,0.8087755102040817,,
2065,0.8848823875188827,0.7392,,,0.4661035779163127,0.8534169025475131,,
2066,0.8349735498428345,0.7441,,,0.5301902152116686,0.8341769588985625,,
2067,0.8419487655162812,0.754,,,0.37728447643773894,0.8912244897959184,,
2068,0.8396744012832642,0.7531,,,0.5154413737786939,0.826950354609929,,
2069,0.8745146423578263,0.7335,,,0.6487774759858519,0.797002997002997,,
2070,0.8462545990943908,0.7424,,,0.5200297251105381,0.8345818991698725,,
2071,0.8227836787700653,0.7523,,,0.450935079531402,0.8544897959183674,,
2072,0.8774443179368973,0.7474,,,0.3771172244877231,0.8836734693877552,,
2073,0.8655011236667634,0.7364,,,0.6875462917889512,0.7715560965713126,,
2074,0.8575680643320084,0.7498,,,0.35922399765331575,0.8849037487335359,,
2075,0.8516965329647064,0.7461,,,0.6272205483670137,0.8014285714285714,,
2076,0.8554102927446365,0.753,,,0.4115876308569246,0.8704225352112676,,
2077,0.8920748233795166,0.7484,,,0.4474620810820132,0.8589795918367347,,
2078,0.8815748482942581,0.7363,,,0.6217482304568231,0.7969224539380442,,
2079,0.8130092769861221,0.754,,,0.488142816272889,0.8412856857656219,,
2080,0.870567774772644,0.7398,,,0.5493003562577323,0.8287836210357287,,
2081,0.8741229444742202,0.7349,,,0.5651640061668293,0.8217564870259481,,
2082,0.8648653894662857,0.7482,,,0.41154907737701013,0.8723404255319149,,
2083,0.842464879155159,0.7493,,,0.5536521113770349,0.8175510204081633,,
2084,0.8591090083122254,0.7376,,,0.5500848638428517,0.8224792047068371,,
2085,0.8739074468612671,0.7452,,,0.4441501009707548,0.8651020408163266,,
2086,0.8381712585687637,0.7517,,,0.5047993164950487,0.8404081632653061,,
2087,0.8233333587646484,0.7449,,,0.5554065435105766,0.8196360727854429,,
2088,0.8263410121202469,0.7542,,,0.33453271373194093,0.889795918367347,,
2089,0.8639455497264862,0.7356,,,0.610660938316462,0.8057142857142857,,
2090,0.8332899808883667,0.756,,,0.3727762542330489,0.8785714285714286,,
2091,0.8661708891391754,0.7568,,,0.4455672139445496,0.8553459119496856,,
2092,0.896539306640625,0.7522,,,0.4399168471779142,0.8653061224489796,,
2093,0.8194378107786179,0.7569,,,0.5344786597628679,0.8322448979591837,,
2094,0.8823734730482101,0.7378,,,0.5672592224051148,0.8287018658197698,,
2095,0.8182660609483718,0.7549,,,0.44504505035030295,0.860204081632653,,
2096,0.8700021773576736,0.7568,,,0.3862754261037525,0.8765306122448979,,
2097,0.8726080358028412,0.7471,,,0.5590894439512369,0.8195918367346938,,
2098,0.8927209317684174,0.7525,,,0.33665474007628404,0.8955102040816326,,
2099,0.8970024764537812,0.7338,,,0.6383158396454967,0.80481444332999,,
2100,0.8951902717351914,0.7493,,,0.36982546100681274,0.8849665246500305,,
2101,0.8692691862583161,0.7461,,,0.6143197778369848,0.8061059441973312,,
2102,0.8618546724319458,0.7549,,,0.31978371432084957,0.9013344116457743,,
2103,0.8766135424375534,0.7549,,,0.5211050207760869,0.8373469387755103,,
2104,0.8220609873533249,0.7357,,,0.782690346678909,0.746938775510204,,
2105,0.8467310756444931,0.746,,,0.3485827304635729,0.8906122448979592,,
2106,0.8592584490776062,0.743,,,0.6315305929033258,0.8018638573743923,,
2107,0.8488245278596878,0.7494,,,0.545459885236267,0.8297527361167409,,
2108,0.8410331010818481,0.7562,,,0.34896096100995305,0.8879902951880307,,
2109,0.8718632906675339,0.7468,,,0.6201072613422215,0.8026554013277006,,
2110,0.8376242369413376,0.7499,,,0.4893874795973729,0.8397129186602871,,
2111,0.841650840640068,0.7515,,,0.5410841307047618,0.8336009634684866,,
2112,0.8753027856349945,0.7409,,,0.5382072501036586,0.8312244897959183,,
2113,0.8366299718618393,0.752,,,0.4859132600482647,0.8461693142972049,,
2114,0.8806305289268493,0.7533,,,0.35284290316153544,0.8928571428571429,,
2115,0.8372396230697632,0.7522,,,0.5304194819525346,0.822838631301883,,
2116,0.837139156460762,0.7615,,,0.4502279201714541,0.8619104716227018,,
2117,0.8674205958843231,0.7647,,,0.26239814815130463,0.9191836734693878,,
2118,0.9304541021585464,0.7643,,,0.23604742074411647,0.9203396684189243,,
2119,0.9038189828395844,0.7372,,,0.7328100344302009,0.7633711507293355,,
2120,0.8973759353160858,0.7421,,,0.5196631124903495,0.8416683539177972,,
2121,0.8185136049985886,0.7521,,,0.5356514412407972,0.8336734693877551,,
2122,0.8392827659845352,0.7496,,,0.48494057342105984,0.8451020408163266,,
2123,0.8434586346149444,0.7511,,,0.4733482588553915,0.8485714285714285,,
2124,0.8694959938526153,0.7517,,,0.4450277713001991,0.8606122448979592,,
2125,0.8503753215074539,0.758,,,0.47502588299464205,0.8471428571428572,,
2126,0.8571190923452378,0.7508,,,0.43936786302869035,0.8592681946119823,,
2127,0.8890411257743835,0.7612,,,0.3535996493578723,0.8890004014452028,,
2128,0.8505355060100556,0.7622,,,0.46213870098434234,0.8504081632653061,,
2129,0.889647188782692,0.757,,,0.4529212981158373,0.8579591836734693,,
2130,0.9032383769750595,0.7467,,,0.44384586214411015,0.863265306122449,,
2131,0.8345967203378677,0.7635,,,0.497170923110684,0.8422094634725796,,
2132,0.8383789688348771,0.7509,,,0.6160469918423687,0.8053610722144429,,
2133,0.8845057904720306,0.7498,,,0.3754586376462664,0.8828571428571429,,
2134,0.8964101552963257,0.7443,,,0.5262292449235192,0.8324214792299899,,
2135,0.8638477772474289,0.7426,,,0.515132055357008,0.8370490474260235,,
2136,0.8650731325149537,0.7477,,,0.512980095045524,0.8323875152006486,,
2137,0.8554595172405243,0.7523,,,0.3603752421846195,0.8908163265306123,,
2138,0.8895303905010223,0.7462,,,0.565109291707458,0.8232810615199035,,
2139,0.8339780390262603,0.7575,,,0.4872997893653885,0.8496981891348089,,
2140,0.8441965073347092,0.7549,,,0.41821094314662777,0.8659183673469387,,
2141,0.8673617631196976,0.7559,,,0.42000001993590536,0.8625861370085124,,
2142,0.888118001818657,0.7427,,,0.6098273777008056,0.812,,
2143,0.8491828709840774,0.7596,,,0.34933338600206704,0.8894055802668823,,
2144,0.8897269159555435,0.7506,,,0.4265131095831972,0.8720388742660458,,
2145,0.8784981489181518,0.745,,,0.5920318671825622,0.806809024979855,,
2146,0.8713887125253678,0.7548,,,0.2991716319991618,0.9081632653061225,,
2147,0.8917444437742233,0.766,,,0.3497773173854363,0.8918367346938776,,
2148,0.8892053693532944,0.7602,,,0.3879745982083096,0.8726292673188261,,
2149,0.88723284304142,0.7404,,,0.5607801756114824,0.8133738601823708,,
2150,0.8876814812421798,0.7491,,,0.43344413314275104,0.8652482269503546,,
2151,0.8661594241857529,0.7606,,,0.36544161386787893,0.8893877551020408,,
2152,0.8967065185308456,0.7345,,,0.7165660403874163,0.7803889789303079,,
2153,0.8229872465133667,0.7497,,,0.5041697240544776,0.8429902755267423,,
2154,0.8705347448587417,0.7419,,,0.5451755272490638,0.8236734693877551,,
2155,0.8808300763368606,0.7429,,,0.538648613687016,0.8254925613188581,,
2156,0.887102735042572,0.7495,,,0.33646762041413053,0.9008163265306123,,
2157,0.8468837141990662,0.7491,,,0.5146179584763488,0.8340816326530612,,
2158,0.8587703675031662,0.747,,,0.5277038141995128,0.8432595573440644,,
2159,0.8448791116476059,0.7415,,,0.5717828985866236,0.8197959183673469,,
