round,test_clean_loss,test_clean_acc,test_backdoor_loss,test_backdoor_acc,train_clean_loss,train_clean_acc,train_backdoor_loss,train_backdoor_acc
2001,0.806047922372818,0.7278,3.68371444940567,0.06255555555555556,0.8487958817857841,0.7202592515157851,0.4080509153050436,0.8697183098591549
2002,0.8372688114643096,0.7174,3.304399144649506,0.07088888888888889,0.808639924935758,0.7406221408966148,0.377244702569998,0.8869426751592356
2003,0.8535457015037536,0.7149,3.103233575820923,0.09077777777777778,0.6922217362704118,0.7763202152707702,0.43974095058417717,0.8613569321533924
2004,0.8875460058450699,0.7074,3.0032714366912843,0.0801111111111111,0.8551331748598936,0.720794861501405,0.39399518701765274,0.8805555555555555
2005,0.8934768885374069,0.7093,3.0555228352546693,0.06677777777777778,0.8578274315327412,0.7152682255845942,,
2006,0.9295349836349487,0.6999,3.106269323825836,0.043666666666666666,0.9136135983086047,0.7024467245461721,,
2007,0.9385160356760025,0.6979,2.9775500178337095,0.056666666666666664,0.6617350413085096,0.7824143070044709,0.3402000980477938,0.8820422535211268
2008,0.9435800611972809,0.6948,2.8622761130332948,0.07322222222222222,0.6443368129324222,0.783695652173913,0.3592526812491746,0.8857758620689655
2009,0.9475138336420059,0.7016,2.8964798212051392,0.063,0.7872879079019935,0.7419889502762431,,
2010,0.9569624841213227,0.6929,2.803332543373108,0.07522222222222222,0.5809961774597203,0.8181021897810219,0.35941880897963197,0.8870673952641166
2011,0.9769110381603241,0.6876,2.612443542480469,0.10344444444444445,0.8544520499474615,0.7228432215534537,0.36378876528987997,0.8930635838150289
2012,1.036635485291481,0.6756,2.467059540748596,0.10977777777777778,0.8978757812644916,0.7128152341739578,0.3786965662368576,0.8853211009174312
2013,1.042321440577507,0.6695,2.5158030152320863,0.09066666666666667,0.819283695752647,0.7329296304030068,0.34719128403694005,0.8869426751592356
2014,1.0151645064353942,0.6832,2.539963948726654,0.09655555555555556,0.7512256516205086,0.7548076923076923,0.39337080981996325,0.8722222222222222
2015,1.0094954073429108,0.6847,2.5536661982536315,0.09977777777777778,0.7861596916760083,0.7468944099378882,0.4736738443374634,0.8583333333333333
2016,1.0357620596885682,0.6815,2.415927493572235,0.13066666666666665,0.9576011673370924,0.683621835315596,0.3602005296914035,0.8902116402116402
2017,1.0250231146812439,0.6841,2.480140268802643,0.10866666666666666,0.799229846383378,0.7386958591147073,0.29152839246449197,0.9092356687898089
2018,1.044022449851036,0.6774,2.355653965473175,0.14,0.7754795455037208,0.7594154019111861,0.3355956903743473,0.89375
2019,1.0396293580532074,0.6818,2.3885122656822206,0.12522222222222223,0.7767058768981795,0.7553339517625232,0.2415221490591845,0.9173441734417345
